hour,122_WIND_1,303_WIND_1,309_WIND_1,317_WIND_1
0,155.90,36.68,10.14,160.38
1,180.62,50.88,7.96,152.89
2,204.84,65.20,7.04,155.67
3,199.41,85.56,9.87,159.44
4,164.49,164.44,13.22,216.68
5,118.50,164.64,7.46,152.07
6,156.08,194.80,14.81,133.11
7,161.82,159.27,13.07,97.77
8,115.28,122.77,10.62,69.86
9,139.04,164.33,18.60,117.65
10,166.73,135.07,13.10,92.92
11,201.28,116.40,8.20,90.78
12,232.60,107.47,7.36,85.47
13,202.53,98.37,8.74,74.10
14,154.70,138.61,19.21,112.04
15,154.56,205.21,52.71,245.30
16,149.24,212.61,33.77,273.39
17,110.80,273.88,41.41,264.76
18,103.19,324.64,53.51,264.93
19,112.63,362.33,57.17,276.87
20,150.92,485.29,66.18,230.99
21,13.31,354.03,12.25,237.72
22,-0.32,408.31,5.95,361.20
23,-30.96,504.62,27.22,309.27
24,53.25,170.26,27.82,186.35
25,62.26,100.76,17.03,138.68
26,88.92,115.66,18.93,196.71
27,91.40,118.32,19.04,208.57
28,197.70,169.51,24.15,212.17
29,191.57,142.24,22.06,163.82
30,140.53,86.82,19.39,140.52
31,24.03,90.69,19.07,241.15
32,49.15,162.18,20.98,202.10
33,125.21,102.46,31.02,181.19
34,56.95,112.44,26.97,124.82
35,71.20,121.44,24.80,118.64
36,83.64,95.61,17.54,84.74
37,88.86,54.60,7.83,44.20
38,151.86,39.84,4.70,46.23
39,172.69,94.47,27.70,179.44
40,207.27,191.16,23.89,220.83
41,141.13,140.71,19.67,132.96
42,139.75,241.61,35.47,133.95
43,84.11,301.65,36.82,230.38
44,58.78,194.50,20.52,277.96
45,-7.38,228.42,33.50,306.02
46,12.48,180.81,12.91,109.60
47,31.41,100.15,8.20,51.82
