time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011975198643628754,-0.01197568318437499,-0.011973244951391127,-0.011975491119639614,-0.008758885764837712,-0.008974161884376376,0.01391690578186427,-0.009008673281681793,-0.013577608754036253,-0.0030553139340133715,-0.004548309341898535,-0.009285166365627935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012302368250537671,-0.012301866610493213,-0.012300704483427908,-0.012301849491690019,-0.010912076728094081,-0.010680445791242792,-0.033646864797766,-0.010653320732461346,-0.0015129459006558025,-0.01203855366653862,-0.010546564693825458,-0.005807812841115172,0.005856251403116717,0.005858250875044619,0.005878014348834311,0.005856049243928258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.059912816404941956,-0.05991797224382378,-0.059908442190452736,-0.05992002789112422,-0.059935187619777376,-0.05986155919990496,-0.05965515696767199,-0.059982454159238745,-0.05989635983388048,-0.059921522761249506,-0.05995211401415405,-0.0599212089840489,-0.05989122644123613,-0.05989821402094007,-0.06021773395318851,-0.05994184323130993,-0.05991083980666723,-0.05992716316779311,-0.05989584198709611,-0.05991062240155882,-0.059896928204942565,-0.05983511099945826,-0.060402268458741824,-0.059956064948804594,-0.059303817156765165,-0.059338669084857715,-0.05908528072286634,-0.05931349729618869,-0.04473096674821172,-0.04470718014914443,-0.04475619295604493,-0.04473014485601687,-0.03538823670397496,-0.035392529305838465,-0.03540231233901243,-0.0353929097594968,-0.047369944492696554,-0.04737394384818051,-0.04737589918029617,-0.04737489225518103,-0.021671111964443938,-0.021698617285586776,-0.021738099289416935,-0.021689216613375372,-0.027564182322654927,-0.027574293457967657,-0.02765053241153767,-0.02763386486144253,-0.027402199823162093,-0.027403864015317032,-0.027385106939979004,-0.02740073920302528,-0.02543624435415735,-0.0254363805375536,-0.02543870585390817,-0.02543637287418625,-0.02562779818293374,-0.025627795360829594,-0.02562760310467205,-0.025627761731438457,-0.02371196721151641,-0.023711714074460776,-0.02371250232645474,-0.02371173366088033,-0.042236843410568416,-0.042236573304869594,-0.042232460606431425,-0.042236254913748335,-0.0328023920147189,-0.03274233699433128,-0.0326575766684259,-0.032717280414819166,-0.03775040858709096,-0.03773512451832881,-0.03777229566804234,-0.03773322742905801,-0.03686096581318012,-0.036859416019751394,-0.03685082034754355,-0.036860158493414646,-0.03331524596142357,-0.03331454619362184,-0.03338512210621915,-0.03331386958326514,-0.048604891844652796,-0.04858363320954275,-0.048660188688244406,-0.04858588569031068,-0.046002931313207464,-0.04597377351448157,-0.04594809823308124,-0.04597710354299522,-0.058749150230414465,-0.058789419609331046,-0.058894243447270046,-0.05882273685939221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.05991366468105159,-0.05991941540171412,-0.05991025655636737,-0.05991799109754566,-0.05990403543352392,-0.05992322158033407,-0.059871034571219055,-0.05991865490451196,-0.05989045685048588,-0.05992070127451955,-0.05993880257975443,-0.059925000442097226,-0.05990893680459782,-0.05992914874543196,-0.059959026550584604,-0.05990740515119545,-0.059913583589618236,-0.05991880818004672,-0.05989844288350071,-0.0599190546559047,-0.05988253833690273,-0.05987378574083781,-0.059775608388759775,-0.05988051443858935,-0.059354957886099666,-0.05933671793080754,-0.05936327158857637,-0.05934342316779757,-0.045000661610171605,-0.04500430424008556,-0.044963056412442304,-0.04500375674428258,-0.051106583087967276,-0.051095417194438976,-0.05096959675911249,-0.05110253132731995,-0.042236119843942634,-0.042227766028493416,-0.04233904663819268,-0.04225303520421229,-0.025374501651599605,-0.025549861607138083,-0.025455116835566963,-0.025459984513454652,-0.027016088638495615,-0.027006255923247745,-0.027033098368669052,-0.027017109891225088,-0.031161476869082785,-0.031160485594288898,-0.031151490070410435,-0.031160642591522538,-0.025522690410625045,-0.025522704669995372,-0.02552463464501288,-0.02552262673576059,-0.024296437472341628,-0.024296326574025674,-0.024296403482604492,-0.02429665652968293,-0.022796003215785652,-0.022796198867377375,-0.022796840421385297,-0.022795453360240966,-0.030247889211369172,-0.030247965471588742,-0.030248546721583936,-0.03024796699507567,-0.033101416339183655,-0.03304062876583418,-0.03295340881739478,-0.03301525303234363,-0.04461682126098401,-0.04461653303912012,-0.04463707923838113,-0.044615845088872556,-0.013071022301046828,-0.013071326670074391,-0.013073285527279179,-0.013071541823529816,-0.033795950232762016,-0.03379644010228655,-0.03380482010685813,-0.03379682417002895,-0.031411171015328074,-0.031423081396996635,-0.03144559296952659,-0.031425831884660714,-0.04538564682362739,-0.0453872293177667,-0.04542742239457014,-0.045417517801102605,-0.05855637153735708,-0.058597150567991814,-0.0586006894877586,-0.05858593038193284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010458442173822285,-0.01045854331471086,-0.010460396452621864,-0.010458469346896891,-0.013751580924565122,-0.013752076625522552,-0.013751537286377367,-0.013751237238718033,-0.01198836217852596,-0.011987825110173968,-0.01198383128681829,-0.011988173164671045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01034139849245823,-0.01034116647950842,-0.01034144280647851,-0.010341103941182045,-0.013852936617682029,-0.013857958101451965,-0.013860410718435459,-0.013855833975877054,-0.014161752604132391,-0.014160363524802442,-0.014163948047836427,-0.014160613760499655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.05991174966533583,-0.059917667305857826,-0.0599181572848037,-0.059920113855805646,-0.05990270255392075,-0.05991964376877619,-0.05996401872593437,-0.05991993150824119,-0.05996487799681977,-0.059906084432110866,-0.06000534267982482,-0.05990910132189029,-0.05992747590377568,-0.05988023805465489,-0.06025644479317444,-0.059946063687017444,-0.06006758401470602,-0.0599093044170714,-0.05981683774592296,-0.05986969692886421,-0.05987706681577579,-0.05986884445459073,-0.060059734502044125,-0.05990952161272511,-0.0593550260520748,-0.05927488535335578,-0.05937984261502503,-0.05931712247584349,-0.05790252946380001,-0.05794502256346482,-0.05801192208475525,-0.057995592564050125,-0.044826981149953454,-0.04482391388740171,-0.04482139317218269,-0.04482421774684041,-0.0380729170067447,-0.03807929037557117,-0.03815765323715744,-0.03809734083890829,-0.030439835970550215,-0.030484452181957417,-0.03029407595263016,-0.030511874284335126,-0.024351851263606766,-0.024340783369084757,-0.024342400155770817,-0.024359513443104466,-0.023463151195795406,-0.023459447325073792,-0.023462921666621103,-0.023460722490619194,-0.02700941019617234,-0.027009600544599676,-0.02701184936405255,-0.027009584528068505,-0.023380786316931194,-0.02338071528179468,-0.023381807272414346,-0.023380595414499755,-0.023489551284620252,-0.023490040164518708,-0.023491071718288514,-0.023490037213132104,-0.02760582819971843,-0.027605963706413883,-0.027606401732260994,-0.02760589218737506,-0.01890613065527392,-0.01891076399288599,-0.01894844356499005,-0.018898766916145948,-0.02886784479664744,-0.028872208280279973,-0.028877501376619572,-0.02886465106335547,-0.016398243718402348,-0.01639839866605785,-0.016399847379514384,-0.016399496441440658,-0.0372146336448905,-0.03720269238252533,-0.037158478447926434,-0.03721254533745997,-0.039386356675518853,-0.039382956971824534,-0.039449211532628356,-0.039389089174212896,-0.044810284176117245,-0.04481306008402134,-0.044629675997821756,-0.044823286031204994,-0.058857976571165066,-0.058860714107029505,-0.05872957524098745,-0.05886767640783801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.0599140518819945,-0.05991752520782431,-0.059905208041872327,-0.05991970340624737,-0.059966660186956726,-0.05993638080518585,-0.05999512017328648,-0.05987353416281857,-0.05992641577788446,-0.05994751579913994,-0.05991932370394705,-0.05988005145325412,-0.05990175099582563,-0.059915332882265776,-0.059995729641169775,-0.05992423965988127,-0.059898688478377426,-0.059911589398687966,-0.06013965251260635,-0.059925587132975904,-0.05987319341974432,-0.05986376862072575,-0.06047118987237294,-0.05990919189240801,-0.05930244635395875,-0.0592857013297534,-0.05939281510219559,-0.05934835130472298,-0.0440084200101773,-0.044020684083516164,-0.044037357305210294,-0.04400793622537127,-0.04241083381052814,-0.042407128000005574,-0.04240101284809093,-0.04240662095355188,-0.04055140500084,-0.04056093815745853,-0.04059860595880224,-0.04056978462865172,-0.023949570793714972,-0.023999022743311074,-0.023906469229599537,-0.023984287890340655,-0.023371048618218183,-0.023373647743244283,-0.023442652775309946,-0.0234010904657522,-0.030368752410796934,-0.030367569555350596,-0.0303654288436689,-0.030366986395136464,-0.023147574768665656,-0.023147510993220072,-0.023147766782544796,-0.02314756011146116,-0.0408862121029482,-0.040886719059600105,-0.04088120234087639,-0.040887140337495624,-0.023700362939395654,-0.023699848048816936,-0.023702087549405088,-0.0236998795869003,-0.028495066808829593,-0.028494909962098344,-0.028495557752859006,-0.028494849717196683,-0.022663813500675402,-0.022667297294843566,-0.022673091499450182,-0.022653642568063705,-0.027096959850606762,-0.027095867579436377,-0.027118883061316216,-0.027095205427866052,-0.04090870885415265,-0.040917992924287515,-0.04093706036638718,-0.040914504039054465,-0.029976243583832243,-0.03000411715555623,-0.03000044138286422,-0.030004894857213818,-0.02997619946152123,-0.029970475620644785,-0.02992321377914572,-0.029964983367983925,-0.04654183094942289,-0.046557994134745526,-0.04654689167785127,-0.04656695816641215,-0.05898904891696676,-0.05899968972107011,-0.05900799663092666,-0.05898190547043219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,-1.9145864131685934e-07,-2.0909833414494968e-07,-1.8084930415750842e-07,-2.1079577070079103e-07,-5.10488675486382e-07,-6.86632134446493e-07,0.0,-6.694522046366001e-07,-6.204040905318683e-08,-1.1268793620197399e-07,0.0,-1.1155549590094767e-07,-1.2990234932395166e-07,-1.2763400728514005e-07,-1.9057644391839245e-07,-1.1865510988186753e-07,-6.368013856628946e-08,-1.0321391634299005e-06,0.0,-1.0901573183053525e-06,0.002127639079982392,0.002122967232312656,0.002143410177441602,0.002121824458521045,0.07541106660138967,0.07547928388044546,0.07571226411216725,0.07543925331200603,-0.16717170737576417,-0.16718414726012365,-0.16689678041189943,-0.1672225772531399,-0.06725312332344327,-0.06724711398423547,-0.06721388664569097,-0.06724668400418585,-0.06905938567871535,-0.06904236971140869,-0.06902568143601538,-0.06903871893006472,-0.052260940101715725,-0.05221060072137131,-0.05277276485592542,-0.052295316597800685,-0.03820457023650335,-0.03828083836334655,-0.038062082159332725,-0.03826817861354384,-0.03299312520330665,-0.03299138396091555,-0.03298733088716011,-0.03299144945314721,-0.07354724068286937,-0.07354724248109497,-0.07354232968435624,-0.07354701384499385,-0.03219964092985304,-0.032199150298933825,-0.032199415792873845,-0.03219932923850614,-0.03118592799641396,-0.03118572331651526,-0.031187581376446963,-0.031185618765734693,-0.037394461301653206,-0.03739444757710113,-0.03739876089222177,-0.03739435225600234,-0.03684298174033454,-0.036858224670006025,-0.036814457637818106,-0.03683620246749386,-0.02967408891970154,-0.029674558756380004,-0.029690886913387057,-0.029673002530517818,-0.03837537113778622,-0.03837388724564972,-0.038369875625012595,-0.038374533181324104,-0.023551321331745603,-0.023552998534352342,-0.023521488571584707,-0.023545237869198668,-0.0358103116953758,-0.03582126816686874,-0.03584416511119875,-0.035825304445634434,-0.08831999499885014,-0.08828571965736332,-0.08796349926852204,-0.08822520315691114,0.06521625901568756,0.06518905893685668,0.06503104384703837,0.06514074540847804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
