gen_id,gen_type,extra_committed_hours,dam_committed_hours,daruc_committed_hours,periods_added
101_CT_1,THERMAL,2,1,3,"[13, 15]"
101_CT_2,THERMAL,4,0,4,"[13, 14, 15, 16]"
102_CT_1,THERMAL,3,0,3,"[13, 14, 15]"
102_CT_2,THERMAL,3,0,3,"[13, 14, 15]"
115_STEAM_1,THERMAL,4,0,4,"[13, 14, 15, 16]"
201_CT_1,THERMAL,3,0,3,"[13, 14, 15]"
201_CT_2,THERMAL,4,0,4,"[13, 14, 15, 19]"
202_CT_1,THERMAL,3,0,3,"[13, 14, 15]"
202_CT_2,THERMAL,1,1,2,[15]
301_CT_1,THERMAL,2,0,2,"[14, 15]"
301_CT_2,THERMAL,1,0,1,[14]
302_CT_1,THERMAL,1,0,1,[14]
302_CT_2,THERMAL,2,0,2,"[14, 15]"
315_CT_6,THERMAL,17,3,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
315_CT_7,THERMAL,17,3,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
315_CT_8,THERMAL,17,2,19,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
318_CC_1,THERMAL,3,12,15,"[17, 18, 19]"
323_CC_2,THERMAL,12,16,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21]"
