time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029764270296619294,-0.00297642697305725,-0.0029764270357608424,-0.0029764269754231267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.05190432823114749,-0.051903270664314355,-0.05190942275184218,-0.051905596807947145,-0.0586195970998695,-0.058619573263909874,-0.058620415362753864,-0.05861973135057089,-0.053148760516193355,-0.05314874350601942,-0.05314940795143941,-0.05314884873746982,-0.050629316093551924,-0.05062929765157334,-0.05062987634656313,-0.050629353757925724,-0.04115728776593898,-0.04115740412943403,-0.04115819635744489,-0.04115774869490637,-0.03867284707904488,-0.0386728202955767,-0.03867387697273883,-0.03867353472268388,-0.019117766836719396,-0.019117758062580426,-0.01911779233737998,-0.019117777029818157,-0.01047991510689869,-0.010479911610276782,-0.010479917668656746,-0.010479915932856625,-0.012641853775012285,-0.012641849212634615,-0.012641855680739278,-0.012641853083400061,-0.010020948507079602,-0.010020944762565986,-0.01002096836213262,-0.010020959786946513,-0.01045066852037127,-0.010450630640724379,-0.010450737255413456,-0.010450741942117144,-0.010103326729718753,-0.010103329194582289,-0.0101033371369037,-0.010103343715835395,-0.009968670666644197,-0.009968670761494547,-0.009968670998846463,-0.009968671033779403,-0.01017332825724801,-0.010173328259062142,-0.010173328266168458,-0.010173328264035459,-0.009446576251806837,-0.009446576256326222,-0.009446576253442807,-0.009446576260729493,-0.007842626442565864,-0.007842626751200926,-0.007842627626470922,-0.007842630414797156,-0.007826456346967436,-0.007826456406189342,-0.007826456604139165,-0.007826456749118,-0.004451932767554068,-0.004451932834312111,-0.0044519317908146006,-0.0044519323288847255,-0.0072062832495736195,-0.007206282934761943,-0.007206275968604792,-0.007206283651036106,-0.006820695459166415,-0.006820696695918171,-0.006820690976452326,-0.006820694264839228,-0.007452274658502664,-0.0074522725367125175,-0.007452272021504558,-0.007452273101034282,-0.008317015446907938,-0.008317015337794803,-0.008317015989794063,-0.00831701528932885,-0.013371071008508317,-0.013371068708363548,-0.013371066749864435,-0.013371066990262767,-0.027618629060140565,-0.02761862803416218,-0.027618624091482413,-0.027618621526750816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.051904328230915675,-0.05190327066408287,-0.05190942275160837,-0.05190559680771489,-0.0586195970998695,-0.058619573263909874,-0.058620415362753864,-0.05861973135057089,-0.0531487605161933,-0.053148743506019475,-0.05314940795143941,-0.053148848737465997,-0.05062931609355201,-0.05062929765157376,-0.050629876346562686,-0.05062935375793168,-0.04115728776593898,-0.04115740412943403,-0.04115819635744489,-0.04115774869490637,-0.03867284707904488,-0.0386728202955767,-0.03867387697273883,-0.03867353472268388,-0.019117766836719396,-0.019117758062580426,-0.01911779233737998,-0.019117777029818157,-0.010562732484547172,-0.010562728827863133,-0.010562735787367883,-0.010562733621811527,-0.01264185376390975,-0.012641849201531996,-0.012641855669636826,-0.012641853072299236,-0.010020948507079602,-0.010020944762565986,-0.01002096836213262,-0.010020959786946513,-0.01045066852037127,-0.010450630640724379,-0.010450737255413456,-0.010450741942117144,-0.010103326729718753,-0.010103329194582289,-0.0101033371369037,-0.010103343715835395,-0.009968670666644197,-0.009968670761494547,-0.009968670998846463,-0.009968671033779403,-0.010173339850989893,-0.010173339852803998,-0.010173339859909758,-0.010173339857674133,-0.009446583224096888,-0.009446583228617078,-0.00944658322573333,-0.00944658323329842,-0.007842621308362802,-0.007842621617008494,-0.007842622492200024,-0.00784262528128306,-0.00802397873091712,-0.008023978794274883,-0.008023979006226756,-0.008023979161177976,-0.003652125708846571,-0.003652125741435003,-0.0036521252309230645,-0.0036521254947171895,-0.007206283251831369,-0.007206282937019692,-0.007206275970862541,-0.007206283653294238,-0.006820695464630211,-0.00682069670138194,-0.0068206909819164,-0.006820694270302229,-0.007452274658502664,-0.0074522725367125175,-0.007452272021504558,-0.007452273101034282,-0.00831701544813962,-0.008317015339026498,-0.008317015991025634,-0.008317015290560592,-0.013371070996672063,-0.013371068696527266,-0.013371066738028015,-0.013371066978429056,-0.027618629060147448,-0.02761862803416898,-0.027618624091489297,-0.02761862152675428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.051884730717606325,-0.05188357816329628,-0.05188874208004779,-0.05188822224068967,-0.0586196564137581,-0.058619661459479666,-0.05861944387807183,-0.05861967976244158,-0.05314882123145845,-0.053148823878473694,-0.05314842909348649,-0.05314877683295965,-0.05062936399629932,-0.050629373779688736,-0.05062888248017683,-0.05062931193071201,-0.041157372786966476,-0.04115741114985971,-0.04115784987416238,-0.041157698270012456,-0.03857481208982959,-0.03857435394602199,-0.038576330308135676,-0.03857595307405514,-0.018412736330912838,-0.01841273085951811,-0.018412748490582276,-0.018412740842422008,-0.010187196889272804,-0.010187195143675776,-0.0101872003190846,-0.010187197176249064,-0.012207417203324189,-0.012207418604476383,-0.012207408067160808,-0.012207414184781861,-0.009687341143329004,-0.009687332939295246,-0.009687355220488802,-0.009687354985800499,-0.010237384474133304,-0.010237339523805955,-0.010237450955697946,-0.010237468343668827,-0.009858119517070552,-0.009858111019952931,-0.009858149047251574,-0.00985814187409978,-0.009760247784900228,-0.009760247856593351,-0.009760248027222307,-0.009760248052104695,-0.010178491292479608,-0.010178491289320135,-0.01017849129581605,-0.010178491298900565,-0.009003174713353046,-0.009003174713749895,-0.009003174709412698,-0.009003174703755733,-0.007879556843262941,-0.007879557132842052,-0.00787955795573958,-0.007879560564888055,-0.007941410764041229,-0.007941410824109651,-0.007941411024961265,-0.00794141117198417,-0.006466145265978329,-0.006466145189679945,-0.006466146406143958,-0.006466145774804225,-0.007098259234397553,-0.007098259026541237,-0.0070982523060262315,-0.007098258173613572,-0.0065596864461930915,-0.0065596879579037926,-0.00655968012168906,-0.006559685219209672,-0.007324719546115785,-0.007324717147048146,-0.007324716257050445,-0.007324719590170582,-0.00836707257793498,-0.008367074990344947,-0.0083670745739447,-0.008367073296447466,-0.013272996752552502,-0.01327299412873667,-0.013272991755498897,-0.013272991624196361,-0.027604866058758004,-0.027604863791645284,-0.02760487226981645,-0.027604858682519308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.051884730718262356,-0.05188357816395206,-0.05188874208070504,-0.05188822224134511,-0.05861965641375805,-0.05861966145947947,-0.05861944387807139,-0.058619679762441874,-0.05314882123145845,-0.053148823878473694,-0.05314842909348649,-0.05314877683295965,-0.05062936399629932,-0.050629373779688736,-0.05062888248017683,-0.05062931193071201,-0.04115737278696653,-0.041157411149859546,-0.0411578498741626,-0.04115769826999538,-0.03857481208947139,-0.038574353945664,-0.03857633030777774,-0.03857595307369592,-0.018412736330912838,-0.01841273085951811,-0.018412748490582276,-0.018412740842422008,-0.010187196884776373,-0.01018719513917965,-0.010187200314587308,-0.010187197171752637,-0.012207417203324189,-0.012207418604476383,-0.012207408067160808,-0.012207414184781861,-0.009687341143329004,-0.009687332939295246,-0.009687355220488802,-0.009687354985800499,-0.010237384474133304,-0.010237339523805955,-0.010237450955697946,-0.010237468343668827,-0.009858119517070552,-0.009858111019952931,-0.009858149047251574,-0.00985814187409978,-0.009760247784900228,-0.009760247856593351,-0.009760248027222307,-0.009760248052104695,-0.010178491292479608,-0.010178491289320135,-0.01017849129581605,-0.010178491298900565,-0.009003181865791632,-0.00900318186618837,-0.009003181861851006,-0.009003181856373133,-0.007879562455472333,-0.007879562745124608,-0.007879563567949277,-0.007879566176734855,-0.007941410764041229,-0.007941410824109651,-0.007941411024961265,-0.00794141117198417,-0.006466145265978329,-0.006466145189679945,-0.006466146406143958,-0.006466145774804225,-0.007098259234397553,-0.007098259026541237,-0.0070982523060262315,-0.007098258173613572,-0.0065596864461930915,-0.0065596879579037926,-0.00655968012168906,-0.006559685219209672,-0.007324719546115785,-0.007324717147048146,-0.007324716257050445,-0.007324719590170582,-0.00836707257793498,-0.008367074990344947,-0.0083670745739447,-0.008367073296447466,-0.013272996752552502,-0.01327299412873667,-0.013272991755498897,-0.013272991624196361,-0.027604866058761113,-0.027604863791648407,-0.027604872269819447,-0.027604858682520737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.0071739839295923424,0.0071739889044905025,0.00717396448078933,0.007173975629024572,-2.079498795382051e-10,-2.0861712357600481e-10,-1.9553070274014317e-10,-2.0543070844519181e-10,-1.8242496402365305e-10,-1.8340440277597736e-10,-1.610445110600267e-10,-1.7308795339048242e-10,-2.0810020373573934e-10,-2.092290785071782e-10,-1.8809487301041372e-10,-1.992673066494943e-10,-2.2393537024711918e-10,-2.2019208678614177e-10,-1.818372119544165e-10,-2.048989639924438e-10,0.009322876910209499,0.009322871551948664,0.009322877194009038,0.00932287593692678,-0.04073223089977818,-0.0407319402107591,-0.040734672414568074,-0.040733688825008156,-0.10317832637962598,-0.10317826804753927,-0.10317843583084052,-0.10317838647154305,-0.055871729206502185,-0.05587170511655315,-0.055871725045783194,-0.055871721172021896,-0.042714878355534114,-0.042714860399382326,-0.04271486750815345,-0.04271489185486485,-0.04818954147318466,-0.04818937312679483,-0.04818964055896391,-0.04818977996922023,-0.04648813249046846,-0.0464881141800666,-0.046488171633520814,-0.046488176146615,-0.05540477872057803,-0.05540477844849523,-0.055404777788913506,-0.055404777695626996,-0.05627771122951242,-0.056277711248317264,-0.05627771121130998,-0.05627771121186586,-0.05706422641759612,-0.057064226420305175,-0.05706422641505071,-0.057064226423558,-0.043250256039348844,-0.04325025585937925,-0.04325025534700355,-0.04325025373649221,-0.060120582988607785,-0.06012058293474731,-0.06012058275486032,-0.060120582627555263,-0.060641854649164495,-0.06064185472904082,-0.06064185346743445,-0.06064185412461539,-0.06603102467285504,-0.06603102122439974,-0.06603102033756159,-0.06603103341444255,-0.06810577740937585,-0.06810577266516216,-0.06810580178805958,-0.06810579063195367,-0.06998763860175344,-0.06998764527517687,-0.06998763757859039,-0.06998764705595935,-0.08824698703355227,-0.08824683245042181,-0.0882469380864892,-0.08824601709545617,-0.09805850214830181,-0.09805851239818542,-0.09805851639418073,-0.0980585163778367,-0.05144674617800904,-0.05144686303171586,-0.051446532463685024,-0.051447146168182696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
