gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.2533558233703811,0.2533558233703811,0.12667791292280153,-0.0633417084893009,-0.06334730108894876,-0.0633240593258011,-0.06334275446633032
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.2533580110631348,0.2533580110631348,0.1266790058683613,-0.06334147693506115,-0.06334076551726006,-0.06333177698549175,-0.06334399162532188
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.2533946752241512,0.2533946752241512,0.126697339625615,-0.06334231053648201,-0.06334425671817448,-0.06336805980058835,-0.06334004816890636
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.2533664292209068,0.2533664292209068,0.12668321498310106,-0.06333788809592786,-0.06334700859254963,-0.06333576650194295,-0.06334576603048639
107_CC_1,THERMAL,2020-07-15 00:00:00,-8.75173536487301e-08,8.75173536487301e-08,4.4144266425584094e-08,-2.1003406791564316e-08,-1.9724062050308078e-08,-2.6850942802525424e-08,-1.993894200433228e-08
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-2.2810658285751666e-07,2.2810658285751666e-07,1.1749189227126615e-07,-6.869851976176733e-08,-6.368546578983114e-08,-3.2901155577746977e-08,-6.282144172817121e-08
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-3.404871764635908e-05,3.404871764635908e-05,1.706753309656622e-05,-8.202469039320093e-06,-8.184395553556545e-06,-9.560765701799312e-06,-8.101087351683132e-06
118_CC_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
