time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005712551455459375,-0.0030161143150113923,-0.0252438486717933,-0.0058483597855958636,-0.012851337837838709,-0.01285133819123438,-0.012851338359117365,-0.012851337991620157,-0.008076391086889317,-0.008076391180376542,-0.008076392163950619,-0.008076390856207656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004200968731113537,-0.006900217290974314,0.015337695370313709,-0.004065505767298489,0.0,0.0,0.0,0.0,-0.008486443696602949,-0.008486443750980649,-0.008486444326941484,-0.00848644357941823,0.005993800609974988,0.005990731078115014,0.006004755635428571,0.005991403025645482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0633417084893009,-0.06334730108894876,-0.0633240593258011,-0.06334275446633032,-0.05862265462713259,-0.05862032441183984,-0.05865213903670652,-0.05861416098045276,-0.053145465582232765,-0.05314925150922656,-0.05314329905840576,-0.05315320016662711,-0.050630527583909526,-0.050627766207305414,-0.050661492433506705,-0.05062666312249199,-0.04115750435478581,-0.04116154072580369,-0.041139120610659385,-0.04115558220533815,-0.05195586876371211,-0.05196127359509259,-0.05196798718551543,-0.05195447938602021,-0.044713343801162125,-0.04473272921041316,-0.044758481888139245,-0.04472586048633,-0.04705834314508449,-0.047049065249243516,-0.047150767503798985,-0.047061305740320275,-0.04883356874563792,-0.04883389241894842,-0.04882272996286385,-0.04883458561848291,-0.04015070857604784,-0.04015253195237839,-0.04014822296379594,-0.0401512176111233,-0.04070122746828046,-0.040700509099093674,-0.04070328436749904,-0.04070148234482159,-0.04013750350820744,-0.04013823953923701,-0.040133510449532395,-0.04013629543529526,-0.029611733185139835,-0.02960668964609231,-0.029622790032429513,-0.029616831392261123,-0.03145358964674308,-0.03145334668269495,-0.03145384281067143,-0.031453687794645364,-0.03724122453858415,-0.03724122225482973,-0.03724122044378819,-0.03724122367967078,-0.028741441534659948,-0.028741441747053675,-0.02874144301872239,-0.02874144102839182,-0.02630121071826369,-0.026301247210213388,-0.026301741823693714,-0.026301496077403216,-0.030121615476127156,-0.030113524590149376,-0.030137200209512938,-0.030115502232234075,-0.02689873663867509,-0.026905998340934073,-0.026919056803794472,-0.026908870185111962,-0.0251271905746569,-0.025118251559210714,-0.025120228414004853,-0.025126687665144955,-0.022122271599387983,-0.02213069576569686,-0.022128532452989458,-0.022127400761181058,-0.03195735929255075,-0.03195930217611925,-0.031976818638823346,-0.031957837208138246,-0.027840784798877416,-0.0278388179208635,-0.027842494231905213,-0.02785137673695913,-0.02824664606250732,-0.02824592451574434,-0.028239270417440676,-0.02824490710799496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.06334147693506115,-0.06334076551726006,-0.06333177698549175,-0.06334399162532188,-0.058618958035589086,-0.05862054333186059,-0.05864369011553183,-0.05861890045187226,-0.05314755698853277,-0.05315090186287261,-0.05312529154038059,-0.05315057508627585,-0.0506289410566611,-0.05062731832510767,-0.05063616513374258,-0.05063045703286319,-0.0411604279519603,-0.04115546232298217,-0.04116463759382405,-0.04115642024237607,-0.05195752849162971,-0.05195603778278923,-0.05195886560778917,-0.05195930856028362,-0.04475496278510098,-0.044746573169274384,-0.04478916772743169,-0.04476750930872435,-0.04723698802582449,-0.04724959224229219,-0.04719439996426367,-0.04722847624745614,-0.05374313358879548,-0.05374328528159783,-0.05373202226998908,-0.05374425601257583,-0.03954368756746794,-0.039545331140376117,-0.03954153364870172,-0.03954414819906407,-0.038904221458942206,-0.03890358022675955,-0.038906498978508175,-0.03890447363108209,-0.03616016533483178,-0.03616086962833459,-0.0361553801107799,-0.036158899908986984,-0.032229121588421214,-0.032230595529525174,-0.032226920608221965,-0.032226858959316644,-0.03169258183566051,-0.03169211849114395,-0.03169330879554222,-0.03169280303071082,-0.03366511008353991,-0.03366511027728247,-0.03366511028225294,-0.03366511021405595,-0.02876521465538645,-0.028765214613116513,-0.028765214703024733,-0.028765214636066613,-0.030527151709522554,-0.030526995382613553,-0.03052667593360603,-0.030526668283629634,-0.027839677964265924,-0.027845892162776387,-0.027821279946343758,-0.027845053750749464,-0.025175363017033603,-0.02517394285793287,-0.0252131393642393,-0.02517960886435583,-0.02732059421075564,-0.02731733574195158,-0.02710091707581308,-0.027320661659883932,-0.02208979176708116,-0.022076984130379063,-0.022129722255315842,-0.02209086690828508,-0.032576532597280744,-0.0325781038122584,-0.03257877095292,-0.032577954810646695,-0.0282583468431305,-0.028263025357325625,-0.028243161913002135,-0.028263350980905325,-0.028254859304531005,-0.02824165317673355,-0.02828746783659586,-0.028241746426319866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00847769218246068,-0.008477692116923986,-0.008477691556064537,-0.008477692298259298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00846431137339346,-0.008464311361553681,-0.00846431145348453,-0.008464311378884246,-0.004055174805722005,-0.004052620746384541,-0.004068733191018525,-0.00405420504374726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.06334231053648201,-0.06334425671817448,-0.06336805980058835,-0.06334004816890636,-0.05862080809321049,-0.05862172374738661,-0.05861039729398776,-0.0586180378079605,-0.053144964595386784,-0.05315006462550956,-0.053126251761880905,-0.05315426988839947,-0.050627817906666456,-0.05063270620991456,-0.05057350306714614,-0.05063280816215843,-0.04116595560430797,-0.04115225784081583,-0.041161489934918305,-0.04115482086749565,-0.05196080559384331,-0.05195735736976326,-0.051951506456150875,-0.05195565710852955,-0.044947957299734,-0.04487040047663454,-0.04503201904893017,-0.04491620260880088,-0.04692534016841618,-0.04692673076002407,-0.046872272170039864,-0.046920214965643504,-0.05472771205879359,-0.05472828381239786,-0.05471524601092126,-0.054728295830223615,-0.03667575779953279,-0.036677456782885975,-0.03667402862940361,-0.03667601389548735,-0.036356402927906054,-0.03635587755849207,-0.03635814050427677,-0.03635653637052621,-0.033503183763429964,-0.033503856148093036,-0.03350099117261296,-0.033501674209277146,-0.022692252796790213,-0.022688571847952643,-0.022699349698502624,-0.02269526662399717,-0.028312349787347396,-0.028312064784424607,-0.02831251831254189,-0.028312321329577957,-0.03031031921321961,-0.030310321655405148,-0.030310324122862276,-0.03031032020844516,-0.027823444011976367,-0.02782344401866821,-0.027823443833267514,-0.02782344402590875,-0.02960210916069153,-0.029601820793425715,-0.02960415121514115,-0.029602197436563206,-0.029267432390968406,-0.029270393543105955,-0.029243541290120745,-0.029261227512536764,-0.02578158468011793,-0.02577972692588859,-0.02575157466031741,-0.02577897059901016,-0.02732352779477587,-0.027377099189919152,-0.02741063173502345,-0.02735463989486924,-0.02240015976908874,-0.022409328819491744,-0.022386861036793604,-0.02240757960832409,-0.0308146379217768,-0.030810926367474442,-0.03080772748331634,-0.030810576142643677,-0.02770037585085844,-0.027698375967898495,-0.027721113109249962,-0.02769845669826441,-0.028237811330034834,-0.028257492162849562,-0.028180972112149205,-0.028242981789200487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.06333788809592786,-0.06334700859254963,-0.06333576650194295,-0.06334576603048639,-0.05861794450451646,-0.05861769044351656,-0.05859118917200945,-0.058623758603609376,-0.05314754777227956,-0.05315279212281179,-0.05313400760919307,-0.05314938551309481,-0.05063144824138574,-0.05062636157612574,-0.050618728121856416,-0.05062888612180617,-0.041160437831179494,-0.04115967110773397,-0.041140355492807035,-0.041154671589390505,-0.051959994122592335,-0.05195562604774631,-0.05196985734899018,-0.051957269553233223,-0.04495659998836908,-0.04487740024714659,-0.045037266333242565,-0.04492242153707344,-0.047949895502440054,-0.04796784767778911,-0.04795027361118365,-0.04794465839563163,-0.0530418014766664,-0.05304200119895697,-0.053029763046800626,-0.05304295768836257,-0.03893614685485633,-0.038937765523863355,-0.038933014081772965,-0.03893643606054896,-0.03771442201870326,-0.03771367965050754,-0.03771637468130051,-0.03771462006843016,-0.037043346999078644,-0.03704403923063426,-0.037039914710293775,-0.03704212128582074,-0.0353540764264256,-0.035342776142445964,-0.0353786984414759,-0.03536432309784713,-0.02760122404089596,-0.02760086557921093,-0.02760191730657291,-0.027601331239408507,-0.0343825443798164,-0.03438254490015785,-0.034382545225012606,-0.03438254465941853,-0.024347197699055564,-0.02434719780836346,-0.02434719908137617,-0.024347197348666087,-0.027559700981362567,-0.027559589512167776,-0.027561257255990235,-0.027559797395842935,-0.02896055240120618,-0.02896357357190818,-0.028935785271168135,-0.02895458186335058,-0.026014656272937142,-0.026014384490766068,-0.025979510837372155,-0.026012753111686278,-0.026774691633239867,-0.026794697386640337,-0.026829591107146555,-0.026773624396354334,-0.022531419399260358,-0.022558138707750544,-0.022499694895689315,-0.02253822467443741,-0.031152928887575843,-0.031150078207747914,-0.031145381204362943,-0.03114946707399595,-0.02656674944958648,-0.0265561086211155,-0.026602233177599688,-0.026571430070127522,-0.028263878819932003,-0.028261168525492306,-0.028210476518386374,-0.028248109028104842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,-2.1003406791564316e-08,-1.9724062050308078e-08,-2.6850942802525424e-08,-1.993894200433228e-08,-7.0380525851732045e-09,-6.736380564476008e-09,-7.525787992790356e-09,-9.230364048321186e-09,-6.302123156665118e-09,-5.755699916676349e-09,-3.55449314426437e-08,-4.741077484315122e-09,-9.157559821559857e-09,-9.69753966018061e-09,1.7024995635495088e-08,-7.065091478563278e-09,-5.8193282970187e-09,-5.6504659839973215e-09,-1.624291856572313e-08,-5.249792863603033e-09,-2.2920802589254663e-08,-2.3345343436176336e-08,-3.954604022027297e-08,-2.3184409493101358e-08,0.01673910526231359,0.01673910720254468,0.016740886114453346,0.016739313241119935,-0.1899235301091471,-0.19017542658619924,-0.18876221446852526,-0.18981767083169968,-0.09312442808277954,-0.09312437655892647,-0.09311162297410114,-0.09312598308454484,-0.06445249083997717,-0.06445521167459578,-0.06444749678531458,-0.06445302508171215,-0.06216666132978366,-0.06216672971010806,-0.062174133426399436,-0.0621684945800096,-0.05083959288606121,-0.050838687063809784,-0.05083991215944739,-0.05084026187639284,-0.04136023863424165,-0.041338821205759047,-0.041399718781631734,-0.04138329352050645,-0.03320436275221594,-0.033203600097380104,-0.03320566111346768,-0.03320449228587913,-0.03257322019153919,-0.03257322036644528,-0.032573220226168154,-0.03257322023551774,-0.03830176888442349,-0.03830176897910054,-0.038301768738389086,-0.038301769391751825,-0.03843064451783329,-0.03843057305529907,-0.0384308968751057,-0.038429867958190984,-0.04360179933005093,-0.04359649388572029,-0.043628970983458526,-0.04361646512657574,-0.05426407745911899,-0.05426259441205661,-0.054248042882522274,-0.05426691576838443,-0.049571417054360745,-0.04959734550303618,-0.0494901291748735,-0.04956267855843336,-0.07081177495146007,-0.0707701964338861,-0.07085136227701105,-0.07079743182795996,-0.058477854223953796,-0.05848814001962571,-0.058473843707399276,-0.05848910038682723,-0.05430531203264777,-0.05427347669028726,-0.05421661478776718,-0.05424405773197824,-0.04714465202268525,-0.047183157816817145,-0.04653063156025805,-0.04691946424604088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
