gen_id,gen_type,extra_committed_hours,dam_committed_hours,daruc_committed_hours,periods_added
101_CT_1,THERMAL,2,1,3,"[13, 15]"
101_CT_2,THERMAL,3,0,3,"[13, 15, 16]"
102_CT_1,THERMAL,1,0,1,[15]
102_CT_2,THERMAL,2,0,2,"[15, 16]"
113_CT_3,THERMAL,3,0,3,"[14, 15, 16]"
201_CT_1,THERMAL,1,0,1,[15]
202_CT_1,THERMAL,1,0,1,[15]
202_CT_2,THERMAL,1,1,2,[15]
207_CT_2,THERMAL,17,0,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
213_CC_3,THERMAL,3,14,17,"[18, 19, 20]"
223_CT_4,THERMAL,2,0,2,"[15, 16]"
301_CT_1,THERMAL,1,0,1,[15]
301_CT_2,THERMAL,1,0,1,[15]
301_CT_4,THERMAL,7,0,7,"[14, 15, 16, 17, 18, 19, 20]"
302_CT_1,THERMAL,1,0,1,[14]
302_CT_2,THERMAL,1,0,1,[15]
315_CT_6,THERMAL,18,3,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
315_CT_7,THERMAL,18,3,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
315_CT_8,THERMAL,18,2,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
318_CC_1,THERMAL,5,12,17,"[17, 18, 19, 20, 21]"
322_CT_6,THERMAL,4,1,5,"[13, 14, 15, 16]"
323_CC_2,THERMAL,12,16,28,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 21]"
