,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.084991781225604,14.543865886983465,14.687509585777685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.350967136591432,0.0,14.417785089182189,12.009023567279112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,52.999999247526674,52.999999256935226,52.999999124370255,52.99999920749572,52.9999993420583,52.9999991227064,53.690675221819674,55.674033700681335,60.445032926592084,58.348247755400074,59.40144754037722,59.27619397933363,63.18143213459674,63.93028358106212,60.188953011289684,57.09444795226507,58.40415150743074,55.19359659152238,55.92002868896876,55.67556814486143,55.34562182983391,56.27148308193901,54.41643533428291,53.11725956225813,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
101_STEAM_4,52.99999921256057,52.999999230405685,52.99999921644181,52.99999920176363,52.999999327243,52.99999915210587,53.67549159138203,55.59627464810323,58.88120426671407,58.61514130836794,60.134281736873604,60.933424359130925,62.048421732758165,63.83858305877086,61.707219290187226,57.078810466445006,55.57724447600076,56.76452847970441,57.209577944851844,53.91098956901084,55.38495581248315,55.88938127806415,54.09217027985052,53.11933484404918,76.0,31.567810979157017,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.423541695769686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.432343306214339,16.527586705668103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,52.99999509184036,52.999995103666805,52.999994732149176,52.99999458460503,52.99999546378447,52.999995039829386,53.597850951413236,55.73247243130099,58.56758594059664,59.87597447336072,61.173324044037386,62.040497124249335,66.17685971144289,65.13569023010153,63.131520981730354,57.69828857264059,56.195892807530456,55.7823419181923,56.76275180529756,53.86185861824749,55.086637264036455,56.980294078369354,54.52968909092739,53.11332613721207,30.0,30.0,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,52.99999504982607,52.99999500164657,52.99999514546403,52.99999498863387,52.99999565148421,52.99999517642941,53.59423488584113,55.286599335727274,59.10460102861205,58.88227606772468,60.619522925826274,60.56542005457934,60.69576612387996,65.40856410796967,61.402626983600626,59.98489465720721,57.56225868038874,55.99430792905791,56.588388604367175,54.32877282094843,54.95696730519174,56.77102635297041,55.4094634618303,53.109892211421666,30.0,30.0,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
107_CC_1,170.0000078389489,170.00000369792443,170.00000330618303,170.00000425974613,170.00000378151387,170.00001075602657,178.34959323883612,272.95128298270527,325.337077937454,326.66435904944615,329.64717876514965,333.81699718788104,337.09564146140934,342.258496550295,341.17078952811573,329.8058534884108,329.2897750578133,324.8740181676427,314.5046668574959,314.8937643602493,288.92592127812577,318.8949763990622,312.94137622362604,216.58647853582474,170.0,170.0,170.0,170.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
