time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0011984385136972098,-0.0005062763739059293,-0.0013450669430017824,-0.0009203434846488692,-0.0010125021287806727,-0.00041671705726206894,-0.001103130135156792,-0.0007304297883888648,-2.2801932185813673e-10,-7.40368867666856e-11,-4.198043746828258e-11,9.740395858220574e-11,-9.57057913162949e-11,-3.9873979146019896e-11,-4.069100541469226e-11,4.957077012766464e-12,-0.0007572929245158931,-0.00035522469085438164,-0.0007998332806223033,-0.0006154713583495401,2.442112840032019e-05,-0.00011227870179318216,0.00033840835061441554,0.0003240891604590175,0.0002539638576843988,-0.00032136567306072954,0.0009509729461883869,0.0006898630934519103,-0.008044753423922303,-0.02705319310378921,0.0020237966264041556,-0.009974622866668068,-0.014569233043848058,-0.014385182388790182,-0.014397716783873634,-0.014349355656903259,-0.0043542182713442006,-0.004168244479733441,-0.004181518633918139,-0.004132550938131953,-0.005698423585064962,-0.0055126515762878164,-0.0055259435604765395,-0.005477018059963673,-0.004684303930127001,-0.004561941219934105,-0.004570687681934283,-0.004538463896072343,-0.004683409108910988,-0.004560905494926208,-0.004569640361349235,-0.0045373831950112145,-0.0035092938442139836,-0.0033868656157680036,-0.0033956232483683445,-0.003363381325838842,-0.0038847902204980993,-0.0037622063352664064,-0.0037708882665218406,-0.0037386727941222018,-0.0027249678414497562,-0.0029470226214853147,-0.0013621127765939415,-0.0018326834737492862,-0.003346019780275715,-0.0038863201595938576,-0.0020624809241561372,-0.002668536599600899,-0.004266824908876303,-0.006084902585417232,-0.0014965670207788618,-0.003126747192900994,-0.005122633184217846,-0.007957717859212036,-0.0013537509319395476,-0.003749166254417613,-0.00022099941661829015,-0.0001598648769896259,-1.3866542220039666e-06,-2.1630872066056373e-05,-0.0003584017825730244,-0.0001510178357291278,-0.00019742395298427776,-0.00013716790721362117,-0.00021764134853318194,-6.108146388385718e-05,-7.060499492522976e-06,4.178750820101832e-05,-0.00010459796539251715,8.419681317694912e-05,6.35836301122319e-05,0.00011416835529585464,-0.0004991576212016373,-0.0003464192348189598,-0.00032456039967985193,-0.00011133368272590969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.0011984383118451947,-0.0005062762771360687,-0.0013450666376044309,-0.0009203433084082712,-0.0010125021287822119,-0.0004167170572626481,-0.0011031301351584382,-0.0007304297883899142,-2.280193294282689e-10,-7.40368817577515e-11,-4.198045632475104e-11,9.740395858220829e-11,-9.570579665235354e-11,-3.987397909104426e-11,-4.069100682559081e-11,4.9570770127664285e-12,-0.0007572929245158951,-0.00035522469085437513,-0.0007998332806223026,-0.0006154713583495401,6.169305565171556e-05,-0.000249709914219927,0.0008188416113545602,0.000824722564010572,0.0002539638576847731,-0.00032136567307611936,0.0009509729462058432,0.0006898630934637631,-0.00804475342444083,-0.027053193105550592,0.002023796626541636,-0.0099746228673119,-0.014569233043738021,-0.014385182388676957,-0.014397716783769391,-0.014349355656795864,-0.0043542182713279705,-0.00416824447971783,-0.004181518633902811,-0.004132550938116667,-0.005698423585064936,-0.0055126515762879,-0.005525943560476746,-0.005477018059963673,-0.004684303930104247,-0.00456194121991186,-0.004570687681912455,-0.004538463896050301,-0.004683409108774353,-0.00456090549479244,-0.004569640361218409,-0.004537383194879268,-0.0035092938442298945,-0.0033868656157841123,-0.003395623248383768,-0.0033633813258544852,-0.0038847902204981106,-0.0037622063352664254,-0.003770888266522046,-0.0037386727941222018,-0.0027249678418029928,-0.002947022621861945,-0.0013621127767652749,-0.0018326834739792602,-0.0033460197804595594,-0.0038863201598072147,-0.002062480924268287,-0.0026685365997465506,-0.004286901700137381,-0.00611390483763416,-0.0015041480806874052,-0.0031419031711895423,-0.005122633184217966,-0.007957717859212012,-0.0013537509319395884,-0.003749166254417613,-0.0003788909126349097,-0.00027374897455856653,-4.376793598281719e-05,-8.295539229782909e-05,-0.0003584017825730117,-0.0001510178357291353,-0.00019742395298427614,-0.00013716790721362117,-0.00020289777538241562,-5.4402770127334224e-05,-2.1707981676497457e-06,4.445199266783461e-05,-0.00010470054735804373,8.417917747420759e-05,6.378031382785231e-05,0.00011435206953523219,-0.0013835291553168456,-0.001031730245642678,-0.0009788540259337507,-0.00037136204263377463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.912376949135378e-09,2.334721826979802e-08,-2.1008994433024952e-08,-2.4934947871987035e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.912376949135378e-09,2.3347218255920232e-08,-2.1008994433024952e-08,-2.493494787198727e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.08135160903722188,-0.08202980092105056,-0.11544367873412842,-0.15919800505147633,-0.06990251825744326,-0.0701614764822362,-0.10078328167828676,-0.13993322878898187,-0.01592014388031815,-0.016960585298275876,-0.01798792055147258,-0.02741288471541719,-0.01826924898204585,-0.025431467350594483,-0.029413787346982634,-0.04965968342466242,-0.04544306492701597,-0.04182542936768363,-0.06851138111175414,-0.09303932764149868,-0.03152633990482462,-0.029844571819792165,-0.0382265354546818,-0.04591824581096943,-0.03107429122024863,-0.02492403474750038,-0.03609319544117806,-0.03500332635412335,-6.091620652348695e-09,-2.933039366936896e-09,-7.726517203821004e-09,-5.742000743416591e-09,-0.0019349749976377284,-0.001934406695136781,-0.0019357525740870685,-0.0019352653765425704,-0.016860191506619215,-0.016863086145697093,-0.016862770126822024,-0.016863533268205305,-0.018345724052914347,-0.01834878625479397,-0.01834854264876462,-0.018349345133553862,-0.015351830462682514,-0.015353517857208399,-0.01535336900322104,-0.015353810053627735,-0.017587648441348414,-0.017589577642589393,-0.01758939418559624,-0.017589911364626166,-0.010623871965458775,-0.010625030016207404,-0.010624949588992294,-0.0106252562621116,-0.01581333160519982,-0.01581527581619735,-0.015814728939764322,-0.015815554020045103,-2.840961910166584e-10,-1.9519164062842265e-10,-3.303670670362635e-10,-2.744755164818718e-10,-2.384841768510171e-10,-1.725189990864351e-10,-2.708651081206881e-10,-2.300616680707737e-10,-9.122812505424349e-10,-4.950793108804419e-10,-1.1126810584016766e-09,-8.56799522647811e-10,-7.669245238872691e-10,-5.199637942432389e-10,-8.802376605387963e-10,-7.300730860146775e-10,-1.3270322785086108e-08,-1.165825863624903e-08,-1.2587185294066217e-08,-1.1964082616671718e-08,-3.697632688925978e-08,-2.577485913590749e-08,-4.5074281529444704e-08,-4.090930149284617e-08,-0.007318078922561366,-0.007253264412934529,-0.0072948382331669,-0.007309874737932586,-0.007232813244104963,-0.007720744031422616,-0.0054632187973957524,-0.0042742387886361855,-0.04604488705514259,-0.043221621637672486,-0.043228832039786225,-0.03634551226919869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.08135160903722188,-0.08202980092105056,-0.11544367873412842,-0.15919800505147633,-0.06990251825744337,-0.07016147648223597,-0.10078328167828676,-0.1399332287889169,-0.01592014387358054,-0.016960585291632857,-0.017987920604670915,-0.027412884736846766,-0.01826924898204585,-0.025431467350594483,-0.029413787346982634,-0.04965968342466242,-0.04544306492701597,-0.04182542936768363,-0.06851138111175414,-0.09303932764149868,-0.02882179030799442,-0.027284622416140714,-0.03494707910073913,-0.04197918720784507,-0.03107429122024863,-0.02492403474750038,-0.03609319544117806,-0.03500332635412335,-6.091620652348695e-09,-2.933039366936896e-09,-7.726517203821004e-09,-5.742000743416591e-09,-0.0019349749977538577,-0.0019344066952526884,-0.001935752574204308,-0.0019352653766588552,-0.016860191506619215,-0.016863086145697093,-0.016862770126822024,-0.016863533268205305,-0.018345724052914347,-0.01834878625479397,-0.01834854264876462,-0.018349345133553862,-0.015351830462682514,-0.015353517857208399,-0.01535336900322104,-0.015353810053627735,-0.017587648441348414,-0.017589577642589393,-0.01758939418559624,-0.017589911364626166,-0.01062387196212633,-0.010625030012874959,-0.010624949585661625,-0.010625256258777225,-0.015814086516569126,-0.015816031485108573,-0.01581548121201415,-0.015816309362082222,-2.8409630203896086e-10,-1.9519164062842265e-10,-3.303670670362635e-10,-2.744755164818752e-10,-2.384842323621683e-10,-1.725189990864351e-10,-2.708651081206881e-10,-2.300616680707692e-10,-9.122812505424349e-10,-4.950793108804419e-10,-1.1126810584016766e-09,-8.567995226478059e-10,-7.669245238872691e-10,-5.199635166874828e-10,-8.802376605387963e-10,-7.300730860146819e-10,-1.3276188093325203e-08,-1.166424001830535e-08,-1.2591749198875846e-08,-1.1969347735244688e-08,-3.697632688925978e-08,-2.577485913590749e-08,-4.5074281529444704e-08,-4.090930149284617e-08,-0.007624390326180952,-0.007556886185169892,-0.007600164739744231,-0.0076158362175201355,-0.007232717267892208,-0.007720641573767784,-0.005463146301290855,-0.004274182062147495,-0.04604489931830413,-0.04322169825905764,-0.04322924881024326,-0.03634534508608232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,8.836689158187028e-10,7.274407742841049e-10,7.129479229206481e-10,2.2523407675930298e-10,6.865066293215705e-10,5.741733755115774e-10,5.815721237922844e-10,2.9666625808743973e-10,6.082290227027443e-10,4.92792473494319e-10,5.198081964863377e-10,2.411305321035528e-10,5.712110784372726e-10,4.78149075888723e-10,5.015365900362667e-10,2.579557877273686e-10,4.6334458492225394e-10,4.2568126801256767e-10,3.2882851996873796e-10,7.848100068164575e-11,3.366021439354938e-08,3.543637694392032e-08,3.16781516573883e-08,3.1464870873922315e-08,0.5043728671863454,0.39511430665586866,0.578513354835815,0.5321278105973816,0.2226984681916253,-0.04222992997293984,0.35979508255705284,0.19333098928653825,-0.008447760681261407,-0.008451063675748216,-0.008448909911681568,-0.008450094497975345,-0.10842852724859942,-0.10845296541001925,-0.10844797507079207,-0.10845537118708193,-0.0725373452297533,-0.07255016362619315,-0.07254949776709552,-0.07255278673091714,-0.09833847214834712,-0.09835003644877904,-0.0983492046263379,-0.09835222026033703,-0.12072001611393768,-0.12073514666263385,-0.120733776775662,-0.12073783665722693,-0.038992377812808954,-0.03899662232981527,-0.03899631585788654,-0.03899743984037611,-0.07490094167844186,-0.07491446643065114,-0.0749092948741854,-0.07491697336932558,-7.726859152512588e-10,-5.867630825662218e-10,-8.931957395930112e-10,-7.703309103093131e-10,-4.3925685311307916e-10,-3.3743807748010113e-10,-5.032649852410032e-10,-4.3678155128047114e-10,-3.3159643919589143e-09,-9.106866372121658e-10,-4.821014698563886e-09,-3.252037894294739e-09,-2.988718605934082e-09,-2.343447658148534e-09,-3.7003289321546617e-09,-3.2022831644767973e-09,-2.8585780409429162e-09,-2.637386309345402e-09,-2.087382711124519e-09,-2.168030912295284e-09,-5.158304783314804e-09,-2.7958110271342207e-09,-6.726299517367806e-09,-5.690800664233385e-09,-2.0120614951935067e-08,-2.185123415543444e-08,-1.78144103912814e-08,-1.706518601746936e-08,-6.684034437043351e-09,-7.42648054163908e-09,-2.486406636137417e-09,1.8558022090956117e-09,-0.17203898003976814,-0.1731740388490418,-0.16043457147278506,-0.14723772733833934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
