time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0011985134886364742,-0.0005062315626856084,-0.0013445681294576993,-0.0009203152077239948,-0.0013764473770154675,-0.0012521373108557734,-0.001726937435776137,-0.0022725246744275457,-1.1145559437306557e-09,-4.4181659445676734e-10,-2.831686496101613e-10,2.553077108605831e-10,-5.184647457455043e-10,-2.4083168337632133e-10,-2.422400068981404e-10,-2.2973851170929166e-11,-0.0009715653211232096,-0.0007882946465954492,-0.0011966681629181804,-0.0015099697521003244,-0.020895236050269994,-0.06583677093319361,0.03166946953011857,0.006318773666019599,-0.00462020558355436,-0.020256343052612036,0.003615669805555388,-0.006243108313913684,-0.008046361087014287,-0.02705171592688549,0.0020230651511310427,-0.009975609505954894,-0.028121256892961077,-0.027943880475998606,-0.02794983628991332,-0.027904833302138613,-0.005140015113212049,-0.0049541591619925995,-0.004967453786409504,-0.004918508913289535,-0.007491993048743706,-0.007614350618384114,-0.007404563215115623,-0.007448028264474717,-0.004771437391824729,-0.004649135695889761,-0.004657877186756032,-0.004625670333658679,-0.004149011501382027,-0.00401684320718898,-0.004044220154758804,-0.0039975587594091025,-0.0055764383553694955,-0.005454184294546888,-0.00546292972935703,-0.005430732536699106,-0.0039447735807698215,-0.003821288631610378,-0.0038308214478094222,-0.0037988287532054192,-0.002724790870633054,-0.0029470725886002374,-0.0013619102524084882,-0.0018326051180398335,-0.0037572294880344735,-0.004724471147521154,-0.0022022845405755423,-0.003088634521419683,-0.004276426176382691,-0.006099581155947608,-0.0014996722902145695,-0.003134227803596153,-0.0052641580743993475,-0.012873925042943345,-0.0011491199802781396,-0.005973684134002455,-0.00029989502722685174,-0.00021679266085594367,-2.257828032624674e-05,-5.231239388094039e-05,-0.0035838230249958113,-0.006606026393013349,-0.0017854192631640779,-0.003742250601925511,-0.0002102746163128202,-5.77407403513502e-05,-4.617535008327964e-06,4.3113539644340436e-05,-0.00010729272208673015,8.298642813118368e-05,6.502572632344363e-05,0.00011637538984472755,-0.0009411460993826986,-0.0006889550365233081,-0.0006517965973792097,-0.0002415301556546635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.0011985134886390606,-0.0005062315626864012,-0.0013445681294608348,-0.0009203152077256098,-0.001376447376919869,-0.001252137310770117,-0.0017269374356573119,-0.002272524674274144,-1.1145559235827934e-09,-4.418165929972242e-10,-2.831686052601581e-10,2.553077108605399e-10,-5.184647409741245e-10,-2.4083166471897455e-10,-2.422400047662051e-10,-2.29738511709296e-11,-0.0009715653211226037,-0.0007882946465949704,-0.001196668162917424,-0.0015099697520993814,-0.020895236050593513,-0.06583677093442065,0.03166946953078414,0.006318773666195919,-0.004620205583447723,-0.020256343052144188,0.0036156698054723435,-0.006243108313769206,-0.00804634612559657,-0.027051665828168203,0.0020230632976767637,-0.009975590556477594,-0.02812137102182566,-0.027943999801069097,-0.027949951852972,-0.027904948697437343,-0.005140015102231887,-0.004954159235116995,-0.004967453443941672,-0.004918508888917483,-0.00790209851122925,-0.007408881019058011,-0.0076452038362173624,-0.007504071259136178,-0.004771437295816416,-0.004649135871027443,-0.004657876611926071,-0.004625670300267869,-0.004255321640459164,-0.004142753022382983,-0.004132878242336879,-0.00411508762391997,-0.005576438355377777,-0.005454184294555381,-0.005462929729364791,-0.0054307325367074,-0.003921495158003286,-0.003800105726737144,-0.0038080073480858583,-0.003775591314785641,-0.0027247908704629174,-0.0029470725884310585,-0.001361910252327697,-0.0018326051179362636,-0.003757193104822505,-0.004724432973731681,-0.0022022633238020636,-0.003088607792097143,-0.00427642809896186,-0.006099583589828984,-0.0014996729454425776,-0.0031342290923356887,-0.0052698591398595476,-0.012887922677674753,-0.0011503866895081491,-0.005980131155882496,-0.0002999259098581976,-0.00021681778322670293,-2.2594883153603492e-05,-5.231415032510908e-05,-0.00358387112484472,-0.0066061183397373045,-0.0017854426402161346,-0.0037423020805055374,-0.00021027105445419944,-5.773879311174461e-05,-4.61689840194878e-06,4.3114471089269395e-05,-0.00010202002585749346,8.536869876164787e-05,6.234052870362903e-05,0.00011216907836670543,-0.0009411460993827021,-0.0006889550365232914,-0.0006517965973792136,-0.0002415301556546635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.341489486831996e-09,3.227816235129577e-08,-2.4365746087440243e-08,-1.3244192903927334e-09,-0.005323788680136679,0.030351198319988754,-0.023745461901758858,-0.001389355340411186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.341012063175832e-09,3.228281010569933e-08,-2.4367936279912072e-08,-1.3238269169914365e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.08135642783808639,-0.08202763393720958,-0.11541477529948008,-0.15919596452583387,-0.07046803191144307,-0.06945194617153488,-0.10173711154240683,-0.13947561469315478,-0.01594893588135471,-0.01697828724453382,-0.01792481285629277,-0.027397146672073002,-0.01831143041645633,-0.025421496355842843,-0.029433884130837917,-0.0496370301251473,-0.045741765471933454,-0.04153847896935975,-0.06917029697046195,-0.09302846084736405,-0.12125384910733536,-0.09858191578228803,-0.13828846964513009,-0.12709794763185042,-5.445007527637991e-07,-3.1968169167395644e-07,-6.624864088422555e-07,-5.195543213904742e-07,-2.5183740037793e-08,-1.3086507877346776e-08,-3.1444353787435375e-08,-2.382434122503034e-08,-0.006269774275597939,-0.006269918891492754,-0.006271157863879218,-0.006270900980077907,-0.023548343324513943,-0.0235523299374798,-0.023552065911325304,-0.02355295367340529,-0.02987628374172735,-0.02988133912872626,-0.02988068565837576,-0.0298820545496142,-0.03062545226740454,-0.03062889125760293,-0.030628304848488774,-0.03062928799612499,-0.029800494893689855,-0.029803808469757165,-0.02980342255362256,-0.02980428943153327,-0.04694997360740727,-0.046955084307626294,-0.046954830632417455,-0.04695612357256398,-0.021917552039177446,-0.0219200904622332,-0.02191965819848729,-0.021920564406822957,-1.2403573168562332e-09,-8.106778026650829e-10,-1.4642067558412464e-09,-1.1861394869208775e-09,-9.796395916694678e-10,-6.946975217303475e-10,-1.1289127410663014e-09,-9.43159922920031e-10,-4.023787636420195e-09,-2.126575915362139e-09,-5.029123339994612e-09,-3.776227506889347e-09,-4.412662457653482e-09,-3.160615880126727e-09,-5.126276292344301e-09,-4.260900788267139e-09,-2.4898142769735898e-08,-2.1583746068198906e-08,-2.406741139715507e-08,-2.2568542089872063e-08,-3.2394152083004e-09,-2.112775343565687e-09,-3.832125949898568e-09,-3.1216410746596027e-09,-0.007471340479739241,-0.007405289491155598,-0.007447355766653896,-0.0074625561315253075,-0.0072327946086642725,-0.0077203383864555275,-0.005463361394042021,-0.004274685319169001,-0.04603285429666587,-0.04321424553685205,-0.043236891676780465,-0.03635604495423721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.08135642783808644,-0.08202763393720963,-0.11541477529948097,-0.15919596452581558,-0.07046631471815251,-0.06945103303446204,-0.10172933782101135,-0.13947796217084793,-0.01594295585355998,-0.016940450669789553,-0.01805599866268537,-0.027399176037069886,-0.01831143041645633,-0.025421496355842843,-0.029433884130837917,-0.0496370301251473,-0.04574176547193348,-0.041538478969359804,-0.06917029697046151,-0.09302846084736824,-0.12125384910733536,-0.09858191578228803,-0.13828846964513009,-0.12709794763185042,-5.44623832088309e-07,-3.1980171744105945e-07,-6.625913693270036e-07,-5.196718355256611e-07,-2.5183740148815303e-08,-1.3086507877346776e-08,-3.1444353787435375e-08,-2.382434122503109e-08,-0.006269774275565743,-0.006269918891460335,-0.006271157863846355,-0.006270900980045461,-0.023548343314667153,-0.02355232992763101,-0.023552065901476738,-0.02355295366355575,-0.029876283720811747,-0.02988133910780677,-0.029880685637457383,-0.029882054528693264,-0.030625452253807528,-0.030628891244004475,-0.030628304834890763,-0.03062928798252515,-0.029800494879407058,-0.029803808455472147,-0.029803422539338875,-0.029804289417246336,-0.04694997360157416,-0.04695508430179274,-0.046954830626585675,-0.04695612356672962,-0.02191755201473855,-0.021920090437791417,-0.02191965817404551,-0.021920564382379375,-1.2403573168562332e-09,-8.106778026650829e-10,-1.4642067558412464e-09,-1.1861394869208775e-09,-9.796395916694678e-10,-6.946975772414987e-10,-1.1289127410663014e-09,-9.431599229200449e-10,-4.023787636420195e-09,-2.126575915362139e-09,-5.029123339994612e-09,-3.776227506889347e-09,-4.412662235608877e-09,-3.160615880126727e-09,-5.126276292344301e-09,-4.260900788267215e-09,-2.4898142769735898e-08,-2.1583746068198906e-08,-2.406741139715507e-08,-2.2568542089872063e-08,-3.239759155393429e-09,-2.1127470051229835e-09,-3.83213594190579e-09,-3.1216367336745692e-09,-0.007471340479739241,-0.007405289491155598,-0.007447355766653896,-0.0074625561315253075,-0.007232792808215982,-0.00772033646442527,-0.005463360034343445,-0.0042746842552355635,-0.04603285429666587,-0.04321424553685205,-0.043236891676780465,-0.03635604495423721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,4.348623239280869e-09,3.6002107961508045e-09,3.859595310018449e-09,1.4703205700862925e-09,3.223106226357686e-09,2.651493247185499e-09,2.9464644057952682e-09,1.467919171703066e-09,2.5527533420444115e-09,2.014441946585066e-09,2.4085711203269966e-09,1.2674487558618845e-09,2.4339787962901482e-09,1.972250363024841e-09,2.2817214784254247e-09,1.2313125444685154e-09,2.1422110751956325e-09,1.9329107203702733e-09,1.5146790488529405e-09,2.8740560201186454e-10,8.028450126928988e-09,5.113818701829587e-09,9.44847933226356e-09,7.727111038853316e-09,8.57115400876296e-08,4.2281042667013935e-08,1.0769520208953054e-07,8.079041639292862e-08,0.22267588350339373,-0.042360074950201554,0.35987442209057363,0.19330813467879632,-0.012551225465784022,-0.012554105854105657,-0.012552827250544851,-0.012553836038388746,-0.06836117389518304,-0.0683722895888148,-0.06837169184730207,-0.0683747631768871,-0.05308632320504847,-0.05309517234648364,-0.05309475844992306,-0.05309698454829721,-0.11496560696588354,-0.11497836333737688,-0.1149776103256066,-0.1149808909302941,-0.10998562680571045,-0.10999739833153122,-0.10999646363792337,-0.1099996815769884,-0.10130045851451897,-0.10131129061069899,-0.10131045956383389,-0.10131334965885552,-0.05212668820992583,-0.052132361136137284,-0.05213168573962079,-0.05213388585913825,-4.218017490842385e-09,-3.35996030997876e-09,-5.160166516304798e-09,-4.512276438370647e-09,-2.2659178977590955e-09,-1.9649655236264607e-09,-2.6384308071669693e-09,-2.4067445805814683e-09,-1.51797743264126e-08,-3.6125025193456395e-09,-2.233532114814807e-08,-1.4939192932418763e-08,-6.92215573749877e-09,-4.007375764558674e-09,-8.165480736010977e-09,-6.572338318274579e-09,-1.2531200743737259e-08,-1.0034159947380772e-08,-1.0111357084952033e-08,-9.937443492495997e-09,-6.587529632895439e-09,-2.6868598457241433e-09,-8.581564792109475e-09,-6.158307254291315e-09,-1.0958119500692476e-07,-1.1648028463984161e-07,-9.877305329197839e-08,-9.453511562758852e-08,-2.5844517193007732e-08,-2.7156051962684558e-08,-9.924754351686715e-09,8.214843067045565e-09,-0.1720251318774959,-0.17315301456708143,-0.16033474246690638,-0.147280986170144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
