line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,118.81,56.19,175.0,175.0,67.9,100.0,True
A1,2020-07-15 01:00:00,167.37,7.63,175.0,175.0,95.6,100.0,True
A1,2020-07-15 02:00:00,174.4,0.6,175.0,175.0,99.7,100.0,True
A1,2020-07-15 03:00:00,174.26,0.74,175.0,175.0,99.6,100.0,True
A1,2020-07-15 04:00:00,144.1,22.03,166.13,175.0,82.3,94.9,False
A1,2020-07-15 05:00:00,102.7,0.0,102.7,175.0,58.7,58.7,False
A1,2020-07-15 06:00:00,95.07,0.0,95.07,175.0,54.3,54.3,False
A1,2020-07-15 07:00:00,91.23,0.0,91.23,175.0,52.1,52.1,False
A1,2020-07-15 08:00:00,105.17,0.0,105.17,175.0,60.1,60.1,False
A1,2020-07-15 09:00:00,115.74,55.55,171.29,175.0,66.1,97.9,False
A1,2020-07-15 10:00:00,123.66,50.62,174.28,175.0,70.7,99.6,True
A1,2020-07-15 11:00:00,124.54,50.46,175.0,175.0,71.2,100.0,True
A1,2020-07-15 12:00:00,131.24,43.76,175.0,175.0,75.0,100.0,True
A1,2020-07-15 13:00:00,136.16,38.84,175.0,175.0,77.8,100.0,True
A1,2020-07-15 14:00:00,133.07,41.93,175.0,175.0,76.0,100.0,True
A1,2020-07-15 15:00:00,131.24,43.76,175.0,175.0,75.0,100.0,True
A1,2020-07-15 16:00:00,130.92,44.08,175.0,175.0,74.8,100.0,True
A1,2020-07-15 17:00:00,135.07,39.93,175.0,175.0,77.2,100.0,True
A1,2020-07-15 18:00:00,130.86,44.14,175.0,175.0,74.8,100.0,True
A1,2020-07-15 19:00:00,126.91,48.09,175.0,175.0,72.5,100.0,True
A1,2020-07-15 20:00:00,125.98,48.69,174.67,175.0,72.0,99.8,True
A1,2020-07-15 21:00:00,123.02,0.0,123.02,175.0,70.3,70.3,False
A1,2020-07-15 22:00:00,109.06,0.0,109.06,175.0,62.3,62.3,False
A1,2020-07-15 23:00:00,79.11,0.0,79.11,175.0,45.2,45.2,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,39.63,0.0,39.63,175.0,22.6,22.6,False
A2,2020-07-15 01:00:00,74.75,0.0,74.75,175.0,42.7,42.7,False
A2,2020-07-15 02:00:00,93.61,0.0,93.61,175.0,53.5,53.5,False
