Dispatch,7/15/2020 0:00,7/15/2020 1:00,7/15/2020 2:00,7/15/2020 3:00,7/15/2020 4:00,7/15/2020 5:00,7/15/2020 6:00,7/15/2020 7:00,7/15/2020 8:00,7/15/2020 9:00,7/15/2020 10:00,7/15/2020 11:00,7/15/2020 12:00,7/15/2020 13:00,7/15/2020 14:00,7/15/2020 15:00,7/15/2020 16:00,7/15/2020 17:00,7/15/2020 18:00,7/15/2020 19:00,7/15/2020 20:00,7/15/2020 21:00,7/15/2020 22:00,7/15/2020 23:00,7/16/2020 0:00,7/16/2020 2:00,7/16/2020 4:00,7/16/2020 6:00,7/16/2020 8:00,7/16/2020 10:00,7/16/2020 12:00,7/16/2020 14:00,7/16/2020 16:00,7/16/2020 18:00,7/16/2020 20:00,7/16/2020 22:00,,,,,,,,,,,,
101_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
101_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
101_STEAM_3,31.10895751,30.46178084,30.00791338,30.01243647,30.09230748,31.14827624,34.2700097,39.10465693,39.11020552,36.47191196,51.99253979,56.22229297,37.78516378,37.83185821,65.87319301,52.41793494,51.81583293,38.43919763,58.80892677,37.50603453,37.41761004,36.37592979,37.43979657,35.44598473,36.58312012,30,30,45.68032587,30,30,30,33.58369713,30.83453973,69.83287528,60.42734475,0,,,,,,,,,,,,
101_STEAM_4,31.13799158,30.25782442,30.00863695,30.01025119,30.08793579,31.17429391,32.31942954,34.2670887,39.30435997,47.66959237,37.1102561,37.55447264,60.58467219,64.11956781,37.97133737,52.42525921,51.82216293,62.32870931,37.84486712,56.30048876,51.97601165,45.64793949,37.50573823,33.13161735,30,32.62272971,35.56730437,30,56.4491112,67.60219717,75.65379701,76,76,30,30,76,,,,,,,,,,,,
102_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
102_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
102_STEAM_3,46.82710376,46.06043532,67.6567621,68.03036857,62.00601352,53.00272427,65.32070442,67.35598066,69.26310572,67.49224392,68.37766537,68.98655293,70.05364704,69.95754536,70.60019514,68.23560974,69.39927489,69.10056373,68.10468905,67.21461174,68.06494437,71.02505518,68.93853489,66.57417479,76,30,76,76,76,76,76,76,76,76,76,76,,,,,,,,,,,,
102_STEAM_4,47.40391602,45.80929136,47.11201827,43.10929571,60.82798608,53.00223133,65.60423111,67.6305984,69.54712617,67.98577778,68.57924443,69.37415772,70.23302995,70.10665869,70.08168949,69.17575448,69.53526101,68.33622798,66.95065129,66.89461342,67.00385537,70.88405614,69.29132073,66.57417479,38.38267264,30,56.76919602,76,76,76,76,76,76,76,76,76,,,,,,,,,,,,
107_CC_1,170.1317852,170.0546341,172.0701512,172.6097625,175.6153781,170.0010845,198.3951075,229.8768264,327.8605585,328.3828012,333.0934255,327.8035184,321.3130343,333.9213777,339.3268192,334.7357425,338.0536718,334.264862,328.5168996,325.4402552,328.5978192,340.4617252,328.9896767,214.0269433,170,170,170,170,355,355,355,355,355,355,355,0,,,,,,,,,,,,
113_CT_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.89226333,49.61799623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
113_CT_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
113_CT_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.30105668,30.99010082,36.69423186,30.85295586,30.54252071,30.26970432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
113_CT_4,0,0,0,0,0,0,0,0,0,0,0,0,0,37.21815727,49.52500823,49.30437394,47.45411772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
115_STEAM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
115_STEAM_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
115_STEAM_3,62.18020185,62.04274896,63.83918798,64.01779842,67.6844562,62.00297074,80.93356539,139.8186645,144.2743698,144.805198,145.4260897,145.4956578,147.0374955,147.2986592,147.7704149,146.1767443,146.0695749,145.2354838,143.4294922,143.7403179,143.2894579,145.3485651,141.8186251,135.1239942,62,62,62,155,155,155,155,155,155,155,155,155,,,,,,,,,,,,
116_STEAM_1,67.94742934,62.0331993,63.9027961,64.36174548,68.05008196,77.1323115,128.4565816,139.3403095,144.380536,144.8723157,145.3693172,146.2884768,146.2861305,147.935012,147.511859,146.6545051,144.7449989,145.6494431,142.3826279,144.1831532,141.4650368,146.7976667,142.52462,135.0356238,62,62,62,155,155,155,155,155,155,155,155,155,,,,,,,,,,,,
118_CC_1,170.0521504,170.0259374,171.0129454,171.1644141,173.0991855,170.0006868,188.8967764,200.1775645,335.5349991,338.3904631,341.422496,341.838125,341.2846098,345.2416369,344.8738892,342.2801429,343.3218999,340.2788351,334.9648633,335.6460898,234.9223921,0,0,0,0,0,0,0,355,355,355,355,355,355,355,355,,,,,,,,,,,,
