line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 03:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 04:00:00,170.93,0.0,170.93,175.0,97.7,97.7,False
A1,2020-07-15 05:00:00,4.92,0.0,4.92,175.0,2.8,2.8,False
A1,2020-07-15 06:00:00,154.32,0.0,154.32,175.0,88.2,88.2,False
A1,2020-07-15 07:00:00,160.41,0.0,160.41,175.0,91.7,91.7,False
A1,2020-07-15 08:00:00,165.94,0.0,165.94,175.0,94.8,94.8,False
A1,2020-07-15 09:00:00,169.07,0.0,169.07,175.0,96.6,96.6,False
A1,2020-07-15 10:00:00,171.7,0.0,171.7,175.0,98.1,98.1,False
A1,2020-07-15 11:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 13:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 15:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 17:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 19:00:00,173.28,0.0,173.28,175.0,99.0,99.0,False
A1,2020-07-15 20:00:00,171.04,0.0,171.04,175.0,97.7,97.7,False
A1,2020-07-15 21:00:00,166.1,0.0,166.1,175.0,94.9,94.9,False
A1,2020-07-15 22:00:00,159.66,0.0,159.66,175.0,91.2,91.2,False
A1,2020-07-15 23:00:00,155.01,0.0,155.01,175.0,88.6,88.6,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
