line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,65.41,61.54,126.95,175.0,37.4,72.5,False
A1,2020-07-15 01:00:00,133.52,24.06,157.57,175.0,76.3,90.0,False
A1,2020-07-15 02:00:00,163.49,7.67,171.16,175.0,93.4,97.8,False
A1,2020-07-15 03:00:00,159.21,10.58,169.78,175.0,91.0,97.0,False
A1,2020-07-15 04:00:00,136.95,19.75,156.7,175.0,78.3,89.5,False
A1,2020-07-15 05:00:00,138.72,0.0,138.72,175.0,79.3,79.3,False
A1,2020-07-15 06:00:00,149.71,0.0,149.71,175.0,85.5,85.5,False
A1,2020-07-15 07:00:00,140.36,0.0,140.36,175.0,80.2,80.2,False
A1,2020-07-15 08:00:00,157.13,0.0,157.13,175.0,89.8,89.8,False
A1,2020-07-15 09:00:00,137.6,33.33,170.93,175.0,78.6,97.7,False
A1,2020-07-15 10:00:00,146.46,26.92,173.38,175.0,83.7,99.1,False
A1,2020-07-15 11:00:00,152.98,22.02,175.0,175.0,87.4,100.0,True
A1,2020-07-15 12:00:00,164.11,10.89,175.0,175.0,93.8,100.0,True
A1,2020-07-15 13:00:00,68.7,106.3,175.0,175.0,39.3,100.0,True
A1,2020-07-15 14:00:00,163.91,11.09,175.0,175.0,93.7,100.0,True
A1,2020-07-15 15:00:00,129.78,24.14,153.92,175.0,74.2,88.0,False
A1,2020-07-15 16:00:00,153.98,21.02,175.0,175.0,88.0,100.0,True
A1,2020-07-15 17:00:00,153.23,21.77,175.0,175.0,87.6,100.0,True
A1,2020-07-15 18:00:00,149.53,25.47,175.0,175.0,85.4,100.0,True
A1,2020-07-15 19:00:00,159.66,15.34,175.0,175.0,91.2,100.0,True
A1,2020-07-15 20:00:00,154.53,18.83,173.36,175.0,88.3,99.1,False
A1,2020-07-15 21:00:00,161.45,0.0,161.45,175.0,92.3,92.3,False
A1,2020-07-15 22:00:00,152.84,0.0,152.84,175.0,87.3,87.3,False
A1,2020-07-15 23:00:00,145.67,0.0,145.67,175.0,83.2,83.2,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,36.45,0.0,36.45,175.0,20.8,20.8,False
