hour,122_WIND_1,303_WIND_1,309_WIND_1,317_WIND_1
0,551.35,145.16,18.16,196.03
1,501.44,152.25,15.66,152.29
2,461.08,158.25,15.59,120.3
3,451.32,158.32,17.32,111.59
4,499.62,157.4,26.15,123.34
5,497.7,149.35,32.3,128.35
6,388.81,155.79,34.98,172.87
7,406.42,145.07,31.62,152.51
8,514.48,137.77,31.82,94.76
9,484.71,140.89,32.22,137.14
10,451.24,137.87,30.84,162.57
11,428.25,123.43,29.5,156.68
12,406.46,114.17,28.87,151.87
13,390.39,114.18,28.66,152.14
14,399.36,129.68,29.49,154.07
15,454.71,271.39,51.67,269.31
16,492.67,248.59,60.28,328.73
17,511.92,252.27,66.29,349.58
18,524.74,304.03,75.52,367.03
19,549.28,420.34,87.35,404.14
20,581.44,484.59,82.41,417.18
21,587.09,527.46,88.9,454.12
22,602.64,621.31,86.77,514.7
23,612.96,571.34,76.83,542.99
24,576.56,291.51,36.19,359.74
25,513.17,181.92,17.79,243.39
26,487.98,146.16,14.36,206.36
27,479.5,155.15,18.54,219.86
28,391.21,187.1,29.18,259.98
29,243.7,150.41,31.02,224.15
30,130.98,111.39,29.12,170.07
31,9.43,105.01,26.81,147.98
32,30.58,121.81,20.35,79.99
33,38.9,88.52,19.96,79.54
34,8.43,49.49,11.36,61.55
35,10.77,39.97,8.4,49.69
36,24.83,33.46,6.29,38.65
37,39.51,38.2,6.06,25.52
38,69.09,27.3,3.95,22.23
39,115.16,85.19,15.35,107.93
40,225.97,168.71,27.14,213.98
41,217.23,177.22,24.98,243.31
42,144.19,179.53,23.42,279.58
43,105.47,158.98,20.53,286.11
44,80.94,105.95,16.33,255.58
45,14.45,210.66,29.95,219.76
46,15.45,108.55,14.17,71.83
47,14.59,49.6,9.16,35.31
