hour,122_WIND_1,303_WIND_1,309_WIND_1,317_WIND_1
0,523.36,714.4,124.63,688.06
1,490.13,739.28,124.3,687.76
2,457.49,746.67,121.29,679.64
3,433.13,739.57,115.98,659.85
4,409.17,714.1,108.48,634.85
5,393.87,677.62,99.4,600.86
6,378.92,635.92,89.23,550.6
7,354.81,578.59,78.07,484.45
8,302.96,511.48,67.73,408.18
9,222.13,356.44,46.88,274.81
10,208.05,313.48,44.09,258.94
11,221.73,314.57,45.81,268.8
12,245.16,324.5,50.79,300.49
13,267.51,334.39,57.47,339.44
14,298.66,353.96,63.66,390.95
15,340.33,385.04,70.84,426.41
16,376.41,403.54,74.13,448.37
17,391.65,407.42,73.17,463.22
18,390.12,437.13,78.91,477.67
19,370.59,474.35,81.94,493.54
20,390.75,524.53,92.15,554.52
21,404.78,597.44,106.07,620.26
22,390.1,670.9,118.05,671.89
23,498.58,762.68,129.68,714.12
24,485.4,776.36,130.11,714.82
25,472.29,788.95,129.46,716.88
26,455.15,797.99,128.1,716.99
27,439.04,799.14,125.53,704.98
28,421.21,785.44,121.58,683.8
29,399.65,741.52,115.58,657.12
30,364.84,695.27,109.07,630.37
31,314.1,660.06,100.23,599.34
32,248.03,606.76,89.53,541.92
33,180.2,505.69,70.89,455.43
34,164.48,514.92,72.94,475.54
35,169.77,551.01,78.77,499.94
36,191.8,585.54,86.8,526.61
37,214.29,605.43,94.68,549.41
38,254.87,617.58,100.92,575.84
39,285.74,621.09,103.24,582.06
40,270.2,593.88,99.83,575.61
41,244.25,530.57,89.11,541.84
42,224.96,486.65,84.55,507.27
43,191.89,502.19,85.61,502.03
44,185.03,566.19,97.71,551.99
45,190.01,644.38,109.32,589.47
46,196.88,692.6,113.88,601.07
47,218.92,733.49,123.39,648.01
