line,101_CT_1,101_CT_2,101_STEAM_3,101_STEAM_4,102_CT_1,102_CT_2,102_STEAM_3,102_STEAM_4,107_CC_1,113_CT_1,113_CT_2,113_CT_3,113_CT_4,115_STEAM_1,115_STEAM_2,115_STEAM_3,116_STEAM_1,118_CC_1,122_WIND_1,123_CT_1,123_CT_4,123_CT_5,123_STEAM_2,123_STEAM_3,201_CT_1,201_CT_2,201_STEAM_3,202_CT_1,202_CT_2,202_STEAM_3,202_STEAM_4,207_CT_1,207_CT_2,212_CSP_1,213_CC_3,213_CT_1,213_CT_2,215_CT_4,215_CT_5,216_STEAM_1,218_CC_1,221_CC_1,223_CT_4,223_CT_5,223_CT_6,223_STEAM_1,223_STEAM_2,223_STEAM_3,301_CT_1,301_CT_2,301_CT_3,301_CT_4,302_CT_1,302_CT_2,302_CT_3,302_CT_4,303_WIND_1,307_CT_1,307_CT_2,309_WIND_1,313_CC_1,315_CT_6,315_CT_7,315_CT_8,315_STEAM_1,315_STEAM_2,315_STEAM_3,315_STEAM_4,315_STEAM_5,316_STEAM_1,317_WIND_1,318_CC_1,321_CC_1,322_CT_5,322_CT_6,323_CC_1,323_CC_2
A1,0.000000,0.000000,0.000000,0.000000,-0.942885,-0.942885,-0.942885,-0.942885,-0.442530,-0.436340,-0.436340,-0.436340,-0.436340,-0.410124,-0.410124,-0.410124,-0.416607,-0.414049,-0.413911,-0.429184,-0.429184,-0.429184,-0.429184,-0.429184,-0.433017,-0.433017,-0.433017,-0.432954,-0.432954,-0.432954,-0.432954,-0.432394,-0.432394,-0.431607,-0.431425,-0.431425,-0.431425,-0.432682,-0.432682,-0.431932,-0.431902,-0.432147,-0.430159,-0.430159,-0.430159,-0.430159,-0.430159,-0.430159,-0.421239,-0.421239,-0.421239,-0.421239,-0.421224,-0.421224,-0.421224,-0.421224,-0.421704,-0.421094,-0.421094,-0.421147,-0.420722,-0.422641,-0.422641,-0.422641,-0.422641,-0.422641,-0.422641,-0.422641,-0.422641,-0.422292,-0.423199,-0.423679,-0.423313,-0.423269,-0.423269,-0.419900,-0.419900
A2,0.000000,0.000000,0.000000,0.000000,-0.022602,-0.022602,-0.022602,-0.022602,-0.229785,-0.242660,-0.242660,-0.242660,-0.242660,-0.297185,-0.297185,-0.297185,-0.283699,-0.289020,-0.289308,-0.257542,-0.257542,-0.257542,-0.257542,-0.257542,-0.249570,-0.249570,-0.249570,-0.249702,-0.249702,-0.249702,-0.249702,-0.250865,-0.250865,-0.252502,-0.252882,-0.252882,-0.252882,-0.250268,-0.250268,-0.251827,-0.251890,-0.251380,-0.255514,-0.255514,-0.255514,-0.255514,-0.255514,-0.255514,-0.274066,-0.274066,-0.274066,-0.274066,-0.274097,-0.274097,-0.274097,-0.274097,-0.273099,-0.274368,-0.274368,-0.274258,-0.275141,-0.271150,-0.271150,-0.271150,-0.271150,-0.271150,-0.271150,-0.271150,-0.271150,-0.271876,-0.269989,-0.268993,-0.269752,-0.269845,-0.269845,-0.276852,-0.276852
A3,0.000000,0.000000,0.000000,0.000000,-0.034513,-0.034513,-0.034513,-0.034513,-0.327685,-0.321000,-0.321000,-0.321000,-0.321000,-0.292692,-0.292692,-0.292692,-0.299693,-0.296931,-0.296781,-0.313274,-0.313274,-0.313274,-0.313274,-0.313274,-0.317413,-0.317413,-0.317413,-0.317344,-0.317344,-0.317344,-0.317344,-0.316740,-0.316740,-0.315890,-0.315693,-0.315693,-0.315693,-0.317050,-0.317050,-0.316241,-0.316208,-0.316473,-0.314326,-0.314326,-0.314326,-0.314326,-0.314326,-0.314326,-0.304695,-0.304695,-0.304695,-0.304695,-0.304679,-0.304679,-0.304679,-0.304679,-0.305197,-0.304538,-0.304538,-0.304595,-0.304137,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.305832,-0.306811,-0.307329,-0.306934,-0.306886,-0.306886,-0.303248,-0.303248
A4,0.000000,0.000000,0.000000,0.000000,0.028540,0.028540,0.028540,0.028540,-0.242949,-0.240987,-0.240987,-0.240987,-0.240987,-0.232677,-0.232677,-0.232677,-0.234732,-0.233922,-0.233878,-0.238719,-0.238719,-0.238719,-0.238719,-0.238719,-0.239934,-0.239934,-0.239934,-0.239913,-0.239913,-0.239913,-0.239913,-0.239736,-0.239736,-0.239487,-0.239429,-0.239429,-0.239429,-0.239827,-0.239827,-0.239590,-0.239580,-0.239658,-0.239028,-0.239028,-0.239028,-0.239028,-0.239028,-0.239028,-0.236200,-0.236200,-0.236200,-0.236200,-0.236196,-0.236196,-0.236196,-0.236196,-0.236348,-0.236154,-0.236154,-0.236171,-0.236037,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236534,-0.236822,-0.236974,-0.236858,-0.236844,-0.236844,-0.235776,-0.235776
A5,0.000000,0.000000,0.000000,0.000000,0.028576,0.028576,0.028576,0.028576,-0.199581,-0.195353,-0.195353,-0.195353,-0.195353,-0.177446,-0.177446,-0.177446,-0.181875,-0.180128,-0.180033,-0.190466,-0.190466,-0.190466,-0.190466,-0.190466,-0.193084,-0.193084,-0.193084,-0.193040,-0.193040,-0.193040,-0.193040,-0.192658,-0.192658,-0.192121,-0.191996,-0.191996,-0.191996,-0.192854,-0.192854,-0.192343,-0.192322,-0.192489,-0.191131,-0.191131,-0.191131,-0.191131,-0.191131,-0.191131,-0.185039,-0.185039,-0.185039,-0.185039,-0.185029,-0.185029,-0.185029,-0.185029,-0.185357,-0.184940,-0.184940,-0.184976,-0.184686,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185758,-0.186378,-0.186705,-0.186456,-0.186425,-0.186425,-0.184124,-0.184124
A6,0.000000,0.000000,0.000000,0.000000,-0.015451,-0.015451,-0.015451,-0.015451,-0.116236,-0.088868,-0.088868,-0.088868,-0.088868,0.027024,0.027024,0.027024,-0.001639,0.009669,0.010281,-0.057238,-0.057238,-0.057238,-0.057238,-0.057238,-0.074182,-0.074182,-0.074182,-0.073901,-0.073901,-0.073901,-0.073901,-0.071428,-0.071428,-0.067949,-0.067141,-0.067141,-0.067141,-0.072699,-0.072699,-0.069385,-0.069251,-0.070335,-0.061547,-0.061547,-0.061547,-0.061547,-0.061547,-0.061547,-0.022115,-0.022115,-0.022115,-0.022115,-0.022050,-0.022050,-0.022050,-0.022050,-0.024172,-0.021473,-0.021473,-0.021707,-0.019831,-0.028314,-0.028314,-0.028314,-0.028314,-0.028314,-0.028314,-0.028314,-0.028314,-0.026771,-0.030780,-0.032899,-0.031284,-0.031086,-0.031086,-0.016194,-0.016194
A7,0.000000,0.000000,0.000000,0.000000,-0.007152,-0.007152,-0.007152,-0.007152,-0.113549,-0.153792,-0.153792,-0.153792,-0.153792,-0.324209,-0.324209,-0.324209,-0.282060,-0.298688,-0.299589,-0.200304,-0.200304,-0.200304,-0.200304,-0.200304,-0.175388,-0.175388,-0.175388,-0.175801,-0.175801,-0.175801,-0.175801,-0.179437,-0.179437,-0.184553,-0.185741,-0.185741,-0.185741,-0.177569,-0.177569,-0.182442,-0.182639,-0.181044,-0.193968,-0.193968,-0.193968,-0.193968,-0.193968,-0.193968,-0.251951,-0.251951,-0.251951,-0.251951,-0.252047,-0.252047,-0.252047,-0.252047,-0.248927,-0.252895,-0.252895,-0.252551,-0.255310,-0.242836,-0.242836,-0.242836,-0.242836,-0.242836,-0.242836,-0.242836,-0.242836,-0.245105,-0.239209,-0.236094,-0.238468,-0.238759,-0.238759,-0.260658,-0.260658
A8,0.000000,0.000000,0.000000,0.000000,0.028540,0.028540,0.028540,0.028540,-0.242949,-0.240987,-0.240987,-0.240987,-0.240987,-0.232677,-0.232677,-0.232677,-0.234732,-0.233922,-0.233878,-0.238719,-0.238719,-0.238719,-0.238719,-0.238719,-0.239934,-0.239934,-0.239934,-0.239913,-0.239913,-0.239913,-0.239913,-0.239736,-0.239736,-0.239487,-0.239429,-0.239429,-0.239429,-0.239827,-0.239827,-0.239590,-0.239580,-0.239658,-0.239028,-0.239028,-0.239028,-0.239028,-0.239028,-0.239028,-0.236200,-0.236200,-0.236200,-0.236200,-0.236196,-0.236196,-0.236196,-0.236196,-0.236348,-0.236154,-0.236154,-0.236171,-0.236037,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236645,-0.236534,-0.236822,-0.236974,-0.236858,-0.236844,-0.236844,-0.235776,-0.235776
A9,0.000000,0.000000,0.000000,0.000000,-0.034513,-0.034513,-0.034513,-0.034513,-0.327685,-0.321000,-0.321000,-0.321000,-0.321000,-0.292692,-0.292692,-0.292692,-0.299693,-0.296931,-0.296781,-0.313274,-0.313274,-0.313274,-0.313274,-0.313274,-0.317413,-0.317413,-0.317413,-0.317344,-0.317344,-0.317344,-0.317344,-0.316740,-0.316740,-0.315890,-0.315693,-0.315693,-0.315693,-0.317050,-0.317050,-0.316241,-0.316208,-0.316473,-0.314326,-0.314326,-0.314326,-0.314326,-0.314326,-0.314326,-0.304695,-0.304695,-0.304695,-0.304695,-0.304679,-0.304679,-0.304679,-0.304679,-0.305197,-0.304538,-0.304538,-0.304595,-0.304137,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.306209,-0.305832,-0.306811,-0.307329,-0.306934,-0.306886,-0.306886,-0.303248,-0.303248
A10,0.000000,0.000000,0.000000,0.000000,0.028576,0.028576,0.028576,0.028576,-0.199581,-0.195353,-0.195353,-0.195353,-0.195353,-0.177446,-0.177446,-0.177446,-0.181875,-0.180128,-0.180033,-0.190466,-0.190466,-0.190466,-0.190466,-0.190466,-0.193084,-0.193084,-0.193084,-0.193040,-0.193040,-0.193040,-0.193040,-0.192658,-0.192658,-0.192121,-0.191996,-0.191996,-0.191996,-0.192854,-0.192854,-0.192343,-0.192322,-0.192489,-0.191131,-0.191131,-0.191131,-0.191131,-0.191131,-0.191131,-0.185039,-0.185039,-0.185039,-0.185039,-0.185029,-0.185029,-0.185029,-0.185029,-0.185357,-0.184940,-0.184940,-0.184976,-0.184686,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185997,-0.185758,-0.186378,-0.186705,-0.186456,-0.186425,-0.186425,-0.184124,-0.184124
