gen_id,gen_type,extra_committed_hours,extra_startups,dam_committed_hours,daruc_committed_hours,periods_added
118_CC_1,THERMAL,1,0,19,20,[21]
123_CT_1,THERMAL,2,0,3,5,"[17, 18]"
123_CT_4,THERMAL,2,0,7,9,"[17, 18]"
123_CT_5,THERMAL,1,0,6,7,[17]
201_CT_1,THERMAL,1,0,1,2,[16]
202_CT_1,THERMAL,2,1,1,3,"[9, 16]"
202_CT_2,THERMAL,2,1,2,4,"[9, 16]"
207_CT_1,THERMAL,21,0,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
207_CT_2,THERMAL,21,0,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
302_CT_2,THERMAL,1,1,1,2,[15]
307_CT_1,THERMAL,12,1,7,19,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
307_CT_2,THERMAL,6,1,7,13,"[15, 16, 17, 18, 19, 20]"
315_CT_6,THERMAL,1,0,12,13,[19]
315_CT_7,THERMAL,1,0,12,13,[19]
315_CT_8,THERMAL,2,0,14,16,"[19, 20]"
318_CC_1,THERMAL,4,0,14,18,"[20, 21, 22, 23]"
321_CC_1,THERMAL,1,0,17,18,[21]
