line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,162.98,12.02,175.0,175.0,93.1,100.0,True
A1,2020-07-15 03:00:00,160.98,14.02,175.0,175.0,92.0,100.0,True
A1,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 05:00:00,163.33,0.0,163.33,175.0,93.3,93.3,False
A1,2020-07-15 06:00:00,43.69,0.0,43.69,175.0,25.0,25.0,False
A1,2020-07-15 07:00:00,-86.59,255.24,341.82,175.0,49.5,195.3,True
A1,2020-07-15 08:00:00,60.77,109.43,170.2,175.0,34.7,97.3,False
A1,2020-07-15 09:00:00,95.74,76.93,172.67,175.0,54.7,98.7,False
A1,2020-07-15 10:00:00,99.34,75.66,175.0,175.0,56.8,100.0,True
A1,2020-07-15 11:00:00,98.91,76.09,175.0,175.0,56.5,100.0,True
A1,2020-07-15 12:00:00,127.83,47.17,175.0,175.0,73.0,100.0,True
A1,2020-07-15 13:00:00,107.58,67.42,175.0,175.0,61.5,100.0,True
A1,2020-07-15 14:00:00,105.44,69.56,175.0,175.0,60.3,100.0,True
A1,2020-07-15 15:00:00,46.31,114.89,161.2,175.0,26.5,92.1,False
A1,2020-07-15 16:00:00,66.46,108.54,175.0,175.0,38.0,100.0,True
A1,2020-07-15 17:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 19:00:00,174.84,0.16,175.0,175.0,99.9,100.0,True
A1,2020-07-15 20:00:00,173.71,1.29,175.0,175.0,99.3,100.0,True
A1,2020-07-15 21:00:00,-3.24,172.67,175.91,175.0,1.9,100.5,True
A1,2020-07-15 22:00:00,169.01,5.99,175.0,175.0,96.6,100.0,True
A1,2020-07-15 23:00:00,167.04,0.0,167.04,175.0,95.5,95.5,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,172.0,0.0,172.0,175.0,98.3,98.3,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
