time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.286135704100292e-09,1.2872086036039237e-09,1.3309477097885956e-09,1.347232778852568e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.00588659450920743,-0.0058853684551400335,-0.005887978170642969,-0.005887813345240692,-0.0015756069785378747,-0.0015773179696647807,-0.0015773662501463856,-0.0015770416865734463,-1.726234484233403e-05,-1.7271906196271188e-05,-1.7283996196633998e-05,-1.728829287284143e-05,-0.0001095612379186846,-0.00010965819993445461,-0.00010960337306845756,-0.00010971141252114057,-0.0009145451797250313,-0.0009143515946877926,-0.0009140553370513621,-0.0009145731185911605,-0.005188320184846123,-0.005184909596372737,-0.005193184723268546,-0.005190329386818362,-0.008668389802356112,-0.008666098118700494,-0.00865924895095005,-0.008664971875646198,-0.01849954376473778,-0.018499848466289336,-0.01848821450253174,-0.018496805553349593,-0.032519163766775376,-0.032523506868084764,-0.03252065132740012,-0.03251815928803461,-0.029963589054263343,-0.02996495443459929,-0.029963467273069977,-0.02996304427105458,-0.03820646192053111,-0.038207122228810765,-0.03820589597271867,-0.038205561749412316,-0.042872646708962875,-0.04290908637776625,-0.04285729143077005,-0.04287386118409114,-0.04626448798322739,-0.04628110817156113,-0.046252468555397,-0.046265218518573986,-0.05662285958007865,-0.056630593858497114,-0.056616659840299066,-0.056625767979688504,-0.053487558352478946,-0.053488314286916534,-0.053493052658035486,-0.05348975460181175,-0.023355120102878935,-0.023358700668135394,-0.023364580419375783,-0.023355543648218596,-0.03386119825921389,-0.03385878141552218,-0.033872464197542376,-0.03386030272379038,-0.030646636441607842,-0.030642434683705626,-0.03065734159053307,-0.030640410635734267,-0.02566703738523353,-0.0256634580262902,-0.02568433234847571,-0.025662502929684576,-0.02197866707163978,-0.021977569681385662,-0.021996302965990713,-0.021973374368010203,-0.012325222734552195,-0.012325015814538038,-0.012326395075614381,-0.012325214900140007,-0.01896332500226084,-0.01896272780832271,-0.01896201996018013,-0.01896048678923582,-0.01091616470585558,-0.010916107552490752,-0.010915047981434743,-0.01091603843328651,-0.006939161877271731,-0.006939426723810199,-0.006938516183648208,-0.006938844380176648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.005886594509173384,-0.005885368455105988,-0.005887978170608904,-0.005887813345206638,-0.0015756069785415384,-0.001577317969668585,-0.0015773662501467481,-0.001577041686576549,-1.7262344842338138e-05,-1.7271906196275287e-05,-1.7283996196638104e-05,-1.7288292872845527e-05,-0.00010956123791872972,-0.00010965819993449982,-0.00010960337306850266,-0.00010971141252118572,-0.0009145451797367804,-0.0009143515946995391,-0.0009140553370631066,-0.0009145731186029104,-0.005188320184851718,-0.00518490959638316,-0.005193184723281591,-0.005190329386827501,-0.008668389802134675,-0.008666098118478915,-0.00865924895072756,-0.008664971875423325,-0.01849954376473556,-0.01849984846630744,-0.01848821450249155,-0.018496805553349593,-0.03251916376676461,-0.032523506867713395,-0.03252065132741866,-0.03251815928803461,-0.02996361997303342,-0.029964985352576863,-0.029963498195271054,-0.02996307518973776,-0.03820646192053111,-0.03820712222881078,-0.038205895972718645,-0.038205561749412316,-0.04287264670896779,-0.04290908637777158,-0.04285729143077882,-0.04287386118409114,-0.046264487983227374,-0.04628110817156113,-0.04625246855539698,-0.046265218518573986,-0.05662285958021577,-0.05663059385862331,-0.05661665984045772,-0.05662576797982744,-0.05348672320782348,-0.053488005776070824,-0.0534917010842888,-0.0534886937771491,-0.023355120095279097,-0.02335870066053368,-0.023364580411776026,-0.023355543640615622,-0.033861198613444804,-0.03385878141547043,-0.03387246419757023,-0.03386030272382232,-0.030646636441628596,-0.030642434683725184,-0.03065734159055422,-0.030640410635755295,-0.02566703738521422,-0.02566345802628743,-0.025684332348495466,-0.025662502929684576,-0.02197866707172835,-0.021977569681467284,-0.021996302966076284,-0.021973374368087648,-0.01232522273325636,-0.012325015813242307,-0.012326395074319414,-0.01232521489884341,-0.018963325003103326,-0.01896271872794664,-0.01896201996129884,-0.018960486790366417,-0.010916164711874688,-0.010916107558509833,-0.01091504798745338,-0.010916038439305551,-0.0069391618789083,-0.00693942672544681,-0.006938516185284656,-0.006938844381813154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023751579009380908,-0.00237517948235004,-0.002375105966305885,-0.002374936525837724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002375157901189348,-0.0023751794826012904,-0.0023751059665570173,-0.0023749365260889305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.06156188380506161,-0.061555734520229693,-0.061622274946671274,-0.06157446360758831,-0.058615904408496296,-0.058615387063737805,-0.05865321905166745,-0.05862364181883005,-0.05314123091437699,-0.05315058439990002,-0.05322242756561772,-0.05315452233554767,-0.05062218075062984,-0.05063164872496845,-0.05066856499112293,-0.05063447671766431,-0.041155103081228495,-0.04115617502603297,-0.041173431221200096,-0.041159326740809514,-0.051953365922004474,-0.05196423025879808,-0.05194721554852255,-0.05195412467860114,-0.0461132527369868,-0.04610727680898377,-0.046125826791581497,-0.04610917738757855,-0.019957417888954027,-0.01995709880178026,-0.019958778410345435,-0.01995702266335661,-0.01799310953156748,-0.017992607632744594,-0.017994342539759733,-0.017992956194925757,-0.0047752456251779676,-0.004775291857928368,-0.004775658164146879,-0.004775176268849213,-1.6622353848916305e-07,-1.658829739126233e-07,-1.6765006027874563e-07,-1.655646848811754e-07,-1.3465701445558587e-07,-1.3406017157491235e-07,-1.3606219662065655e-07,-1.3389459055444079e-07,-3.075615166706538e-07,-3.07018311500792e-07,-3.094295771693591e-07,-3.0748833562787075e-07,-1.446767071583738e-07,-1.451806350132822e-07,-1.4450402990812515e-07,-1.4429909685583173e-07,-5.6201033909142004e-08,-5.61671505326755e-08,-5.6247014501670786e-08,-5.629097573458183e-08,-0.01827077553238314,-0.018270804872650336,-0.01827106365466022,-0.018270729295592026,-1.8439499871458764e-08,-1.85098721905419e-08,-1.8855024430664002e-08,-1.8633341216076598e-08,-1.0207729946138511e-07,-1.0192891022886563e-07,-1.0984680798298285e-07,-1.0295820676480165e-07,-1.8114946731540016e-07,-1.8003228438590035e-07,-1.866142333994958e-07,-1.793660482803955e-07,-3.721383135535383e-07,-3.711320318844358e-07,-3.7704299993279733e-07,-3.683152565677826e-07,-0.002444849807507662,-0.002444987510551333,-0.002444700483106396,-0.002445004874739603,-2.235239240102091e-07,-2.241250666722547e-07,-2.2275249991030794e-07,-2.2434155293205097e-07,-0.010034199062049165,-0.010034248145119717,-0.010033976013890333,-0.010034188763348665,-0.022848466342970664,-0.022850414257372026,-0.02286078631459143,-0.02285013391656479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.061561883805061945,-0.061555734520229916,-0.06162227494667061,-0.061574463607588496,-0.058615904408474,-0.058615387063715635,-0.05865321905164356,-0.058623641818808116,-0.053141228573695035,-0.05315058324931482,-0.053222430948124344,-0.05315452577431336,-0.050622180750629825,-0.05063164872496845,-0.05066856499112293,-0.05063447671766431,-0.0411551030813054,-0.04115617502601903,-0.04117343122123143,-0.041159326740809514,-0.05195336592200124,-0.05196423025879922,-0.05194721554852255,-0.05195412467860114,-0.0461132527369833,-0.046107276808983216,-0.04612582679158428,-0.046109177387576,-0.019957417890867468,-0.01995709880369373,-0.019958778412259015,-0.019957022665270024,-0.01799310953156692,-0.017992607632744552,-0.017994342539760122,-0.017992956194925757,-0.004775245625179095,-0.004775291857926766,-0.004775658164143862,-0.004775176268849213,-1.6622353885250008e-07,-1.658829742202502e-07,-1.6765006150369704e-07,-1.655646848811754e-07,-1.3404472519809585e-07,-1.337626616276788e-07,-1.3578035784611586e-07,-1.335562041653827e-07,-3.090273811743995e-07,-3.080756039695144e-07,-3.106409548864981e-07,-3.0876511735284375e-07,-1.446767071583792e-07,-1.451806350132876e-07,-1.4450402990812918e-07,-1.4429909685583724e-07,-5.6201033909139734e-08,-5.616715053267323e-08,-5.624701450166918e-08,-5.629097573457976e-08,-0.018404922326417706,-0.01840497338382955,-0.018405210094879026,-0.01840487428952654,-1.8371946269857276e-08,-1.841463226348594e-08,-1.8739229834530136e-08,-1.855446169361329e-08,-1.0207730148084475e-07,-1.0192891022886563e-07,-1.0984680798298285e-07,-1.0295820676480165e-07,-1.780688238863959e-07,-1.7985122212293537e-07,-1.8746815482592147e-07,-1.796142923030676e-07,-3.723981001624299e-07,-3.6982677550922993e-07,-3.823904468625017e-07,-3.6846271664134006e-07,-0.00244484980835713,-0.002444987510543048,-0.002444700482521822,-0.002445004874739603,-2.235238947923288e-07,-2.2412499594433695e-07,-2.227527780258656e-07,-2.243417493305179e-07,-0.010034199068583272,-0.010034248151653852,-0.010033976020424329,-0.01003418876988282,-0.022848466343154822,-0.02285041425755617,-0.022860786314775727,-0.022850133916748946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,1.1215371253925355e-07,1.1235215990890168e-07,1.1192452475938808e-07,1.1226641107831985e-07,-1.0438621976757582e-08,-1.0455488774688133e-08,-1.0431331579039888e-08,-1.0373196488572638e-08,-1.023118501031206e-08,-1.0236297809385064e-08,-9.028124914323143e-09,-1.007251948090996e-08,-9.550314646588895e-09,-9.553610402779356e-09,-8.800324913238455e-09,-9.419110045997135e-09,-8.741791111475792e-09,-8.832952702597652e-09,-8.44921599352233e-09,-8.697378652929401e-09,1.1029164442843964e-08,1.1030779512033462e-08,1.115452041844378e-08,1.116953818325328e-08,2.1158823685904812e-08,2.153115702059783e-08,2.2135188362014397e-08,2.170307654826765e-08,-0.21413286382668711,-0.2141856311586967,-0.21407504288344015,-0.21414760245469117,-8.772421109304318e-06,-8.77450849867678e-06,-8.774160972890854e-06,-8.77497037298191e-06,-7.003134645300335e-06,-6.998082116904669e-06,-6.992945690953434e-06,-6.999207775688937e-06,-7.771373676842836e-06,-7.76441154287604e-06,-7.767228148824535e-06,-7.772539135435094e-06,-9.00818130633585e-06,-9.015218874974806e-06,-9.000773699696651e-06,-9.018211714436671e-06,-1.0220857123988125e-05,-1.0200407811744583e-05,-1.0238323388200854e-05,-1.022093860262654e-05,-6.724454052386433e-06,-6.734277416510728e-06,-6.710608062845269e-06,-6.722864254645991e-06,-1.0813501583051277e-06,-1.080755785531906e-06,-1.079859405894723e-06,-1.0812244174353394e-06,-2.8524161476052305e-07,-2.8518654035474563e-07,-2.845626455840939e-07,-2.8528999750191723e-07,-4.525390471243895e-07,-4.528105777001912e-07,-4.502868917732883e-07,-4.523139258503645e-07,-9.383799892681566e-06,-9.38603992783893e-06,-9.26434567816159e-06,-9.350419367242457e-06,-6.7748451364638346e-06,-6.807239780158275e-06,-6.75761025807223e-06,-6.815579414868136e-06,-9.76796796559043e-06,-9.747144084304438e-06,-9.70443398307097e-06,-9.751676671134573e-06,-2.6148551200838588e-06,-2.6488457761653095e-06,-2.487795182970487e-06,-2.5967624430392986e-06,-0.06813876728541245,-0.06813494166578822,-0.06814644249200796,-0.06813684687714151,-1.9797457433412546e-05,-1.981813670282051e-05,-1.9783936257233847e-05,-1.9799968794918384e-05,-0.061313999888360504,-0.06131163319161914,-0.061358414115435966,-0.06134913257287752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
