,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2180638839844662e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-2.1376262527413115,-0.6185252911579273,-0.007475048309531064,-0.04980436078407712,-0.511041732236065,-2.2964856079839984,-4.3227915365540115,-7.990149516561933,-10.358817222937649,-13.17303695013976,-15.58119121533663,-17.867723161710842,-20.02914127842642,-21.728891993866682,-22.709009677092492,-15.363873418060606,-22.653064780472803,-21.169937374217774,-19.15321405247842,-17.78015103298565,-11.50419831228239,-11.705272461283824,-8.461489872691478,-5.621735740462895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-2.1376262527289476,-0.6185252911592599,-0.0074750483095328375,-0.049804360784097626,-0.5110417322426305,-2.2964856079878646,-4.322791536443323,-7.990149516563933,-10.358817222891014,-13.173050542867873,-15.58119121533663,-17.867723161712526,-20.029141278426415,-21.728891993918545,-22.708692904707387,-15.363873413060432,-22.653064833336643,-21.169937374231875,-19.153214052476585,-17.78015103305153,-11.504198311072804,-11.705269246819267,-8.461489877357097,-5.621735741788748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5622792823728096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5622792825380614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-22.35593493979083,-22.999979292743916,-22.99997442201896,-22.999976797093343,-22.99998157935003,-22.999970267289328,-22.99995865709789,-8.62014536650263,-5.731291026967384,-2.0993461606113355,-6.770003024162595e-05,-5.597959325125642e-05,-0.0001330890699442101,-5.553707983094434e-05,-2.3866843544565624e-05,-12.018164667252751,-1.2418176895698638e-05,-7.103466347453478e-05,-0.00013464443326090603,-0.0002999216845530815,-2.2820878138348797,-0.000138380402446107,-7.777932838503939,-18.5123736520126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-22.355934939790913,-22.99997929273522,-22.999974426670427,-22.99997679709334,-22.999981579360803,-22.999970267289136,-22.99995865709694,-8.620145367329108,-5.731291026967318,-2.0993461606111725,-6.770003035980296e-05,-5.578869057197229e-05,-0.00013366168489901509,-5.55370798309464e-05,-2.3866843544564696e-05,-12.10640777177529,-1.236237112572224e-05,-7.103466369828463e-05,-0.00013437921438397483,-0.00029982457106864557,-2.2820878139203744,-0.00013838042711020982,-7.77793284356882,-18.51237365216179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,4.074678982230063e-05,-4.086492870345924e-06,-4.394686875200219e-06,-4.310496560673057e-06,-4.8866635649916305e-06,4.904810179881589e-06,1.0713542423375844e-05,-92.49959970369619,-0.002794734609961487,-0.0030773030419131786,-0.0031684014359814276,-0.003755055706999912,-0.004422432994891225,-0.002581111788939176,-0.00045897040206580063,-0.00018759107169266488,-0.0003026727871308942,-0.006469646523604726,-0.005076279609373336,-0.007886715119409585,-0.00244458335133021,-42.06075388136804,-0.01535508859816278,-49.68402685512855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
