,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.727328235501098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8638436208565298e-08,0.0,0.0,0.0,0.0,0.0,11.65609088925682,0.0,0.0,0.0,0.0,11.412597987829564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,31.13519438714075,30.352806232583436,30.06098376249754,30.045393581955278,30.16768815521971,31.60817221442166,33.379522280180836,36.345094008886086,39.184306528623814,41.5783178061366,43.75946038625353,46.02519541295011,48.44842458243546,50.455795901509845,52.75126605990637,40.67209538460769,52.054407579508066,50.76258456346917,48.46959300079712,47.92673316597652,38.76967243369232,40.876694060823105,37.071991356426125,34.729958414471525,36.58312011531234,32.622729706576095,35.56730436641216,45.68032587147998,56.82983588534158,67.51174176993266,75.64713105449292,76.0,30.845003432927,69.84934427821034,30.0,0.0
101_STEAM_4,31.16050526957644,30.397738104065603,30.054464139007447,30.02951406000327,30.341069324947643,31.43926054261396,33.65741109254155,36.50597506105055,38.698898659496656,41.45121471522825,43.948035305855065,46.41432048033394,48.72790357778191,50.64631837998172,50.11774884285583,40.01366885026864,50.491701566994735,49.10705118175648,47.298681541322765,45.30839609617728,38.57221196888084,40.03808226960526,36.91669080446793,34.46938801941807,30.0,30.0,30.0,30.0,30.0,30.0,30.0,33.602908561946634,76.0,30.0,60.44411633452788,76.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.381823947231231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.339356217581955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,67.3814077682213,45.89781203954363,62.44618058941563,66.29634357392746,66.26154887339632,57.819987351920176,59.3956215760462,63.34997541011989,64.90545710919622,63.86191534667236,63.85197078190204,66.66572870029741,67.91410887019825,67.7296685729755,67.92421757703175,67.16170789758343,68.3709882039737,66.19129074309018,65.07093908006385,66.05580385079064,64.62403435726438,65.970767150113,65.1016325649114,60.86862010007104,76.0,30.0,56.769196020700406,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,67.33388564228235,45.25374701903528,61.71432328687692,66.25616142795684,67.88761517444439,57.575885042157836,59.30597494408905,63.5359249464341,65.36318889278502,64.01422489704152,64.10838760716982,66.7718360359042,67.61026408229765,67.74452547642164,68.21358001309832,67.00996260316765,68.41022726184292,66.28156255091903,64.93528855554302,65.20652083007646,64.86106825929915,64.84799382925505,64.87659287256771,60.22379593002371,38.38267264365888,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
107_CC_1,170.01590864591532,170.0014861744616,170.00043101143834,178.6705791847585,181.97739581712955,185.67534182384392,210.35781288012632,307.19379851114616,325.8961635746433,314.38759233571636,308.6376997762428,312.85392882017163,314.7202489235059,325.45877552393074,335.2796342657081,331.02357727767236,336.71172150058715,333.71423123916503,330.98709156005145,336.6525784082912,326.66099096950256,326.67057613958514,329.0338057399873,233.0616426884052,170.0,170.0,170.0,170.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
