line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,96.96,78.04,175.0,175.0,55.4,100.0,True
A1,2020-07-15 01:00:00,167.84,7.16,175.0,175.0,95.9,100.0,True
A1,2020-07-15 02:00:00,171.75,3.25,175.0,175.0,98.1,100.0,True
A1,2020-07-15 03:00:00,163.03,11.47,174.5,175.0,93.2,99.7,True
A1,2020-07-15 04:00:00,146.35,27.07,173.42,175.0,83.6,99.1,False
A1,2020-07-15 05:00:00,119.01,0.0,119.01,175.0,68.0,68.0,False
A1,2020-07-15 06:00:00,113.8,0.0,113.8,175.0,65.0,65.0,False
A1,2020-07-15 07:00:00,75.54,91.09,166.63,175.0,43.2,95.2,False
A1,2020-07-15 08:00:00,88.85,80.27,169.13,175.0,50.8,96.6,False
A1,2020-07-15 09:00:00,83.15,89.09,172.24,175.0,47.5,98.4,False
A1,2020-07-15 10:00:00,81.74,93.26,175.0,175.0,46.7,100.0,True
A1,2020-07-15 11:00:00,83.43,91.57,175.0,175.0,47.7,100.0,True
A1,2020-07-15 12:00:00,95.32,79.68,175.0,175.0,54.5,100.0,True
A1,2020-07-15 13:00:00,111.68,63.32,175.0,175.0,63.8,100.0,True
A1,2020-07-15 14:00:00,104.98,70.02,175.0,175.0,60.0,100.0,True
A1,2020-07-15 15:00:00,94.31,71.19,165.51,175.0,53.9,94.6,False
A1,2020-07-15 16:00:00,97.9,77.1,175.0,175.0,55.9,100.0,True
A1,2020-07-15 17:00:00,109.25,65.75,175.0,175.0,62.4,100.0,True
A1,2020-07-15 18:00:00,106.77,68.23,175.0,175.0,61.0,100.0,True
A1,2020-07-15 19:00:00,113.79,61.21,175.0,175.0,65.0,100.0,True
A1,2020-07-15 20:00:00,110.66,63.21,173.87,175.0,63.2,99.4,False
A1,2020-07-15 21:00:00,91.91,79.52,171.43,175.0,52.5,98.0,False
A1,2020-07-15 22:00:00,83.23,83.07,166.31,175.0,47.6,95.0,False
A1,2020-07-15 23:00:00,104.71,0.0,104.71,175.0,59.8,59.8,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,172.0,0.0,172.0,175.0,98.3,98.3,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.49,0.0,170.49,175.0,97.4,97.4,False
A1,2020-07-16 22:00:00,140.62,0.0,140.62,175.0,80.4,80.4,False
