,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00
101_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
101_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
101_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
101_STEAM_4,1,1,1,1,1,1,1,1,1,1,1,1
102_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
102_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
102_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
102_STEAM_4,1,1,1,1,1,1,1,1,1,1,1,1
107_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
113_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
113_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
113_CT_3,1,1,1,1,1,1,1,1,1,1,1,1
113_CT_4,1,1,1,1,1,1,1,1,1,1,1,1
115_STEAM_1,1,1,1,1,1,1,1,1,1,1,1,1
115_STEAM_2,1,1,1,1,1,1,1,1,1,1,1,1
115_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
116_STEAM_1,1,1,1,1,1,1,1,1,1,1,1,1
118_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
122_WIND_1,0,0,0,0,0,0,0,0,0,0,0,0
123_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
123_CT_4,1,1,1,1,1,1,1,1,1,1,1,1
123_CT_5,1,1,1,1,1,1,1,1,1,1,1,1
123_STEAM_2,1,1,1,1,1,1,1,1,1,1,1,1
123_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
201_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
201_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
201_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
202_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
202_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
202_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
202_STEAM_4,1,1,1,1,1,1,1,1,1,1,1,1
207_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
207_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
212_CSP_1,0,0,0,0,0,0,0,0,0,0,0,0
213_CC_3,1,1,1,1,1,1,1,1,1,1,1,1
213_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
213_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
215_CT_4,1,1,1,1,1,1,1,1,1,1,1,1
215_CT_5,1,1,1,1,1,1,1,1,1,1,1,1
216_STEAM_1,1,1,1,1,1,1,1,1,1,1,1,1
218_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
221_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
223_CT_4,1,1,1,1,1,1,1,1,1,1,1,1
223_CT_5,1,1,1,1,1,1,1,1,1,1,1,1
223_CT_6,1,1,1,1,1,1,1,1,1,1,1,1
223_STEAM_1,1,1,1,1,1,1,1,1,1,1,1,1
223_STEAM_2,1,1,1,1,1,1,1,1,1,1,1,1
223_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
301_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
301_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
301_CT_3,1,1,1,1,1,1,1,1,1,1,1,1
301_CT_4,1,1,1,1,1,1,1,1,1,1,1,1
302_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
302_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
302_CT_3,1,1,1,1,1,1,1,1,1,1,1,1
302_CT_4,1,1,1,1,1,1,1,1,1,1,1,1
303_WIND_1,0,0,0,0,0,0,0,0,0,0,0,0
307_CT_1,1,1,1,1,1,1,1,1,1,1,1,1
307_CT_2,1,1,1,1,1,1,1,1,1,1,1,1
309_WIND_1,0,0,0,0,0,0,0,0,0,0,0,0
313_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
315_CT_6,1,1,1,1,1,1,1,1,1,1,1,1
315_CT_7,1,1,1,1,1,1,1,1,1,1,1,1
315_CT_8,1,1,1,1,1,1,1,1,1,1,1,1
315_STEAM_1,1,1,1,1,1,1,1,1,1,1,1,1
315_STEAM_2,1,1,1,1,1,1,1,1,1,1,1,1
315_STEAM_3,1,1,1,1,1,1,1,1,1,1,1,1
315_STEAM_4,1,1,1,1,1,1,1,1,1,1,1,1
315_STEAM_5,1,1,1,1,1,1,1,1,1,1,1,1
316_STEAM_1,1,1,1,1,1,1,1,1,1,1,1,1
317_WIND_1,0,0,0,0,0,0,0,0,0,0,0,0
318_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
321_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
322_CT_5,1,1,1,1,1,1,1,1,1,1,1,1
322_CT_6,1,1,1,1,1,1,1,1,1,1,1,1
323_CC_1,1,1,1,1,1,1,1,1,1,1,1,1
323_CC_2,1,1,1,1,1,1,1,1,1,1,1,1
