,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
101_PV_1,0.0,0.0,0.0,0.0,0.0,0.0
101_PV_2,0.0,0.0,0.0,0.0,0.0,5.462260466864655
101_PV_3,0.0,0.0,0.0,0.0,0.0,0.0
101_PV_4,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,58.70022462441746,57.18270688564916,55.88053811066466,55.4026767211496,55.52976458802043,54.583633232193726
101_STEAM_4,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
102_PV_1,0.0,0.0,0.0,0.0,0.0,9.1
102_PV_2,0.0,0.0,0.0,0.0,0.0,5.754699897756879
102_STEAM_3,73.50885179061358,72.7216729201503,72.11374967243104,71.7468857340958,71.52358901224515,71.00149334508812
102_STEAM_4,73.50885179061369,72.72167292015034,72.11374967243125,71.74688573409588,71.52358901224525,71.00149334508826
103_PV_1,0.0,0.0,0.0,0.0,0.0,0.4879653810745007
104_PV_1,0.0,0.0,0.0,0.0,0.0,7.4625000772150445
107_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
113_PV_1,0.0,0.0,0.0,0.0,0.0,23.223991565057908
115_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,152.83021553237734,151.50557004724214,150.48838230348656,149.869266707086,149.48176294132173,148.63771456637872
116_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
118_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.1
118_RTPV_10,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_2,0.0,0.0,0.0,0.0,0.0,0.1
118_RTPV_3,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_4,0.0,0.0,0.0,0.0,0.0,0.1
118_RTPV_5,0.0,0.0,0.0,0.0,0.0,0.05404912744125795
118_RTPV_6,0.0,0.0,0.0,0.0,0.0,0.1
118_RTPV_7,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_8,0.0,0.0,0.0,0.0,0.0,0.1
118_RTPV_9,0.0,0.0,0.0,0.0,0.0,0.0
119_PV_1,0.0,0.0,0.0,0.0,0.0,0.4206291648052008
121_NUCLEAR_1,398.8884680010388,398.2329678522518,398.12542009831236,398.13786919408255,398.2976887919273,398.1043765905081
122_HYDRO_1,50.0,24.729344879142616,50.0,50.0,50.0,50.0
122_HYDRO_2,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_3,45.37349800430724,50.0,16.12310689630806,17.773600320800767,50.0,50.0
122_HYDRO_4,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_5,50.0,50.0,50.0,50.0,27.988857608446096,50.0
122_HYDRO_6,50.0,50.0,50.0,50.0,50.0,15.531629247242392
122_WIND_1,398.5223011217157,351.7326312167309,327.92029913200287,317.1590482340959,312.9013629268394,301.11552091522304
123_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,153.5826672520812,152.38116343134877,151.50738222565414,151.01896353369594,150.73077600913857,149.95079696518548
123_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
201_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
201_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
