,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
101_PV_1,0.0,0.0,0.0,0.0,0.0,9.6
101_PV_2,0.0,0.0,0.0,0.0,0.0,9.3
101_PV_3,0.0,0.0,0.0,0.0,0.0,9.3
101_PV_4,0.0,0.0,0.0,0.0,0.0,9.5
101_STEAM_3,68.74706403856123,67.48641221435187,66.51105469176008,66.1746626131403,66.25715982781229,65.8371127192058
101_STEAM_4,68.74706403856123,67.48641221435187,66.51105469176008,66.1746626131403,66.25715982781229,65.8371127192058
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
102_PV_1,0.0,0.0,0.0,0.0,0.0,9.1
102_PV_2,0.0,0.0,0.0,0.0,0.0,9.2
102_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,68.74706403856123,67.48641221435187,66.51105469176008,66.1746626131403,66.25715982781229,65.8371127192058
103_PV_1,0.0,0.0,0.0,0.0,0.0,0.0
104_PV_1,0.0,0.0,0.0,0.0,0.0,4.142338739493464
107_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
113_PV_1,0.0,0.0,0.0,0.0,0.0,27.7
115_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
116_STEAM_1,0.0,0.0,0.0,0.0,0.0,0.0
118_CC_1,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_1,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_10,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_2,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_3,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_4,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_5,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_6,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_7,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_8,0.0,0.0,0.0,0.0,0.0,0.0
118_RTPV_9,0.0,0.0,0.0,0.0,0.0,0.0
119_PV_1,0.0,0.0,0.0,0.0,0.0,0.0
121_NUCLEAR_1,399.3824904857449,397.32686000586204,397.05667458352576,397.1659261170673,398.08877627145307,397.0748245235787
122_HYDRO_1,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_2,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_3,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_4,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_5,50.0,50.0,50.0,50.0,50.0,50.0
122_HYDRO_6,50.0,50.0,50.0,50.0,50.0,50.0
122_WIND_1,523.3644409179688,490.1272888183594,457.4927978515625,433.1258850097656,409.1724548339844,393.8700256347656
123_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
201_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
201_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
201_HYDRO_4,50.0,50.0,50.0,50.0,50.0,50.0
201_STEAM_3,0.0,0.0,0.0,0.0,0.0,0.0
202_CT_1,0.0,0.0,0.0,0.0,0.0,0.0
202_CT_2,0.0,0.0,0.0,0.0,0.0,0.0
