time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,4.556908241425199e-05,-0.0001615786121277304,0.00047048923816857876,0.0002881255171858078,-0.0007693662958109322,-0.000492612913872825,-0.0011356953048074162,-0.0014193051237980992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.063288205311876e-05,-0.00010056755660364664,0.00017642058468899123,0.00020200639989012534,1.9853662358411247e-05,-0.0002057241703239635,0.0004678421935237683,0.00035803925003764667,-0.0026091740127752727,-0.01060932555491767,0.001610802498421826,-0.003434879881181952,-0.005039924279500426,-0.018044183457731754,0.002025902249815331,-0.006329317984550533,-0.008072791786543576,-0.007837517048147835,-0.007847104729474363,-0.007861139355215107,-0.003300503533254038,-0.003127433961815293,-0.003087155326867902,-0.0030987437409886226,-0.0033361521740495337,-0.0031851176480556243,-0.003135212479770999,-0.0031251672189491135,-0.003385830273889942,-0.003341258744784528,-0.0033259913284636056,-0.0033642844393723783,-0.0037778134362767,-0.003686624548435713,-0.003656719608370551,-0.0036600431503108666,-0.003988874353620257,-0.003861370798919626,-0.0038731552933760375,-0.0038395152100602573,-0.00464960250290376,-0.0044917617206378865,-0.004479001376889999,-0.004427485011121561,-0.0023637799401960797,-0.0022349333190081473,-0.002253401613771678,-0.002204942143936631,-0.003168528260329646,-0.004152787876648034,-0.0013677783091660452,-0.0023267121776962517,-0.004215861934407587,-0.004101919290320961,-0.004117489485264565,-0.004080267661981724,-0.0047878492977387445,-0.004673581051375978,-0.00470146818878961,-0.00466655268831436,-0.0004542507942971758,-0.0005643926588685807,-4.227636775152373e-05,-0.00020441446000596812,-0.00022705867918043675,-9.660757843224694e-05,-1.8497889197111974e-05,-7.117693121358771e-06,-0.00010623924136664092,-2.932686456463906e-05,0.00012697533820534766,0.00017442124617756788,-0.0001470074270931042,-4.6601822183952675e-06,2.442342578699798e-05,0.00012130337250990847,-0.0007937036675993306,-0.000585076505711467,-0.000522650542739341,-0.00012683929109780258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,9.315895144469606e-05,-0.00025616357800778677,0.0006788127620392182,0.0006260731183871868,-0.0019598275019178622,-0.00130096444378881,-0.0027960842412285605,-0.0033543699675480164,0.0,0.0,0.0,0.0,-1.2417229384442104e-10,0.0,0.0,1.1879805499066083e-10,-0.00011194213971306076,-0.00016224346027935699,0.00034792846524081246,0.00038352898853937563,8.380443549923184e-06,-0.0001878572259383386,0.0004527330796958521,0.00035044159390294055,-0.00714773612759817,-0.02906341938910062,0.004412870094321342,-0.009409581750946595,-0.010334967561718644,-0.036740907192811756,0.003460082342950699,-0.0130591175518154,-0.0123519318463724,-0.01221697901862151,-0.012233885987776638,-0.01212233605854187,-0.005159183284672686,-0.00496023283617697,-0.005027127046516977,-0.004917563640812702,-0.004573260757419373,-0.004352184235784984,-0.004428712190804873,-0.00434075857177491,-0.0051501185683471284,-0.004950010935825366,-0.004982783970568505,-0.004880052332966093,-0.003358330881836874,-0.003204688925138477,-0.0032521097192106385,-0.0031843076779806048,-0.004525913852879762,-0.004408737845745046,-0.004414458413083323,-0.004383659780782887,-0.0030702035332940197,-0.0029832769058160363,-0.0030135499520554413,-0.0030006047315437965,-0.002924425670296019,-0.0028082758796807166,-0.0028073489865079286,-0.002791283336574623,-0.00454449272029127,-0.00600064281243952,-0.0019400905459296906,-0.003352063573162249,-0.005476470585710803,-0.005345848052892007,-0.00534780872938047,-0.005320612285434697,-0.006155969617660853,-0.006025804729979453,-0.006015445623426235,-0.005985976521667647,-0.0004966420011700528,-0.0006087882773514889,-4.208965876654417e-05,-0.00021588093950244418,-0.00029936738213372227,-0.00011202035438205571,-5.634754176586235e-05,-2.4924628286580637e-05,-0.00014494788445318103,-4.932162908483701e-05,0.00016855679560671212,0.00021927226377184203,-0.0002573572090232669,-7.720380933441731e-06,2.785244126309093e-05,0.00022680967619902444,-0.0011608959877271305,-0.0008321626271933459,-0.0007423911531170538,-0.0001383592393867673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.03456074522245209,-0.014038485937023261,-0.05009219135916387,-0.044225633946296236,-0.06914442178719515,-0.04762481674236263,-0.11492623042704464,-0.14466051266640734,-0.02899342948388245,-0.015072386326913323,-0.014153150807930004,-0.008426739739855369,-0.024059686606855667,-0.01832650993050234,-0.029993564281965125,-0.040155925442716574,-0.021148607425965124,-0.011144314616966723,-0.030259940530843632,-0.030509363922537242,-0.035070879917527276,-0.027934205710199222,-0.040990966408931406,-0.04008357163942476,-1.1799889176183909e-07,-6.037502386924132e-08,-1.4604277320806602e-07,-1.1082451868970248e-07,-1.3544021737477152e-08,-6.567894228481919e-09,-1.707551877672131e-08,-1.2751836968914589e-08,-0.044893950568060226,-0.04490075886761846,-0.044900198685188464,-0.044901977532026925,-0.01783514252020285,-0.017838109054235662,-0.017837899028817716,-0.01783867959422618,-0.027182086482982815,-0.027186607456707534,-0.027186288085646382,-0.02718747954014668,-0.029912507724778825,-0.029915780146368975,-0.029915548617364784,-0.029916411500649605,-0.018510565781018368,-0.018512589809510684,-0.01851244510564609,-0.018512978788105122,-0.021520384722358843,-0.021522740274749097,-0.021522571793335388,-0.02152319182907411,-0.021409601965182157,-0.021411944539549976,-0.021411778714096386,-0.021412396345386206,-0.003082755367088408,-0.0030831151834139203,-0.003083090823167378,-0.0030831852393788705,-1.6006357905773427e-09,-7.652347644437896e-10,-2.0142298939873626e-09,-1.4943890126815954e-09,-0.0014971101515088847,-0.0014972751827784792,-0.0014972610634911288,-0.001497305315754568,-0.001730261278451668,-0.0017304513843208957,-0.001730436568330897,-0.0017304869647989103,-1.2300323676273095e-09,-7.134393631424985e-10,-1.4956351712669402e-09,-1.172272458645445e-09,-0.0033109940151585865,-0.003143034541942104,-0.002984013175141343,-0.002985445849963303,-0.007512854787345369,-0.007582444243530023,-0.007324434350602482,-0.007388099026826518,-0.0076694479521651395,-0.007382801541149226,-0.006878770586382216,-0.006931272079941204,-0.04868791650605729,-0.04540571499829865,-0.04339664239821439,-0.032834877322979246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.03425764002576337,-0.013915373546606102,-0.049652870133043425,-0.04383777477321125,-0.06914442178338726,-0.047624816744834764,-0.1149262304558567,-0.14466051266834268,-0.028993429483877925,-0.01507238632690892,-0.014153150807954318,-0.008426739739855369,-0.024059686598731686,-0.018326509939597016,-0.029993564067059664,-0.04015592543048004,-0.021148607425968618,-0.01114431461589785,-0.030259940531462824,-0.030509363922537242,-0.039152598930531524,-0.031185429530848463,-0.045761626936858146,-0.04474868341798958,-1.1799889587660317e-07,-6.037503141875789e-08,-1.4604275211382856e-07,-1.1082451868971982e-07,-1.3544021737477152e-08,-6.567894228481919e-09,-1.707551877672131e-08,-1.2751836968913648e-08,-0.044893950568060226,-0.04490075886761846,-0.044900198685188464,-0.044901977532026925,-0.017820231985559376,-0.017823196040723133,-0.017822986188250844,-0.017823766100920416,-0.027182086482982815,-0.027186607456707534,-0.027186288085646382,-0.02718747954014668,-0.029910134463408844,-0.029913406625092565,-0.029913175115185098,-0.029914037929546826,-0.018510562458375318,-0.018512589809513383,-0.018512445105639347,-0.018512978788105122,-0.021520384722358843,-0.021522740274749097,-0.021522571793335388,-0.02152319182907411,-0.021409601965292704,-0.021411944539382444,-0.021411778714288898,-0.021412396345386206,-0.0030827553670884633,-0.0030831151834142534,-0.003083090823167378,-0.0030831852393788705,-1.6006357905773427e-09,-7.652347644437896e-10,-2.0142298939873626e-09,-1.4943890126815954e-09,-0.0014971101515088847,-0.0014972751827784792,-0.0014972610634911288,-0.001497305315754568,-0.0017302612784507732,-0.0017304513843200975,-0.0017304365683297185,-0.0017304869647989103,-1.230035795440898e-09,-7.134384194529275e-10,-1.4956296201518171e-09,-1.172272458645445e-09,-0.003310994015158969,-0.0031430345419428407,-0.0029840131751386334,-0.002985445849963303,-0.007514582575541517,-0.007584187953084692,-0.00732611872457362,-0.007389798042320465,-0.007669447952163622,-0.007382801541149203,-0.006878770586377092,-0.006931272079941204,-0.04868791650604204,-0.04540571499829077,-0.04339664239819818,-0.032834877322979246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,2.3856794850729557e-07,2.342172373825946e-07,2.413732378414579e-07,2.398933035422633e-07,1.6396095592341453e-09,1.7350543224381454e-09,8.390053096718475e-10,0.0,6.508973190700863e-09,5.7112989323082875e-09,2.971054513523086e-09,0.0,1.5634011862886155e-09,1.6121348700437466e-09,8.70961969212658e-10,0.0,3.002266024676459e-08,3.37493570867764e-08,2.724357184291648e-08,2.8499962225333738e-08,1.8052035908322495e-06,1.3798698068612225e-06,2.0779947487170602e-06,1.8765921450007066e-06,6.226104927453476e-08,2.2243997535169316e-08,8.227809002248617e-08,5.784744429787813e-08,0.9812966836422637,-0.6894982093463917,1.8460315689460072,0.7964272268138616,-0.20759675016708812,-0.20762719566335974,-0.2076257422762815,-0.2076336951477612,-0.06074308199929271,-0.06075318952940728,-0.06075246451567214,-0.06075512455213192,-0.09964759711676185,-0.09966416109620813,-0.09966298678676466,-0.09966735187306874,-0.11488024122536178,-0.1148927989256796,-0.11489190808002547,-0.11489521688648204,-0.09273393478714764,-0.09274406609018193,-0.09274334223987779,-0.09274601082628982,-0.05958399729360586,-0.05959050871872512,-0.05959004370725229,-0.05959175743262855,-0.05261313636727143,-0.05261888301039054,-0.05261847486963478,-0.05261998880117483,-0.009863635605373844,-0.009864793199886535,-0.009864706553451619,-0.00986501239271893,-1.7242487608765242e-08,-1.4314200935672261e-09,-1.1136147115564654e-08,-7.201183795021306e-09,-0.006568059357666911,-0.00656879485612305,-0.006568716017134157,-0.006568917885929442,-0.008832313503344569,-0.008833299386479254,-0.00883320035334556,-0.008833467250347954,-2.1456885157533634e-09,-5.835099070594651e-10,-2.917857067075147e-09,-1.96610990869455e-09,-8.716664801067253e-08,-8.596917711045649e-08,-6.161215893030203e-08,-6.911789448716222e-08,-0.03578264913339996,-0.04901977404813591,-0.0200400302461875,-0.017127631072139396,-0.21070913299455118,-0.19194235481656963,-0.11441113583946105,0.03206297020865736,-0.18316701145062295,-0.17644328042838342,-0.13071685371449382,-0.05623221336875553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
