,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,32.895615248255105,30.557908165431655,30.0,30.000000019064707,30.368849940794217,32.37261974049232,31.185412925173146,35.644001565271346,43.0631260744923,47.39889662297284,53.637194492707394,44.41164086759377,46.75250238624278,39.28868598816206,50.84810555787507,49.910732232813416,36.71135659900769,46.72758300873403,45.98815260533929,45.452018303896054,42.22533852004013,35.62495221113377,36.302527280489294,38.110712328730905,30.0,30.0,30.0,45.54710501763178,30.0,67.60219691338797,75.65379683748681,76.0,76.0,30.0,29.99999999982513,-3.016304275821167e-07
101_STEAM_4,31.47588608696099,30.622379360469594,30.00000002508869,30.000000031904086,30.636407963841013,32.36973645427282,33.24734755567703,34.786115604130224,35.6966595834373,37.370723386362876,36.53428664547507,50.45128160836765,52.545627855966096,63.70144990512,53.811435948138026,55.014304505918744,66.45610310187413,52.954719655707834,48.87483823082731,49.75692157259364,48.721356654771746,47.909067029762525,40.573376023143,32.76279134599286,35.64184584947815,30.0,34.53974697796238,30.0,56.44911109404054,30.0,30.0,33.58369703320187,30.834539589605285,69.83287518980022,60.427344504041315,76.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,68.59838144792079,52.9999982167989,64.58192475948253,64.62076535915502,68.055586738516,69.14989470085916,75.99998110209894,75.99999798398171,71.99017019238963,72.96432722951178,73.1113815359752,73.1451634759803,74.11017990951322,74.981040914673,74.08744465214991,75.08957115052883,76.0,75.58713669675012,75.4418954452957,75.99999943257814,74.300346710287,73.31913246057331,72.24130543695446,53.000002483589995,30.000010826465502,30.0,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,68.66328993698096,52.99999924884334,64.58192476138085,64.62076543040251,68.05558674459316,68.35263708077835,75.9999807222783,75.99999798398171,71.99017019238963,72.96686511238829,73.1113815359752,73.14538997899709,74.11018008859529,74.981040914673,74.0874446521498,75.08957101814872,75.99999945704907,75.58713669675012,75.4418954452957,75.99999943257814,74.300346710287,73.31851576584648,72.24130543695446,53.000002483589995,30.0,30.0,30.00000933757035,75.99999971536758,76.0,76.0,76.0,75.99999994961237,76.0,75.9999999344179,76.0,76.0
107_CC_1,170.00004632443793,170.00000079784837,170.00000140365012,170.0,170.0000110139145,170.00033557601105,170.00000952848873,262.91195247109107,336.4579487499187,344.6610794780783,344.4105307769797,344.03587900005226,345.5324084753131,352.1787840935626,350.29997980093833,352.0869759848765,354.99999814188124,353.18869931966805,352.15109017628316,354.99999901473876,354.9999556790707,341.7123509997841,300.3253811059726,244.66774876302105,170.0,170.000000023458,170.00000012499075,170.0,355.0,355.0,355.0,354.99999988478027,354.9999997499101,354.9999997678567,355.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
