time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,0.001206679944058155,0.0011675188502475401,-0.06205698428086359,0.0015681284680309656,-0.001749434409283663,-0.0008138849204129663,0.0033687228172203177,-0.002513653672903473,-2.0688769910311415e-09,-8.7240309728041e-10,7.454033446290461e-10,7.830359107317498e-10,-9.263905356882283e-10,-5.825059806305325e-10,1.3174824759041575e-09,1.2612912996677733e-10,-0.0009215812234702788,-0.0013087805718712325,0.002386541726553888,-0.0015214280618222155,0.004195075818175733,-0.005845227311954301,0.023036880114417672,0.006171990345788495,-0.004300436287246507,-0.01885043781922913,0.003360189410567668,-0.005811352133905558,-0.007545229454954321,-0.026446962016806158,-0.04730459960187939,-0.0075140208057487634,-0.028017035835694364,-0.0059102236929572186,-0.24261453771748123,-0.025837901098244093,-0.040553522634857786,0.05238264110363733,-0.3440607678623109,-0.04509278123052901,-0.01709677394521636,-0.022328004528575862,-0.475287954131268,-0.05102017404869188,0.08020898408521282,-0.2593646062427988,0.6211810013140084,0.12453598531533888,0.08892083464327272,-0.259910388981923,0.40782862417356647,0.14770671820599018,-0.003214864219197297,0.17038026185147293,0.6587513077641228,-0.29895222421688916,0.07822688081477713,0.0320214246296425,-1.069706768771199,0.02525420058251646,-0.0493125365666761,0.015620996417801007,0.055240254532942075,0.024836590202644362,-0.020041182314527714,0.017892781854696137,-0.15240517859784775,-0.021631529497906022,0.007120524214191962,-0.04625413342860261,0.06624049294353783,0.038719127495937984,-0.014532882613418452,0.033141910124809215,-0.12235308729578065,-0.000819427509189594,-0.022568748473076723,0.005721786378062591,-0.15090286336981001,0.03255626841404541,-0.00760638057100445,0.012626392067760457,-0.059863355137896486,-0.0034360205434016094,-0.021005621380403232,-0.029767913656983513,0.06612643799876275,0.031137193648321213,-0.01589874402451417,0.0009560241924361474,-0.02946511081443088,0.00017334459571361507,-0.007089176095482748,0.0031237554385789394,-0.055383147741037524,-0.005272716948706205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.00360240428908571,-0.0021790662349462173,0.059366988706589074,-0.0034099269343696335,-0.0010024684498792173,-0.001689789327137192,-0.006822013873203894,-0.002032574842534586,-2.0217207861421023e-09,-7.15415695833572e-10,2.0464125391759383e-10,5.594711968739584e-10,-7.48627519125953e-10,-3.086278111277815e-10,2.2688093902509322e-10,-9.036236541651524e-11,-0.0010209644554461238,-0.0002670802400288547,-0.004779469517751207,-0.001499266629952436,-0.004109017738268736,0.005483389310171751,-0.02188023887654294,-0.005023215797779584,-0.004941195427944774,-0.02165946769173521,0.003861430165101801,-0.006677173556692117,-0.008548891239114387,-0.027655467281362173,0.05135041919413353,-0.012437466693838516,-0.0058563187885672715,-0.027598092506950188,0.20908343281730316,-0.007597369552456635,0.012097184129864935,-0.08047034550696586,0.3159458110703497,0.017075817668714414,-0.02153865326066373,-0.015941352755594718,0.4370004816552209,0.012822388741325123,-0.10187499695265623,0.23794184271995222,-0.6426210235181271,-0.14591210084859746,-0.10642433823139452,0.24265054563709,-0.4251059290527879,-0.16491977383262788,-0.013103715362202964,-0.18645495531360168,-0.6748435310730888,0.2829241959362253,-0.09443881776315755,-0.04798871093500415,1.0537220365070756,-0.04117595618984864,0.043862951129374675,-0.021515493928097575,-0.057963562866494574,-0.0285017709383467,0.013349693365709224,-0.025665188460457726,0.14828022306704292,0.01629439598467069,-0.015673289123389892,0.03405491866527114,-0.0692391139793913,-0.044987662533519844,0.004286661199388475,-0.049058030906279734,0.11965308188309642,-0.0066789342097773475,0.021968835821086448,-0.006155337775564183,0.1508577509838625,-0.03266094164085023,0.0004400597201728463,-0.02584057122844008,0.05630075868233459,-0.004046834702472439,0.02058510382330913,0.02965238327563902,-0.06613558548583859,-0.031050875521805795,0.015689440104525314,-0.0007876545892897172,0.029592462002314253,5.5176711189093614e-05,0.0052064945315341135,-0.004501883514829819,0.054079816930758355,0.004789973480703386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9642683774543386e-08,1.2568898888343227e-07,-1.3982358582076415e-07,-2.986025156868244e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.845984067138655e-08,1.8966264395126053e-07,-2.2517107939323822e-07,-4.0519548745557047e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.08132137812934104,-0.0820022716830765,-0.11545416352412818,-0.15922534704280655,-0.07043540061738923,-0.06943265823911776,-0.1016975887291931,-0.13951573768675174,-0.023222748317723807,-0.04651312729767687,0.16489084776950635,-0.03077519512375872,-0.0218849591787093,-0.037843824358412936,-0.11880828881496397,-0.04904706918636221,-0.04572379181823841,-0.041516593323243645,-0.06915957875430534,-0.09305133989044737,-0.030696195862259357,-0.029060017863914434,-0.037201100279319554,-0.04471146621013937,-6.852306297377986e-07,-5.02099830379521e-07,-8.450438908624847e-07,-6.849986186803986e-07,-8.425539793632808e-08,-5.733095664872678e-08,-7.49953565915007e-08,-7.268996316400817e-08,-0.010568139565084067,-0.010570117167676196,-0.010560003805774265,-0.010570094865529726,-0.04812717759857554,-0.048135700329401065,-0.048127338503713535,-0.04813616787945768,-0.0450841527138211,-0.04508763770982793,-0.0450971731157086,-0.04509402354531108,-0.06780858795344347,-0.06781597628603797,-0.06781568700958829,-0.06781745693665733,-0.05818024465856042,-0.05818629527402219,-0.05818769336229579,-0.058188120665110796,-0.061136445312525156,-0.06114477576371957,-0.061136709362413555,-0.06114448585450417,-0.03310378381435164,-0.033109254812738964,-0.03309778841374911,-0.033107275022064744,-4.868626779508389e-09,-3.3596466719743034e-09,-6.107782724029676e-09,-4.648013255593631e-09,-4.11450590265261e-09,-2.9867839312913702e-09,-2.8372839633306057e-09,-3.200987503954686e-09,-1.4694553158749831e-08,-8.84182083105145e-09,-1.0467277711256884e-08,-1.294486930308267e-08,-9.110186605099102e-09,-4.901696326609084e-09,-1.9347428548144308e-08,-6.867903331778903e-09,-1.1508630115564245e-07,-1.0520870313834862e-07,-8.56364779089347e-08,-9.699434568132802e-08,-1.1884335959777559e-08,-8.497473280577594e-09,2.3757549261205213e-09,-9.479936861095928e-09,-0.008432820423186493,-0.008356912448875098,-0.008406791404195979,-0.008424212693739101,-0.006392974941109131,-0.006823727147859532,-0.0048284625567160955,-0.003776814491247032,-0.046045112140293165,-0.043221115937115945,-0.043226120885097696,-0.03634663597559459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.08131866979117541,-0.08200050655010871,-0.11543985557508174,-0.1592285706917218,-0.07043797183159461,-0.069434487006373,-0.10173277401782821,-0.1395110264862571,-0.008657248795547356,0.012587390483288274,-0.2008669448717071,-0.024025638666078236,-0.014702967116969395,-0.013007328644198568,0.05998921663457635,-0.050247544374717686,-0.04572278625221446,-0.04151558133918937,-0.0691553371562843,-0.09305264952347861,-0.029649356970778973,-0.02807376980975318,-0.03592722712648477,-0.04318551304423337,-6.68169229889326e-07,-4.5333564002714155e-07,-8.553934343069614e-07,-6.231920515271782e-07,-1.0772224490196436e-07,-5.044060147341156e-08,-1.458911746965441e-07,-1.1208580632956985e-07,-0.012609645266582148,-0.012612788801933839,-0.012607035027283331,-0.012611219775248666,-0.04771610647255281,-0.0477238883881248,-0.047723448604720886,-0.04772604880887664,-0.04455954901671749,-0.04456952997790298,-0.04454964440452791,-0.04456659203358876,-0.06200238263448965,-0.06200919212260647,-0.062008799406324755,-0.062010506714728374,-0.0686978912309234,-0.0687053887417024,-0.06870503733527311,-0.06870676078426743,-0.05501883727760215,-0.0550259515804834,-0.05502013909879544,-0.055026346310714035,-0.04072499087581982,-0.04073087998076508,-0.04072289382841454,-0.04072904193770352,-4.880750414937296e-09,-3.7159261778718644e-09,-5.0480251090334605e-09,-4.246883749552764e-09,-3.2126237781149314e-09,-2.454946690377824e-09,-1.9040575782725e-09,-3.3204124652827955e-09,-1.375724474395716e-08,-9.329684580450248e-09,-5.500901956168036e-09,-9.725023985864994e-09,-5.772448630203542e-09,-3.76787956390956e-09,-2.3544703076083806e-08,-4.875550982368504e-09,-1.4760735955743343e-07,-1.3412447374960834e-07,-1.474228705777847e-07,-1.321957597141094e-07,-6.197614976777288e-09,-4.649744617113427e-09,-3.6172449480176283e-09,-7.984920042304651e-09,-0.006510221948854589,-0.006451509612859424,-0.0064905286598208045,-0.006503617138188234,-0.008074825780733319,-0.0086189160529834,-0.0060984122763922954,-0.004770195122515608,-0.04604490826389501,-0.0432209650186037,-0.04322593571486921,-0.0363468893272966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,1.3543187460385298e-08,5.753732379432108e-09,-1.2257038051188829e-08,3.098823340357535e-09,9.12566777699908e-09,8.759239333855362e-09,2.313258207209401e-08,-1.9831263206246582e-10,5.134056957345479e-09,3.3279055067225727e-09,4.101762840491574e-08,2.9203510503140074e-09,6.711935453038461e-09,5.087112953106043e-09,1.1342750738663199e-08,2.8730522094339564e-09,4.4538503845817116e-09,4.363259975548317e-09,8.253655536805127e-10,-1.7045990720796012e-09,3.571292319648478e-07,3.7899245963757267e-07,2.569695993770438e-07,3.3591377795743124e-07,1.540245693210096e-07,8.611716806328218e-08,1.5349674775677613e-07,1.4423653825874815e-07,0.22293125897288468,-0.04272290998085149,0.36039009705245917,0.19348771709006085,-0.034649467344689544,-0.03464675012111673,-0.034657154751446484,-0.03465514554875465,-0.04344603897751664,-0.043456044865318955,-0.043445782330076455,-0.043454224885999364,-0.049655627384809,-0.04966359442538426,-0.04968951219183282,-0.04966361269621684,-0.10720712105814556,-0.1072187527910291,-0.1072184233421325,-0.10722126134198173,-0.13264460880547713,-0.13265975185106704,-0.13265756141745655,-0.1326619803696131,-0.1108559332018979,-0.11087137647520962,-0.1108529988051572,-0.11087026522355424,-0.056081448425001845,-0.0560873622750826,-0.05609616548767704,-0.05608901258858186,-1.4686893923254729e-08,-1.129437832148028e-08,-1.6918890288764032e-08,-1.4254138346085862e-08,-6.777863381657312e-09,-4.4988186509442585e-09,-1.1233822760914336e-08,-6.8494451816258225e-09,-4.401243325347082e-08,-1.2434063778599125e-08,-3.293038641771773e-08,-3.8454760365827255e-08,-4.155057142796181e-08,-3.3821978773218575e-08,-3.3544438338140026e-09,-3.771164223531078e-08,-3.767429390677535e-08,-4.0555583113999205e-08,-1.0324744614820247e-08,-2.2935578908114646e-08,-2.2842420732693824e-08,-2.306079882608003e-09,-4.081543325540338e-08,-1.7668358933818118e-08,-1.901041757346178e-07,-1.9999865252806615e-07,-1.848556925310163e-07,-1.8363186681944294e-07,-1.0395467064938657e-07,-1.1892865547924458e-07,-4.9718823724731465e-08,3.674894474224258e-08,-0.17199110046569888,-0.17315288140447216,-0.16044692353769818,-0.1472674159165384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
