time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,2.7755575615628914e-17,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,6.936149113899535e-05,-0.0002088322893111907,0.0005746326173143165,0.0004571049479957586,-0.0009805091158726045,-0.00026840350687944983,-0.0011800295486164014,-0.0007955653674040604,9.813538700867089e-12,1.2771509956381024e-12,8.195224414548266e-12,6.009812691871257e-14,-4.870407188902249e-12,-1.2978503736355722e-12,9.560323556566274e-14,3.862329808588567e-12,-0.00010127927319545632,-0.00013139537966439974,0.0002621690422906558,0.00029275891906437913,1.4123218251000548e-05,-0.00019680334073265626,0.0004603029598959174,0.00035424550057855885,-0.001549139488894099,-0.009936609605016614,0.004060689140303085,-2.371586841575828e-05,-0.007687211039875658,-0.027392628641025863,0.0027430377363143015,-0.009694071982959266,-0.009977456085590955,-0.009792338259700658,-0.009805585009739003,-0.009756844975604386,-0.0038926877584069403,-0.0037066608636334365,-0.003719896503227954,-0.0036708833057474384,-0.004910886680131853,-0.004724990354017926,-0.004738289904973058,-0.004689332378311687,-0.005449588320916422,-0.0053273771403358735,-0.005336120388194953,-0.005303934968311884,-0.0046051690012107035,-0.004482865691901532,-0.004491615614594573,-0.004459405903513545,-0.004250890394615996,-0.004128548448577822,-0.004137301077656229,-0.004105081244410382,-0.004055912534169303,-0.003933482390429866,-0.003942205518828958,-0.0039099506172302085,-0.0026252256715398794,-0.0025027159510363473,-0.002511487588786457,-0.002479221632424191,-0.0038578435571236854,-0.00507831477033549,-0.0016545461641132644,-0.0028403361336494827,-0.0049177661884402995,-0.004795482576037953,-0.004804250697658077,-0.004772041496957635,-0.005336845805323211,-0.0052146260194982485,-0.0052233645077124635,-0.005191178009046807,-0.00029661918206263724,-0.00012744043218674016,-0.00013565957792046213,-7.913501873248082e-05,-0.00024635221456375845,-7.670400602372555e-05,-5.501726210009363e-05,-2.9006479441672196e-06,-0.00012559456741115225,-3.9327118067457346e-05,0.0001477662190047489,0.00019684659760847096,-0.0002021752682725477,-6.190428591524598e-06,2.61061152630243e-05,0.00017405028977207163,-0.0009772810712839338,-0.0007085598989118074,-0.000632507068952934,-0.00013259952064163596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,6.936117022200618e-05,-0.00020883210393331386,0.000574631737538647,0.00045710413720324373,-0.0009805091158726939,-0.0002684035068794611,-0.0011800295486161794,-0.0007955653674040604,-4.068911704549141e-12,-1.899708556696659e-12,-1.3011835208358936e-12,6.017746980976755e-14,-4.8720080190006166e-12,-1.2918003424538367e-12,9.702045920680192e-14,3.862920982494544e-12,-0.00010129235439421003,-0.00013141217984047703,0.0002621811637362132,0.00029277418118029883,1.4123218251065715e-05,-0.00019680334073260764,0.00046030295989601066,0.00035424550057855885,-0.0015491398720887373,-0.009936612069765835,0.004060690109514288,-2.3715923760706233e-05,-0.007687217162847121,-0.027392650712182425,0.002743040017715904,-0.009694079750134262,-0.009992975034028814,-0.009807792856498524,-0.00982103739624789,-0.009772255694300847,-0.003889985438325208,-0.0037038800615759935,-0.0037172679154834965,-0.0036682765993366773,-0.0049108866801318325,-0.004724990354018117,-0.004738289904973259,-0.004689332378311687,-0.005449588991794695,-0.005327377800955882,-0.005336121043625819,-0.005303935615562306,-0.00460516900121065,-0.0044828656919015455,-0.0044916156145947414,-0.004459405903513545,-0.004250890394616031,-0.00412854844857777,-0.004137301077655721,-0.004105081244410382,-0.004052569699165105,-0.003930272822600311,-0.003939058227316881,-0.003906861973244482,-0.0026252194804165883,-0.002502710828716103,-0.0025114819269366623,-0.0024792162804613328,-0.003855196142107298,-0.005075152059803134,-0.0016532584309465956,-0.0028384020578201704,-0.00491776618844018,-0.00479548257603835,-0.004804250697658139,-0.004772041496957635,-0.005336845805323197,-0.005214626019498224,-0.00522336450771263,-0.005191178009046807,-0.00029672290304630713,-0.0001273900193499682,-0.0001358512708936983,-7.906715649214302e-05,-0.0002463521491897724,-7.670401054683259e-05,-5.501724681068985e-05,-2.9006041387405827e-06,-0.000125594655697864,-3.9325678367188554e-05,0.0001477660329703458,0.00019684705762123232,-0.00020218994897643874,-6.191429220816204e-06,2.617224060299573e-05,0.00017406416803100036,-0.000977311254461252,-0.0007086737697218518,-0.0006325536341122677,-0.00013260702244828566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7755575615628914e-17,-1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.71445146547012e-17,4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6653345369377348e-16,5.412337245047638e-16,1.1102230246251565e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.034408797075541564,-0.0139796066863217,-0.04987097098494342,-0.0440320759032208,-0.0687522537703556,-0.04822093177856501,-0.11417316291839974,-0.1450001769983246,-0.02899339567779441,-0.015072183047385612,-0.014153235957023558,-0.0084267889902654,-0.024059684248220026,-0.01832642705674531,-0.029993794016708986,-0.0401559995459951,-0.02114856034013818,-0.011144390388726777,-0.030259853913640056,-0.03050927327477302,-0.03711210058744785,-0.029559144859537034,-0.04337720018699187,-0.042416497654656396,-6.545049002770753e-09,-3.3585619840792447e-09,-8.284203989461503e-09,-6.400713178296764e-09,-6.153951792597923e-10,-3.344919896619558e-10,-7.587486194893245e-10,-5.835312380532381e-10,-0.04763570283177132,-0.0476428225449701,-0.047642330986302106,-0.047644202196055495,-0.023225333658893288,-0.023229197740475938,-0.02322892111394781,-0.023229938872411197,-0.033343053066527295,-0.03334860005331075,-0.03334820329657617,-0.033349664084510344,-0.03458607885837939,-0.03458986303688971,-0.03458959238656156,-0.03459058900214866,-0.029668006624624543,-0.029671252777004664,-0.029671020748703647,-0.029671875613242193,-0.023255483729396342,-0.023258028632630712,-0.023257846007904703,-0.02325851658932452,-0.024892016895104674,-0.02489474055594254,-0.024894545804607482,-0.024895263014120962,-0.0016465278289856666,-0.0016467141364134852,-0.0016467091538827638,-0.0016467562805982134,-9.121109423304574e-11,-4.370259709673974e-11,-1.130984195185647e-10,-8.424088318170237e-11,-0.0021424189656410464,-0.0021426434814532103,-0.002142640053661271,-0.0021426967498271313,-0.0025981061174746856,-0.002598391350594864,-0.0025983696336489004,-0.0025984450544715653,-0.0017251341171372614,-0.0011363973734200838,-0.0017964317325935841,-0.0015364338996300569,-0.002966096934310658,-0.0027684951801304203,-0.002964013822618572,-0.0028749807753655613,-0.0075137446445657785,-0.007583330525891385,-0.007325310030047105,-0.007388981958861127,-0.00766944234157646,-0.007382799328155887,-0.006878797389071156,-0.0069312718673094935,-0.04868776146698728,-0.0454055825393988,-0.043397277733468576,-0.03283504493484544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.034408797075541564,-0.0139796066863217,-0.04987097098494342,-0.0440320759032208,-0.06875225377035549,-0.04822093177856507,-0.11417316291839841,-0.14500017699835469,-0.02899339567779441,-0.015072183047385612,-0.014153235957023558,-0.0084267889902654,-0.024059684248220026,-0.01832642705674531,-0.029993794016708986,-0.0401559995459951,-0.02114856034013818,-0.011144390388726777,-0.030259853913640056,-0.03050927327477302,-0.03711210058744785,-0.029559144859537034,-0.04337720018699187,-0.042416497654656396,-6.545049002770753e-09,-3.3585619840792447e-09,-8.284203989461503e-09,-6.400713178296764e-09,-6.153951792597923e-10,-3.344919896619558e-10,-7.587486194893245e-10,-5.835312380532381e-10,-0.04763570283177132,-0.0476428225449701,-0.047642330986302106,-0.047644202196055495,-0.023225333754462785,-0.023229197836061477,-0.02322892120953135,-0.023229938968001455,-0.033343053066527295,-0.03334860005331075,-0.03334820329657617,-0.033349664084510344,-0.03458607885837939,-0.03458986303688971,-0.03458959238656156,-0.03459058900214866,-0.029668006624624543,-0.029671252777004664,-0.029671020748703647,-0.029671875613242193,-0.023255483750063366,-0.023258028653298624,-0.02325784602857439,-0.02325851660999467,-0.024892016895104674,-0.02489474055594254,-0.024894545804607482,-0.024895263014120962,-0.0016465278275997752,-0.001646714135030869,-0.0016467091524969835,-0.00164675627921114,-9.12113717888019e-11,-4.3702541585588506e-11,-1.130984195185647e-10,-8.424088318165457e-11,-0.0021424189656410464,-0.0021426434814532103,-0.002142640053661271,-0.0021426967498271313,-0.0025981061174746856,-0.002598391350594864,-0.0025983696336489004,-0.0025984450544715653,-0.0017251341171372614,-0.0011363973734200838,-0.0017964317325935841,-0.0015364338996300569,-0.0029668923091902,-0.002769237566340843,-0.002964808640038452,-0.002875751716275588,-0.0075137446445657785,-0.007583330525891385,-0.007325310030047105,-0.007388981958861127,-0.007669442358748335,-0.007382799344685997,-0.006878797404472614,-0.006931271882828937,-0.04868776146698378,-0.04540558253941496,-0.04339727773355695,-0.03283504493480819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,1.0391371096929447e-08,1.0041617093392574e-08,1.0650101245346377e-08,1.0521108483185807e-08,5.5004001353609056e-11,5.820433024439353e-11,2.9743318918917794e-11,1.7780239409701341e-12,7.354961084615752e-11,9.05695518582661e-11,4.9814374847301224e-11,-1.707553280720727e-11,4.565703370928986e-11,4.587441537751147e-11,2.1863399979338283e-11,-5.079905526096381e-12,5.951245052315812e-10,6.495495252778483e-10,5.509575018436408e-10,5.64850143835118e-10,1.417927615321446e-07,1.0980207632016459e-07,1.6231985355830147e-07,1.4719136431076986e-07,1.7285477493800272e-09,6.128719753917267e-10,2.325881709452915e-09,1.651307722846748e-09,0.9813402094082684,-0.689312762043794,1.8459462626488694,0.7964750779878571,-0.35248481197070225,-0.35253738295992854,-0.3525339045470126,-0.3525476878769552,-0.10819991690542041,-0.10821791951428139,-0.10821663109328838,-0.10822137231085915,-0.1361477550646053,-0.13617040933573943,-0.1361687892358745,-0.13617475515294034,-0.14564051673739176,-0.14565646165773227,-0.1456553203931854,-0.1456595196494333,-0.10905573489118092,-0.10906767002697748,-0.1090668159151349,-0.10906995916092252,-0.07551953964803726,-0.07552780503225165,-0.0755272109016758,-0.07552938956158659,-0.06680877227483295,-0.06681608358878943,-0.06681555997590749,-0.06681748576798002,-0.0025519053722635743,-0.002552194411862052,-0.0025521873167093645,-0.0025522600682940737,-3.5717984125938074e-10,-8.67366178880502e-11,-5.17452747317293e-10,-3.4255143358858157e-10,-0.007851547085392596,-0.007852398760746171,-0.007852352798511042,-0.007852573142857776,-0.010598095678939767,-0.010599260272870836,-0.010599170172453043,-0.010599478449721193,-5.868168173606136e-10,-3.337741194542332e-10,-7.314131522662137e-10,-5.813033245751633e-10,-1.246372671737106e-09,-1.2279491867772663e-09,-1.1947833833403365e-09,-1.1042258872976091e-09,-0.03578800313993935,-0.04902706386229838,-0.020043068447983092,-0.017130246109383237,-0.2107098752066705,-0.19194295257522076,-0.11440800304378484,0.03206379732181024,-0.18316738156925894,-0.1764432973223483,-0.1307197984707038,-0.0562321926272416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
