gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.04115175289761178,0.06952047111552953,0.054642288322510044,0.003758881458216668,0.010425477650742199,-0.05347423019722001,-0.0018618818093506476
101_STEAM_4,THERMAL,2020-07-15 00:00:00,0.033347341705366025,0.06857302455133056,0.05248635411142232,-0.006147760304488371,-0.011465081118493897,0.05084842018331196,0.00011176294503633522
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.43954482735733913,0.43954482735733913,0.22821227508901126,-0.08242358228298252,-0.0839176894947129,-0.11509682970650648,-0.15810672587313723
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.43954523569137843,0.43954523569137843,0.22821253922006174,-0.08242334070831525,-0.0839177484285305,-0.11509725271140514,-0.15810689384312754
107_CC_1,THERMAL,2020-07-15 00:00:00,3.210435727938911e-08,3.210435727938911e-08,2.6446151827665618e-08,2.5631492484023966e-09,1.1749059503074477e-09,2.6206571135389822e-08,2.1597309452894436e-09
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-3.165003853392063e-08,3.165003853392063e-08,2.5665877553173498e-08,-8.726195321884234e-10,-2.712456703690691e-09,-2.5363794620147928e-08,-2.701167677893585e-09
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-5.48354506084495e-08,5.48354506084495e-08,3.4702278344903125e-08,-3.1918281351295263e-09,-3.736272624621506e-09,-2.7987502981829948e-08,-1.9919846866868523e-08
118_CC_1,THERMAL,2020-07-15 00:00:00,-7.338222048717425e-09,1.380657408752356e-08,1.0777372988081534e-08,1.8481207675336009e-09,6.884091074965681e-10,-1.0572398068120492e-08,6.976461443728987e-10
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
