time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,0.003758881458216668,0.010425477650742199,-0.05347423019722001,-0.0018618818093506476,-0.0008523529068632763,-0.0009658316828630357,0.009900592655370114,-0.0008668287051649604,-2.507807425939836e-10,-1.0946091045052513e-10,-2.939738469013687e-10,-6.985672279682514e-11,-9.519392055502874e-11,-6.418302492684584e-11,5.0839973003119976e-11,-5.872140504760389e-11,-0.0007068961472324688,-0.0003399975756118852,-0.0007193378871623823,-0.0005111224638710592,-0.0034149324720791326,0.004780439006066496,-0.00699258261054987,-0.006423067885585563,0.006127425767640632,0.0065776129974514045,0.011139319694616038,0.010231813312767476,-0.011913357095798906,0.0044892614209121745,-0.216532585802794,-0.01395833459757446,0.03860492820682407,-0.061619418082348415,-0.20168915030669218,0.01775405239869948,-0.0353669084567888,-0.0020852150461552893,-0.4140133816257334,0.03777501253678533,0.041768055648954694,-0.14399106853663568,0.23565321637534697,-0.08311153327830939,0.10349063710827969,-0.1246113838362317,-0.0921456056793476,-0.03444719132402615,0.05436244925233884,-0.02005631090962401,0.08663517896567066,-0.03760791121124204,0.03188453980303642,0.40444177024446637,-0.6557602412794252,0.08968255366542852,0.0628533579882067,-0.030591468753309224,0.4536777740506287,-0.07325560316198372,0.040928595628353985,-0.03547133605674521,0.019021056325275426,-0.02562469047470288,-0.0040824443713574216,0.023386464593421655,0.004600403971270012,-0.02719218904716396,-0.050805077242841785,-0.07953261082323979,0.37716727345359224,-0.013053963295253986,0.05055836026026251,0.035244564406306265,-0.31300848522619706,-0.010894968292950925,0.05082007102979743,-0.0007489274966442987,0.011357528171080072,-0.05602018828117088,-0.007255443198620653,0.017483371795654297,-0.01390694914309222,-0.003107779286124153,0.03172412632898542,0.0015243715337186678,-0.005782559240389826,-0.032569363058291306,-0.014170161753328931,0.005781343639977864,-0.0783850391019,-0.0018137871667569774,-0.0038371010670531468,-0.014441097666253441,0.08336375393192233,0.01126002067215854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.006147760304488371,-0.011465081118493897,0.05084842018331196,0.00011176294503633522,-0.0009340236474171015,0.00048228667306800786,-0.012137283829082949,-0.0008210178540846282,-2.6088307982830884e-10,-1.0690559759293889e-10,-1.9550938482345007e-10,-8.359042731402895e-11,-9.65712665080689e-11,-8.018185623369552e-11,-1.0612863554024292e-10,-9.791825888010779e-11,-0.0008638474100610337,-0.00042688982341812607,-0.0008800667418302799,-0.0006502995944210498,-0.00011994427263281853,-0.006257823962407917,0.0031450333904746285,0.004236916554300889,-0.005792300648241539,-0.006567261773501304,-0.009932319467735455,-0.009139720297595843,-0.003164958442938075,-0.061432824365886415,0.2235809354532592,-0.00540838419638799,-0.08179979740071147,0.018791376047973627,0.15883485484296608,-0.060511737495917865,0.02075030591556653,-0.012160393767070996,0.39974123752094215,-0.05194945772032716,-0.06067381611984052,0.12545560452227056,-0.2542152503141196,0.06464707863888686,-0.12217939144107923,0.10616619976495854,0.07368298636637693,0.01604872638748204,-0.06875877367159718,0.005904020451219516,-0.10080489149704577,0.02350243520336054,-0.046991185414468575,-0.41930665389593835,0.6408794324014506,-0.10450082579400956,-0.07798727213557725,0.015701614414788255,-0.46858494144271445,0.05841236886145368,-0.04719271762010017,0.028309444119225025,-0.022825314590557116,0.020726471575985853,-0.003009264573660006,-0.03152051525255237,-0.009399294355764004,0.021273469594787195,0.04253703799375586,0.06830666063034982,-0.3805676661310404,0.006905319083060089,-0.059391205783846386,-0.04819242968726164,0.310107114858849,0.004393602678576258,-0.05141990533050219,0.0003153029495686426,-0.011402581912882487,0.05591556641369591,0.006635222332384226,-0.01774750862250147,0.01364982826426038,0.0029534046442214255,-0.03216844489971827,-0.0018034560251860544,0.005956802624213095,0.03292131621408645,0.013765795103149975,-0.0057937266147937636,0.07843731682833768,0.0021619041844651325,0.0018825073770468125,0.013023862713752658,-0.08462880658009994,-0.011525225169800332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.08242358228298252,-0.0839176894947129,-0.11509682970650648,-0.15810672587313723,-0.06382404812876946,-0.05648253911049139,-0.10566506406760601,-0.14888986145591346,-0.024477971546630728,-0.00942968827584506,0.21115680432179307,-0.027531122734584367,-0.019273393336555478,-0.021654747912435435,-0.18201907790243288,-0.02915511707271784,-0.0471480764074321,-0.043452074483955105,-0.06866171271958921,-0.09115790384247466,-0.10356444107727758,-0.11907892786032659,-0.1019458060506424,-0.1204106990141632,-0.030861714221093517,-0.02878856212435854,-0.0340832614316664,-0.036285438846391245,-0.020996772634490735,-0.012099887554782973,-0.025603514954907425,-0.0200140434699548,-0.11893865598590353,-0.11895646781003943,-0.118955172072015,-0.11895988031047205,-0.041007982797406806,-0.041014807202411685,-0.041014253401499,-0.04101611141705559,-0.05306283359164432,-0.053071664317014156,-0.05307099831069095,-0.053073353018659515,-0.06376186613479529,-0.06376884276443295,-0.06376834402715303,-0.06377018392662588,-0.03605581925893353,-0.0360597633183839,-0.03605947802619358,-0.03606052371023395,-0.03245880680630453,-0.032466895577769606,-0.032465365968940674,-0.032468282385587695,-0.027591121933428053,-0.027593691971322665,-0.027593908802408862,-0.0275949556187289,-3.5904779149831256e-11,-2.129174614395879e-11,-2.0351498264403745e-11,-4.060538929643392e-11,-1.8528345524515544e-11,-9.302836279090343e-12,-4.55881998817631e-11,-3.427773701434923e-11,-3.929403580293922e-09,-2.5186717711456197e-09,-5.038936157220064e-09,-4.920706609468614e-09,-4.171807788111437e-09,-1.393877568922619e-09,-7.004778090902164e-09,-2.7010732879340495e-09,-6.10323883654118e-08,-5.447551904014247e-08,-3.952206895085908e-08,-5.555643088546139e-08,-0.003888342189404176,-0.003185905219561691,-0.004268806136003778,-0.004073295018163789,-0.008845502727839127,-0.010031748343114932,-0.007390661484529271,-0.0072443034867526665,-0.007734242433461769,-0.007445175415994543,-0.006936920045549133,-0.006989875393920551,-0.04868782082683454,-0.045405630368496486,-0.043397032882475095,-0.032834988295196904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.08242334070831525,-0.0839177484285305,-0.11509725271140514,-0.15810689384312754,-0.0638240396017084,-0.05648252545424748,-0.10566508882429826,-0.14888987169924128,-0.03067300728047212,-0.02045385572613806,-0.24169806363076685,0.0042604788741447,-0.029138669585211108,-0.03188350091687908,0.1288474133525792,-0.02545399073523547,-0.047148076601577465,-0.043452077150088864,-0.06866170132874827,-0.09115790243184163,-0.10356439409202711,-0.11907909196922872,-0.1019458506817954,-0.12041055831663296,-0.029339922345375413,-0.027368923545859403,-0.032402642767975554,-0.0344962053879886,-0.02311287112363003,-0.013319339882967962,-0.028183928047747386,-0.022031092962950877,-0.12022858441368589,-0.12024659105370494,-0.12024531902138325,-0.12025003812753687,-0.03704534473613358,-0.037051509495182655,-0.03705101691651036,-0.037052687500974,-0.053062833104945195,-0.05307166383023376,-0.05307099782391678,-0.05307335253190535,-0.05262958087978953,-0.05263534118766078,-0.052634925032433166,-0.05263644485999622,-0.034788917570420574,-0.03479272416319423,-0.034792442373218435,-0.03479345572210114,-0.034210969784690626,-0.03421944220486495,-0.034218264455315506,-0.03422096828483265,-0.03375628932412211,-0.03375951343599337,-0.03375954448123775,-0.03376095572572559,-3.3661073928215046e-11,-1.7364665261254686e-11,-1.86248794165067e-11,-3.719988717705492e-11,-2.507971608167736e-11,-1.5155765531460474e-11,2.4502622153477205e-12,-2.280053364447655e-11,-4.138873577197444e-09,-1.2586172659645456e-09,-1.7378867012141086e-08,-3.719827065545619e-09,-2.210936100865979e-09,-2.9819011704290688e-09,4.598991409920927e-09,-3.5959665322673666e-09,-6.10165814540764e-08,-5.445680995030955e-08,-3.9541910634710575e-08,-5.554652472496831e-08,-0.003876791759963333,-0.0031764412820206867,-0.0042561255722619595,-0.00406119506090566,-0.008881737972163406,-0.01007284321767285,-0.007420939475294208,-0.007273983329489716,-0.007604614601751769,-0.0073203928210144875,-0.006820650327459932,-0.0068727181673663975,-0.04868781600490302,-0.04540562568041523,-0.0433970318213055,-0.03283499618409683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,2.5631492484023966e-09,1.1749059503074477e-09,2.6206571135389822e-08,2.1597309452894436e-09,3.943494863989372e-09,3.413148874642502e-09,-1.4602250075768097e-08,7.229808337245272e-10,0.07919326081541778,0.021033804733997297,0.023553806881427164,0.003949986502828948,-1.1225580465179519e-09,-1.2505463331535793e-09,-2.901359152929217e-09,-1.1961912639606948e-09,2.060389414637598e-09,1.3250132102626822e-09,3.586854369075354e-09,-1.207441487603865e-10,1.7493305248805768e-08,1.2136591287514875e-08,1.51270160841932e-08,1.654459324408174e-08,0.49504031480848987,0.4155102398034165,0.5500345465198144,0.5172855477776018,0.1939849859761269,-0.19582712627860754,0.3957333204912459,0.15085740778588294,-0.3875152386710843,-0.3875732568529431,-0.3875691819228422,-0.38758441219230116,-0.08832745691026478,-0.08834214854268652,-0.08834102379259612,-0.08834496771988724,-0.1456179982151662,-0.1456422238234545,-0.1456405655351105,-0.14564685755147694,-0.14629388930856324,-0.1463098895348418,-0.14630879475847536,-0.14631296507943425,-0.09019355202005297,-0.09020340445436759,-0.09020270529511265,-0.09020532764699629,-0.060344338132813924,-0.060359094473685815,-0.060358603307740566,-0.060362022782443084,-0.05587795157201558,-0.055891282670333275,-0.0558782283749899,-0.05588400100053632,-1.5259726815486374e-10,-1.1186696013965047e-10,-1.2935785775880504e-10,-1.5702705175969354e-10,-8.201328505208494e-11,-6.837819199745354e-11,-3.299049922134145e-11,-8.013809539042652e-11,-3.114039559548587e-08,-1.7276560182466483e-09,-5.0794167982815e-08,-2.4223254995261072e-08,-6.306908773012765e-09,-2.748790084439179e-09,-2.541896471086602e-08,-1.1139441910039642e-08,-1.5120301011251058e-08,-2.059516357455493e-08,2.2187570891674113e-08,-1.3519701867877217e-08,-0.001948692592542156,-0.0015708094718807075,-0.0021806441285598943,-0.0020015691923173243,-0.2523591647378285,-0.37715749950272603,-0.08504194984337943,-0.03437295669454326,-0.21070984478830113,-0.1919428498992677,-0.11440783166981117,0.03206369623927698,-0.18316576303665055,-0.17644157177879538,-0.13072145102132637,-0.05623501627799154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
