gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,1.4774757831741666e-07,2.893254471368333e-07,1.6348523553104566e-07,-2.2860370658496502e-08,-4.792856375121183e-08,1.1304812205411401e-07,1.0548839067301099e-07
101_STEAM_4,THERMAL,2020-07-15 00:00:00,9.464858052986797e-08,2.9686490060435516e-07,1.6143321724751206e-07,-3.655899765699551e-08,-6.454916238024808e-08,7.144753395099832e-08,1.2430920661611325e-07
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.2195535608301411,0.2195535608301411,0.10980820224551029,-0.05507301711877366,-0.05276658038536164,-0.05635057018557932,-0.05536339314042649
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.22596560395700466,0.22596560395700466,0.11301515812423517,-0.056681261738484534,-0.054307111041492606,-0.05799673926364779,-0.056980491913379734
107_CC_1,THERMAL,2020-07-15 00:00:00,-1.0476488493943672e-08,1.0476488493943672e-08,5.3771451155549576e-09,-2.587769554196484e-09,-2.785481179046201e-09,-1.7040591160366603e-09,-3.3991786446643267e-09
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-7.184703018996151e-08,7.184703018996151e-08,3.975519486413906e-08,-2.2890386872391012e-08,-2.335438664592499e-08,-3.2266685972743174e-09,-2.2375588074371192e-08
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-0.9594248065912704,0.9594248065912704,0.48020582295141623,-0.2402653596500638,-0.22253742377099595,-0.25222045024071527,-0.24440157292949535
118_CC_1,THERMAL,2020-07-15 00:00:00,-1.3419913168422323e-08,1.3419913168422323e-08,7.765995585969098e-09,-3.265948844699551e-09,-3.6891465438060322e-09,-4.812701348555493e-10,-5.98354764506119e-09
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
