time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-2.2860370658496502e-08,-4.792856375121183e-08,1.1304812205411401e-07,1.0548839067301099e-07,-0.0015759018329789085,-0.0011944892989123024,-0.0010385187323813056,-0.00015014284555241753,-1.7578854057378595e-09,-4.104287708204708e-10,-1.0202032302926513e-09,0.0,-4.0409519903734323e-10,0.0,0.0,3.543536522317291e-10,-5.0464409989686146e-05,7.177830699104878e-05,9.120837227144669e-05,0.00012336002914511477,-0.004926845160651365,-0.007895345133872191,-0.0033345746307601705,-0.005213185430018285,-0.008387712682509266,-0.013744165751399386,-0.005553445892472761,-0.008935193803111833,-0.01292050972391794,-0.020962661043697057,-0.008653564444808987,-0.013730662605847314,-0.014562222646613924,-0.019826563803852854,-0.011250565329289738,-0.014714974525413984,-0.020005928601800456,-0.01991800494075647,-0.019924272526950802,-0.01990087711670576,-0.026175521186915997,-0.026093328518897264,-0.026102895113601747,-0.026079373402124913,-0.022046751305046963,-0.021992743773818733,-0.02199477588383085,-0.021980391449460263,-0.018756861439761175,-0.018708789205059563,-0.01871218285194874,-0.018699660880383648,-0.024171457596206515,-0.02410995534330253,-0.024110596961638676,-0.02409816217182559,-0.02266560926149489,-0.022612666120253564,-0.022616359540339047,-0.022602268176723977,-0.009546892004868253,-0.009448496386219791,-0.00945410185949027,-0.009428351358499332,-0.0039926445102452255,-0.004699560952779112,-0.0027063623947332143,-0.0034067696742697455,-0.004269383601444392,-0.004450435039573856,-0.0039077349415179855,-0.004090998093570541,-0.00456579085379934,-0.005123077224090167,-0.0038066977906285942,-0.004282605015294031,-0.0002822576049480698,-0.00012381510752517737,-0.00013555634141952219,-8.694458230074289e-05,-0.00024284388066828308,-6.428000119359267e-05,-6.570751732795498e-05,-1.6277084404000763e-05,-0.00034474057810998096,-0.00023944201931646363,-0.00019238721948770422,-0.0001574192181017699,-0.00012830620306485314,9.100115323026355e-05,7.749393024310828e-05,0.0001375202297491026,-0.0009372533929894325,-0.0007018727096462671,-0.0006272625318984167,-0.00020685127977479735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-3.655899765699551e-08,-6.454916238024808e-08,7.144753395099832e-08,1.2430920661611325e-07,-0.0011942757420635981,-0.0009053345356927182,-0.0007947271144218592,-0.00011338444592680638,-1.697618371049802e-09,-4.702612302628579e-10,-3.854626514427273e-10,0.0,-3.0692171285218537e-10,0.0,7.925481625088669e-10,2.7354874718529175e-10,-8.232504210546956e-05,0.000117292060333044,0.00014886260724791654,0.00020129195306073998,-0.004543936340069957,-0.007282065856025486,-0.003074584510708264,-0.004808304572390629,-0.009585245575586262,-0.01570550952743846,-0.006348217174083799,-0.010210603802316233,-0.012160119824940162,-0.019727799507509303,-0.008137432673691034,-0.012922260550890977,-0.019460876078003102,-0.026494792839044146,-0.015036053705497612,-0.019664419196168344,-0.014816295293634553,-0.014750467977124591,-0.014755107169992935,-0.014737680018713884,-0.022239655339857396,-0.022169301377659104,-0.022186214231097543,-0.02216349573378074,-0.01836559181239698,-0.018322306868660033,-0.018322661100576988,-0.01831123685542181,-0.019589543815835362,-0.01953772047381614,-0.019541394991892405,-0.019527965556446446,-0.015198996956894008,-0.015160377070617792,-0.015160407134659545,-0.015152958222024301,-0.017414886830837854,-0.017374545453429268,-0.01737736681238744,-0.017366582928815925,-0.009458679619056973,-0.009350243790037037,-0.009362471040568626,-0.009332687444082787,-0.004078797450443468,-0.0048014925315202775,-0.002779561084865818,-0.003480497731067574,-0.005462017328055368,-0.0056938288260626685,-0.004998383418396041,-0.005233903629866214,-0.006070555248718728,-0.0068120053194355165,-0.005055116632884546,-0.005694780334904542,-0.00024787541368997273,-0.0001089185286977077,-0.00011923379945919682,-7.636039322768837e-05,-0.0002472770386404223,-6.542649277770556e-05,-6.673921638985098e-05,-1.657678880887325e-05,-0.00034583867631393205,-0.00023998019789937111,-0.0001933587595007599,-0.00015792283720895988,-8.783604098333992e-05,6.224018562483312e-05,5.3000849939161465e-05,9.417705548364329e-05,-0.0008252868744140915,-0.0006170499599926721,-0.0005519369410043048,-0.00018241297560686977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.05507301711877366,-0.05276658038536164,-0.05635057018557932,-0.05536339314042649,-0.0983444488373269,-0.09683781896101706,-0.10057468813133896,-0.10121028324387536,-0.024368803201576528,-0.01317759718722089,-0.013864988373958997,-0.010801590756534063,-0.035716867175731554,-0.03416438680869377,-0.036888769226913976,-0.0390705683177421,-0.022158214548449295,-0.02048277832418921,-0.022972714526758864,-0.02254364858759304,-3.657839625637038e-08,-3.466492470849403e-08,-4.238896167407802e-08,-3.650567737957325e-08,-2.10383334087183e-08,-1.7450987432887644e-08,-2.3066761833945293e-08,-2.212175349714982e-08,-2.866459103412211e-08,-2.4931159581242923e-08,-2.8993611067562597e-08,-3.056863900690089e-08,-5.0032085363582723e-08,-4.922749674562965e-08,-4.287926635981876e-08,-4.653836244186762e-08,-0.09454156124925983,-0.09455408499229412,-0.09455306340467828,-0.09455657637477814,-0.022430637161149992,-0.02243340315285867,-0.02243389572941018,-0.02243454437889417,-0.018745680846941035,-0.018747909589322834,-0.018747554057738973,-0.018748460510898367,-0.01707729186880559,-0.017079326531566113,-0.017079130646682695,-0.01707961643142601,-0.02361022800579758,-0.023613245081867972,-0.023612802802872642,-0.023613616437195957,-0.019252075330410227,-0.01925408923944367,-0.019254000769856217,-0.01925453916377023,-0.0029599911003844554,-0.002960675387297519,-0.0029606726654880467,-0.0029608298193661863,-1.9310488766444084e-08,-1.5237980115559604e-08,-2.8130320899047186e-08,-2.0759851709391877e-08,-6.509135493436814e-08,-7.20170745171537e-08,-5.2685508256040346e-08,-6.742895031812103e-08,-3.9652652539735435e-08,-3.023525779433437e-08,-8.320211718284822e-08,-3.8785930066438225e-08,-0.0018561426616482558,-0.0015368639480160791,-0.0018707991530717274,-0.001729335929577698,-0.002456764410612329,-0.002261333241271608,-0.002493788531156078,-0.002433698601619679,-2.3615024991041622e-08,-1.8111060873238216e-08,-3.632467360237257e-08,-2.452332579707838e-08,-0.00680277565626336,-0.006795930337126527,-0.006468554358715517,-0.0063429160832236585,-0.04474373224795525,-0.04359567298180325,-0.041456552251505796,-0.03575248109979463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.056681261738484534,-0.054307111041492606,-0.05799673926364779,-0.056980491913379734,-0.09834436062437851,-0.09683788368024443,-0.10057539265794979,-0.10121032958207289,-0.025015610278316613,-0.013527544637176148,-0.014233733224679135,-0.011088703353973455,-0.027495218397430382,-0.026299486014060958,-0.028399915095759454,-0.03007663405063972,-0.023284338621945566,-0.02152374209157737,-0.024140074951052526,-0.023689472739111782,-2.8207522762002668e-08,-2.3892438805184213e-08,-3.8356734677336135e-08,-2.7318707197418327e-08,-2.2662990817323703e-08,-2.285939371127199e-08,-1.9870105560926277e-09,-1.6877425057982697e-08,-2.700853696246952e-08,-2.6845748513082413e-08,-1.6619445375454234e-08,-2.796241279570901e-08,-5.8550071235785595e-08,-4.9677546742898926e-08,-7.154481096449672e-08,-5.726809144556666e-08,-0.09355118156600828,-0.09356354323894789,-0.09356253091541467,-0.0935660108338817,-0.016747106596543156,-0.016749179319916718,-0.016749437389180236,-0.016750041656863453,-0.018062722244593814,-0.018064844720864788,-0.018064518708000226,-0.01806538176851045,-0.017613164157864052,-0.017615316822054604,-0.017615145515175634,-0.01761561515055369,-0.029209180096733907,-0.02921286840167614,-0.029212705991745604,-0.02921346245847028,-0.02124171209868573,-0.02124397515098194,-0.021243657426431105,-0.02124433973313387,-0.003709812435367694,-0.0037106692379583824,-0.0037106443658658853,-0.003710861800484232,-2.0683597048999862e-08,-1.6864796529926894e-08,-2.2414958353203877e-08,-2.4207219632235265e-08,-8.700529659289468e-08,-7.695940981553506e-08,-6.351165043868738e-08,-7.71904814970373e-08,-3.98277876694273e-08,-3.033832866630099e-08,-8.221897312913198e-08,-3.9006578753043866e-08,-0.0018411104419476076,-0.0015244194403230373,-0.0018556487345052705,-0.0017153329757735771,-0.0025579389742779934,-0.0023544582338283033,-0.002596511854218456,-0.0025339044709965504,-2.4055439418191327e-08,-2.4431107442657307e-08,-2.8294522169680647e-08,-2.4234344869901726e-08,-0.007351003027935121,-0.007343631441842441,-0.00698942262534219,-0.006853909710410268,-0.04474371716494663,-0.04359573597088204,-0.04145477826754673,-0.03575254378246241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,-2.587769554196484e-09,-2.785481179046201e-09,-1.7040591160366603e-09,-3.3991786446643267e-09,-2.808994592484737e-09,-3.5496705574900034e-09,3.1636364639098247e-09,-2.4416960640297933e-09,-1.6561321203312218e-09,-2.8048199318675415e-09,3.830420425288139e-09,-1.9264189843980842e-09,-1.626270229593274e-09,-1.7959549403201436e-09,-8.047921440379469e-09,-1.5970370144769641e-09,-1.4908473344732442e-09,-1.3836412016132726e-09,-2.0004229384085193e-09,-1.5027043773014503e-09,-4.308912560091471e-09,-4.1077630186237e-09,-1.1054492432549523e-08,-3.956680893481038e-09,-7.826336911875842e-09,-6.065171476166142e-09,-1.0975885089692383e-08,-8.211504721848954e-09,-1.6758476384381993e-08,-1.3643653318240467e-08,-1.997130283371007e-08,-1.6448714379058982e-08,-1.0087139923342647e-07,-9.056564476139783e-08,-1.1799869170658894e-07,-1.004123057073944e-07,-0.3958016508774358,-0.39586723657251843,-0.3958621035039407,-0.39588012734735983,-0.566793547991413,-0.5668902731765391,-0.5668634816959717,-0.5668932312171291,-0.4560262125033936,-0.4560716866092198,-0.4560783611849466,-0.4560843085134828,-0.44950249002522513,-0.4495485076667993,-0.4495480692645657,-0.4495598005626824,-0.2959866865257368,-0.2960141351274572,-0.296025130272362,-0.2960232052738699,-0.4019963664265176,-0.40203873363971443,-0.4020358293691366,-0.40204749958164254,-0.22035224433378864,-0.2203989192618505,-0.22039552073736335,-0.22040727438268504,-4.525037811120569e-08,-3.9961366660179465e-08,-5.551920434498925e-08,-4.5219521779244523e-08,-2.1474589573244884e-07,-2.1051935750193707e-07,-1.951917285580862e-07,-2.166726575912784e-07,-9.390114596996568e-08,-8.866566991727609e-08,-8.869334955363684e-08,-9.415760739994419e-08,-7.171743472422776e-07,-6.424807257321419e-07,-7.414776668213108e-07,-7.119017770961242e-07,-5.699738006015309e-07,-5.430351744939443e-07,-5.767308062232246e-07,-5.511640414059471e-07,-4.64818774581488e-08,-4.1888421176139445e-08,-3.400110326623462e-08,-4.306709323847143e-08,-0.05473259387280627,-0.05586550885246677,-0.05114553993053317,-0.047890466243550395,-0.17641745207837767,-0.17411781223702538,-0.16410953338534906,-0.14573898396984977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
