gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,1.2597258305935277e-13,1.2597258305935277e-13,9.819713557795023e-14,1.4625670466394958e-14,9.585865087813339e-14,1.5488261714824425e-14,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.004841620505447787,0.004841620505447787,0.002790678096240989,-0.0019465068501003638,-0.001575147648699786,-0.0012286437434819867,-9.132226316565113e-05
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.00484162050328091,0.00484162050328091,0.0027906780949920173,-0.0019465068492292067,-0.0015751476479948295,-0.0012286437429320943,-9.132226312477939e-05
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.4814929130260126,0.4814929130260126,0.241179535928163,-0.12483514902998183,-0.12950104908249932,-0.116142127977374,-0.11101458693615747
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.4814929130260126,0.4814929130260126,0.241179535928163,-0.12483514902998183,-0.12950104908249932,-0.116142127977374,-0.11101458693615747
107_CC_1,THERMAL,2020-07-15 00:00:00,-2.151745805245071e-08,2.151745805245071e-08,1.0815035435217025e-08,-5.79369663356033e-09,-5.927017987517047e-09,-4.523913688103676e-09,-5.272829743269657e-09
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,2.6112452846828085e-14,3.9894473415560076e-14,2.7365173184551692e-14,7.648698431263206e-15,-6.8910102843659955e-15,2.5354764699930875e-14,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-6.996150093697169e-08,6.996150093697169e-08,3.501115275068136e-08,-1.6356453096760905e-08,-1.747708903918591e-08,-1.836722367259044e-08,-1.7760735128434422e-08
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-2.71336036264103e-07,2.71336036264103e-07,1.3571006344797654e-07,-6.495757165492222e-08,-6.925782658484536e-08,-6.839603816644058e-08,-6.872459985789481e-08
118_CC_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
