time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,1.4625670466394958e-14,9.585865087813339e-14,1.5488261714824425e-14,0.0,6.678685382510707e-16,5.024192867297828e-16,1.6688039838896884e-15,0.0,2.558922487060566e-16,2.5817368511038387e-16,4.2101215175240926e-16,0.0,7.128686332671088e-16,5.638399963756978e-16,8.78632684190333e-16,0.0,9.098624631498353e-16,2.2390943266170638e-15,-3.7999551422140954e-14,0.0,4.612020250653045e-14,-7.572704750832685e-14,2.941865704492695e-15,0.0,1.4183099139586375e-14,2.0795865030009963e-14,-6.06216465914855e-14,0.0,-2.0055138105767867e-14,2.642677743303068e-14,-8.417051777787066e-14,0.0,-2.1163626406917047e-16,1.0187684029716593e-13,6.938893903907228e-18,0.0,-1.7857243461705252e-14,2.1789167692354283e-13,-5.97244476097103e-13,0.0,-1.1053657988924215e-14,7.482209296583164e-14,-2.0566881531181025e-13,0.0,2.010717981004717e-14,-2.5849114515530403e-14,-1.4755210941963526e-13,0.0,-5.585809592645319e-16,4.0592529337857286e-15,-3.68594044175552e-14,0.0,5.403316682972559e-14,-5.062443519943116e-14,-1.9799613337756483e-13,0.0,-2.7439855943001135e-14,2.7592511608887094e-14,1.2398415627501436e-13,0.0,4.806268230628241e-14,4.786405646828307e-14,5.231318850329458e-14,0.0,2.3367939527840775e-13,1.013251982318053e-14,7.583430411406411e-14,0.0,1.2820126904511397e-13,9.626847929933291e-15,-7.379166722110142e-14,0.0,5.303917027799088e-15,1.337038119109124e-14,2.919192665373771e-14,0.0,-3.821921078228652e-15,4.660063567668571e-15,-1.281017392856798e-14,0.0,-2.2500447685591674e-15,1.420180162706175e-14,0.0,0.0,1.2216979814946849e-14,2.3664609768297984e-14,9.273723282354762e-15,0.0,4.501390579725317e-15,-1.0917373775842787e-15,-6.004203211007475e-15,0.0,5.050538980089225e-15,5.587002215035053e-15,-2.881635902118873e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0019465068501003638,-0.001575147648699786,-0.0012286437434819867,-9.132226316565113e-05,-0.0015651938601671004,-0.0011915990938521901,-0.0009293412547654895,0.00011201103222848813,-3.5709039349697723e-09,-7.429535015214211e-10,-4.923829284375846e-10,1.5766412384538882e-09,-1.2846644086544824e-09,-4.78723074230315e-10,-3.7756569615352975e-10,3.58099844147513e-10,-0.0010705848583429341,-0.0008212592926786113,-0.0006998984097620925,-0.00015428995954377901,-3.4783341836896207e-07,-2.1714783254364012e-07,2.212198675078952e-07,6.487199033499328e-07,-0.008943719943308635,-0.014683256720956762,-0.005919593413524875,-0.00953854275268158,-0.0073821213835496505,-0.010568053993699878,-0.004679748354157347,-0.006962063897564015,-0.01226995028315995,-0.016492168101193097,-0.009369138176171792,-0.012211791280449958,-0.016422308854864266,-0.016342378923599684,-0.01634809480558616,-0.01632704440397785,-0.024675462283366312,-0.024528779180310805,-0.0245392733489856,-0.02450064263552981,-0.015391831903645818,-0.015340384913087606,-0.015344061366063005,-0.015330513603950413,-0.015262601852762354,-0.015212877218718442,-0.015216427534917264,-0.015203333119803706,-0.015023954246354306,-0.014973716769657745,-0.014977309040542362,-0.014964078666621753,-0.01685847270216947,-0.016805335044697438,-0.016809135159112927,-0.01679514057885976,-0.003062021376566377,-0.0033782196184507216,-0.0018096637919647858,-0.002297158686533203,-0.0036519923788149696,-0.004234845600915997,-0.0024947246089269378,-0.0030890323878600204,-0.004534992410490336,-0.005471232166160218,-0.0030402525924851254,-0.0038979698802094898,-0.005366744224429272,-0.006955982347669647,-0.0034772401953938057,-0.004760413049055066,-0.0002544261842981873,-0.0001079232348445364,-0.00012021271988028371,-8.13521647776102e-05,-0.00030820961529329525,-0.00012212115790617253,-0.00013465422445688342,-8.41261790424985e-05,-0.00020545605935526486,-2.7916910309037688e-05,-2.7689661581307297e-05,2.1262315128376285e-05,-9.833465134773853e-05,8.621667026186226e-05,7.012349690907889e-05,0.00011543313087312776,-0.0007561684984031378,-0.0005621804041501034,-0.0005065593611015748,-0.00018021582742596076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.0019465068492292067,-0.0015751476479948295,-0.0012286437429320943,-9.132226312477939e-05,-0.0015651938600971646,-0.00119159909379895,-0.000929341254723965,0.00011201103222347707,-3.570903934969734e-09,-7.429535015214117e-10,-4.923829284375781e-10,1.5766412384538727e-09,-1.284664408654478e-09,-4.787230742303123e-10,-3.77565696153528e-10,3.580998441475119e-10,-0.0010705848583429341,-0.0008212592926786113,-0.0006998984097620925,-0.00015428995954377901,-3.4783341836896207e-07,-2.1714783254364012e-07,2.212198675078952e-07,6.487199033499328e-07,-0.008943719910930497,-0.014683256667719045,-0.005919593391920625,-0.009538542718082438,-0.007382121408602768,-0.010568054029565037,-0.004679748370039255,-0.006962063921191423,-0.012269950265907313,-0.016492168078003744,-0.009369138162997986,-0.012211791263279162,-0.016422308884352223,-0.016342378952945637,-0.016348094834942255,-0.016327044433296547,-0.024675462283366312,-0.024528779180310805,-0.0245392733489856,-0.02450064263552981,-0.01539183191629672,-0.01534038492568757,-0.015344061378666642,-0.015330513616540632,-0.015262601852762354,-0.015212877218718442,-0.015216427534917264,-0.015203333119803706,-0.015023954247708188,-0.014973716771006946,-0.014977309041891906,-0.014964078667970067,-0.016858472699652197,-0.016805335042188844,-0.016809135156603705,-0.016795140576352813,-0.0030620213794057,-0.003378219621583246,-0.0018096637936428385,-0.002297158688663292,-0.0036519923786770625,-0.00423484560051954,-0.0024947246087739603,-0.0030890323878680665,-0.004534992410289873,-0.005471232165961673,-0.0030402525917388483,-0.0038979698800019596,-0.005366744210883783,-0.006955982330120092,-0.003477240186525169,-0.004760413037040886,-0.0002547431271947631,-0.00010805300754608533,-0.00012035254341244829,-8.144997991308341e-05,-0.00030820961529329525,-0.00012212115790617253,-0.00013465422445688342,-8.41261790424985e-05,-0.00020545605935027057,-2.7916910308356965e-05,-2.768966158063201e-05,2.126231512786207e-05,-9.833465131143177e-05,8.621667024525329e-05,7.012349690979598e-05,0.00011543313084532532,-0.0008836680777695561,-0.0006569723313054938,-0.0005919720847282659,-0.00021060458148448145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8004037855966094e-05,-3.80044146855215e-05,-3.803460542989995e-05,-3.801584243992512e-05,-7.275834440143014e-09,-3.893239897134748e-14,7.494005416219807e-14,0.0,-1.35828848168984e-15,1.0096090630185017e-14,-9.159686897852737e-14,0.0,-4.7281623061223854e-14,9.662409761190816e-14,-1.5628123795075055e-13,0.0,-5.6495488062052734e-09,0.0,5.204170427930421e-18,0.0,-3.43703763410601e-09,-2.560357017268698e-09,-3.869150507760953e-09,-3.33784604256009e-09,2.1822543651528405e-14,1.1211496606401031e-14,-2.3118952837742658e-14,0.0,-1.3306895914530214e-14,1.3566473917504817e-14,-2.7357686855048604e-14,0.0,1.9196812611213723e-14,1.1132600822679244e-14,-2.101601274600865e-14,0.0,4.336808689942018e-19,0.0,-8.673617379884035e-19,0.0,-3.7779675221560893e-14,-3.917946696241348e-13,3.045143130708805e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4365759300545612e-09,-2.5618909810278012e-09,-3.881399106163514e-09,-3.33784604256009e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.12483514902998183,-0.12950104908249932,-0.116142127977374,-0.11101458693615747,-0.10264118705715297,-0.10580180761862817,-0.0967710366018939,-0.09325202101980946,-0.02353710865558656,-0.023914078062707234,-0.022824156374011473,-0.023634007797284463,-0.0341853001886501,-0.03544524534848836,-0.033581378417913754,-0.03474295319795325,-0.06552750326621716,-0.06685072679175857,-0.06400709426255102,-0.06362231724308458,-0.05132098716600692,-0.048813096449200996,-0.05317228172691402,-0.05263468729859396,-2.2762978035024617e-08,-2.0961430709837505e-08,-2.3718743134490405e-08,-2.2558180070027328e-08,-2.038976348872623e-08,-1.781006964129972e-08,-2.168987922601673e-08,-2.0073902404409475e-08,-4.2944084603490445e-08,-3.884405214500146e-08,-4.503113934166747e-08,-4.2475187889647186e-08,-0.03766840215943551,-0.03767336251340292,-0.037673009800954116,-0.03767431510961761,-0.014905864747360983,-0.014910265601786732,-0.014909950819712135,-0.014911109746464443,-0.012726994424396983,-0.012728648355412446,-0.012728530603879637,-0.012728965983060177,-0.011008818700181333,-0.01101022014967187,-0.011010119714711929,-0.01101048889322846,-0.018326875088136633,-0.018329265759059243,-0.018329095498762795,-0.018329724664559205,-0.012066887810108683,-0.012068478502203979,-0.012068364995175523,-0.012068783427482624,-3.871929961302726e-09,-2.9104254921166884e-09,-4.363990463086912e-09,-3.762593253263299e-09,-1.3698821946447695e-08,-1.0902780524745348e-08,-1.5101631682000883e-08,-1.3366738933897798e-08,-1.1200319291034575e-08,-9.306055301829406e-09,-1.2108748557108188e-08,-1.094578306145817e-08,-1.0510842149953118e-08,-8.916452362481497e-09,-1.1236891289933288e-08,-1.028452371703246e-08,-0.001751257783163185,-0.0014185685191263782,-0.0017018871085723248,-0.0015494316875315785,-0.003373290754861893,-0.0030036362399533285,-0.0035508565623600377,-0.003432040844423044,-0.0076155875293620005,-0.007129000232328275,-0.007638210439165663,-0.007509424837516084,-0.007088639723885459,-0.006820996786553346,-0.006269303507701274,-0.005306417394473084,-0.0399228103547829,-0.03898232813381117,-0.037215305681554955,-0.03250868014085438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.12483514902998183,-0.12950104908249932,-0.116142127977374,-0.11101458693615747,-0.10264118026080099,-0.10580180944585266,-0.09677103660197887,-0.09325202101980871,-0.02353710865558656,-0.023914078062707234,-0.022824156374011473,-0.023634007797284463,-0.034185296788867094,-0.035445245348480245,-0.03358137841788711,-0.03474295319795325,-0.06552750497846388,-0.06685072679175898,-0.06400709426255204,-0.06362231724308458,-0.04475374412552219,-0.04256663787219117,-0.04636801490153086,-0.04589920262359444,-2.2762711073992746e-08,-2.0966783774893095e-08,-2.3659004533271855e-08,-2.2558180070028056e-08,-2.038976348872623e-08,-1.781006964129972e-08,-2.168987922601673e-08,-2.0073902404409475e-08,-4.2944253763195666e-08,-3.883850435914883e-08,-4.503113934166747e-08,-4.2475187889647186e-08,-0.037668396178692685,-0.03767336251339693,-0.037673009800974766,-0.03767431510961761,-0.014905865093923581,-0.01491026594845185,-0.014909951166369931,-0.014911110093149244,-0.01272699427887711,-0.012728648209872365,-0.012728530458341004,-0.012728965837516214,-0.011008818862197399,-0.011010220311709326,-0.011010119876747855,-0.011010489055270025,-0.018326875035690398,-0.018329265706605792,-0.018329095446309854,-0.018329724612104362,-0.012066887793451284,-0.012068478485544333,-0.012068364978516042,-0.012068783410822553,-3.871929961302726e-09,-2.9104254921166884e-09,-4.363990463086912e-09,-3.762593253263299e-09,-1.3698821946447968e-08,-1.0902780524745579e-08,-1.5101631682001174e-08,-1.336673893389807e-08,-1.1200319291034739e-08,-9.306055301829538e-09,-1.2108748557108353e-08,-1.0945783061458316e-08,-1.051084214995316e-08,-8.916452362481502e-09,-1.1236891289933326e-08,-1.0284523717032482e-08,-0.0017255637451862736,-0.0013977578717332786,-0.0016769211964520882,-0.0015267031437949273,-0.0033732907545256543,-0.0030036362396541586,-0.003550856562006457,-0.003432040844081089,-0.007615445100741469,-0.007128866920652288,-0.007638067605073018,-0.007509284413585493,-0.007088639723885459,-0.006820996786553346,-0.006269303507701274,-0.005306417394473084,-0.04006793464560898,-0.0391240995275461,-0.0373506525479575,-0.03262689850936313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,-5.79369663356033e-09,-5.927017987517047e-09,-4.523913688103676e-09,-5.272829743269657e-09,-5.27299293118233e-09,-5.408175240972923e-09,-4.8669210883645064e-09,-5.0388330385056754e-09,-4.8594008816849055e-09,-5.211648890224296e-09,-4.7705341899018094e-09,-5.069889889318363e-09,-4.926524932405854e-09,-5.042917786646501e-09,-4.831903379344706e-09,-5.154986079800525e-09,-4.636734503421173e-09,-4.118243301931557e-09,-4.189559810185983e-09,-4.2953711693862356e-09,-6.311248149093451e-09,-5.812816061823156e-09,-5.990138385314481e-09,-6.010518305288315e-09,-7.247526710424917e-09,-7.24555865456328e-09,-7.1451200511774005e-09,-7.121681607848624e-09,-4.4291489864622946e-08,-4.044987178541959e-08,-4.646912499239875e-08,-4.3984252075899366e-08,-1.0566619534913002e-07,-9.834803282871007e-08,-1.0981268872001237e-07,-1.0514041293912735e-07,-0.33536846212265875,-0.3354254212079566,-0.33542134004093566,-0.3354363409911711,-0.45247656555443494,-0.4526171505261898,-0.4526070926470034,-0.4526441172003749,-0.306456168024388,-0.3064885815293251,-0.3064862639456524,-0.3064947996449871,-0.3689538149615727,-0.36899125771711416,-0.3689885833858032,-0.3689984436748945,-0.2153876997070494,-0.2154097558449024,-0.21540817876412177,-0.21541398681650287,-0.36308158326646156,-0.36312103768529447,-0.36311821448930814,-0.36312860528158586,-1.1275588907011524e-08,-9.427148617291436e-09,-1.272799510232403e-08,-1.1451937859458605e-08,-4.289207056196176e-08,-3.7303349520456663e-08,-4.782070269937109e-08,-4.386503580850797e-08,-3.560823718474214e-08,-3.17922281658504e-08,-3.8627057108442386e-08,-3.600798518834636e-08,-3.0077535410018276e-08,-2.785573689662932e-08,-3.2248872017248686e-08,-3.06522532223487e-08,-2.0037991323804895e-07,-1.782987658216341e-07,-2.0774158049520507e-07,-1.9462733125332352e-07,-4.157884592626004e-06,-3.745110004893526e-06,-4.217657342930892e-06,-4.090549858217768e-06,-1.6342184188944398e-06,-1.6037153323586462e-06,-1.6491370011251227e-06,-1.6203347587031907e-06,-3.1092848740144063e-08,-3.006546134276533e-08,-2.680385602360502e-08,-2.0184586395779757e-08,-0.17499995321061013,-0.17313693864232427,-0.16376440589424313,-0.1472859742168567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
