time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.00011442888579676414,-0.0002679303635633683,0.00029108773244008817,0.00020049722512475,-0.0011996790742131577,-0.0004232533613094317,-0.001454400426724082,-0.0010491386419118477,-1.566917829162952e-05,-8.045890656306145e-06,-8.51113368707948e-06,-6.5237177190195354e-06,-5.0966020453696265e-05,-4.009364690959815e-05,-3.6462530559824337e-05,-3.471107457686434e-05,-0.00015186382743049095,-0.00013469737606316526,0.00015924575486334753,0.00017276865090853086,-0.0004927226973558025,-0.0029331311477049046,0.001670252644761133,0.0008588051536639281,-0.002455255273918988,-0.007382351476621474,0.00024480231529566687,-0.0028881886631212214,-0.0053986830471370595,-0.014862775050409394,-0.0003395981728877562,-0.006325416295184433,-0.007934085671098545,-0.012455939599011881,-0.003255160074130377,-0.0067200852176225075,-0.0036996431509817296,-0.0035119379488531277,-0.003527524322098019,-0.003473592609399173,-0.003661297929880236,-0.003538796462636551,-0.003547561082879458,-0.0035152993994814444,-0.0030534131891857275,-0.00293078946477604,-0.002939557787891456,-0.002907268786443119,-0.002587012264157168,-0.0024644318510932406,-0.0024731942294853315,-0.002440907517770969,-0.0031468415763417357,-0.0030242827481170576,-0.003033025425130065,-0.0030007524746980467,-0.0006902620495762719,-0.0005675325687849647,-0.0005763034496712863,-0.0005439920099600506,-0.0005499848411639937,-0.0004272888171798891,-0.0004360668706305618,-0.0004037537446750144,-0.0004115191702684776,-0.0002887610848399254,-0.0002975434578103463,-0.00026521443451537236,-0.0003160773941399237,-0.00019330788486100512,-0.00020209090618353537,-0.0001697587956484995,-0.002741567960796387,-0.0026190497502077137,-0.0026278182299023234,-0.0025955509259658377,-0.0001468497017275528,-8.94414356929381e-05,6.237623485606983e-05,3.71192888826797e-05,-0.00021018492422780765,-5.814980328593834e-05,2.229872907440434e-06,2.344114489305035e-05,-0.00021505697921231798,-9.65917961102315e-05,2.3924982473424688e-05,7.116341445479299e-05,-0.000264763918641135,-8.076702249736093e-05,-7.774866376613216e-05,-8.75460373594876e-06,-0.0007077013451716541,-0.00046892333079179987,-0.0005342310679184994,-0.00028561271137762334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.00011286899045043696,-0.0002672018856810838,0.0002888922457288548,0.00019907902658245679,-0.0011996790742446065,-0.0004232533613251007,-0.0014544004267871133,-0.0010491386419118477,-1.5662516200912842e-05,-8.042469775125991e-06,-8.507515030313412e-06,-6.520944022083895e-06,-5.098109641247826e-05,-4.010550971212046e-05,-3.647331433715757e-05,-3.472134230880959e-05,-0.00015186382746193075,-0.00013469737609464913,0.00015924575479988484,0.00017276865090853086,-0.0004927072777865909,-0.002934185646232134,0.0016710896850724967,0.000859332939301861,-0.002455255273918988,-0.007382351476621474,0.00024480231529566687,-0.0028881886631212214,-0.005398029746968375,-0.014860976498194067,-0.0003395570490010158,-0.006324650838956177,-0.00793408567113002,-0.012455939599043384,-0.003255160074382228,-0.0067200852176225075,-0.003501044331461478,-0.003316513973096513,-0.0033275569044497466,-0.0032834578764575476,-0.0036612977355214293,-0.003538798661368414,-0.003547554167044664,-0.0035152981432278333,-0.0030534128038093855,-0.0029307897682620543,-0.0029395568886343426,-0.0029072686850319636,-0.0025870122544891516,-0.002464431874820927,-0.00247319344793695,-0.002440907510877999,-0.0031468415124980553,-0.00302428265214183,-0.003033026422747387,-0.003000752479913395,-0.0006902620496527222,-0.0005675325688540928,-0.000576303449835683,-0.0005439920099967403,-0.0005499848411718253,-0.0004272888171927023,-0.0004360668707375689,-0.00040375374465720506,-0.00041151917039895927,-0.0002887610849354875,-0.0002975434580026571,-0.00026521443457439107,-0.00031607739421040163,-0.00019330788489724495,-0.0002020909063145369,-0.00016975879565276435,-0.002741567952660229,-0.00261904990465342,-0.002627817128570187,-0.0025955509830450406,-0.00014684970107394218,-8.944143546120205e-05,6.237623453640526e-05,3.711928873085614e-05,-0.00021018492374870457,-5.814980316282119e-05,2.2298727923792277e-06,2.344114483987415e-05,-0.00021505698116286003,-9.659179666411155e-05,2.39249823954155e-05,7.11634160439239e-05,-0.0002647639169727505,-8.076702198017668e-05,-7.774866336747026e-05,-8.754603888966505e-06,-0.0007123872701636147,-0.00047320185930010267,-0.0005363778647028425,-0.0002871748561385943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.01959207508794103,-0.01067572674454062,-0.02591829339919549,-0.02300559297228859,-0.059070249604949415,-0.015314854614470186,-0.08433183988541915,-0.060095620671288714,-0.026281272179322718,-0.013877484227600545,-0.01469415928141582,-0.011445430412103936,-0.021211180389384465,-0.015193493695677629,-0.026295887385697325,-0.022018437575910727,-0.014368075197478541,-0.009492877677304112,-0.018224049188651614,-0.01747274168537903,-0.056138365326790604,-0.043979130083561774,-0.06321579150927925,-0.05653788646368382,-0.04649557252716391,-0.04555161157453641,-0.046968221395198295,-0.04637918396432535,-1.7154214160264303e-10,-1.2105022539898869e-10,-1.97059479845052e-10,-1.6566064825498203e-10,-9.371717291095649e-11,-5.920081092014584e-11,-1.0992162735590227e-10,-8.967507967093782e-11,-0.00930862608250968,-0.009310177219524318,-0.009310065281559643,-0.009310472444887894,-0.010005525194527853,-0.010006615483511672,-0.010006533653786231,-0.010006819640381526,-0.009805250130412502,-0.009806319623698989,-0.009806241048699649,-0.009806521861007061,-0.007805988104448269,-0.007806917931720503,-0.007806837098787378,-0.007807061930000104,-0.009097059802427754,-0.009098153273189413,-0.00909803063697967,-0.009098316265751985,-0.008031087184670965,-0.00803202943690251,-0.008031775475865421,-0.008032169965560167,-0.007643052703431519,-0.007644590327883699,-0.007644480748782545,-0.007644889442361881,-0.006882143842662725,-0.006882938393920152,-0.006882880554063164,-0.006883093885548192,-0.005005736372220598,-0.00500631127507048,-0.005006266682374805,-0.005006421113809007,-0.007277688558392503,-0.007278484579862965,-0.007278429532668218,-0.0072786380739607625,-9.043771287409186e-11,-8.4135254319051e-11,-6.12533357369216e-11,-6.596388377633272e-11,-0.0009605015043962079,-0.000815915493740868,-0.0006958581157042176,-0.0006925880196846777,-0.004294059632072911,-0.004168657995162889,-0.004299598444566843,-0.004366942675086092,-0.005952571730893752,-0.005240949324978483,-0.00609268166512289,-0.006322451552025149,-0.03192486362651048,-0.026895546240912463,-0.03409640404616765,-0.030642007479359603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.01959207508794103,-0.01067572674454062,-0.02591829339919549,-0.02300559297228859,-0.059070249604949415,-0.015314854614470186,-0.08433183988541915,-0.060095620671288714,-0.026282697852299586,-0.013878237221975287,-0.014694956523905622,-0.011446051469277987,-0.021211180389384465,-0.015193493695677629,-0.026295887385697325,-0.022018437575910727,-0.014368075197478541,-0.009492877677304112,-0.018224049188651614,-0.01747274168537903,-0.05613832366230341,-0.043979027048855784,-0.06321592487629624,-0.05653802022457179,-0.04649557265105492,-0.04555161130400315,-0.04696822192317662,-0.04637918415473953,-1.7154214160264303e-10,-1.2105022539898869e-10,-1.97059479845052e-10,-1.6566064825498203e-10,-9.371717291095649e-11,-5.920081092014584e-11,-1.0992162735590227e-10,-8.967507967093782e-11,-0.009308627508465173,-0.009310178645717149,-0.009310066707733489,-0.009310473871125753,-0.010005525194527853,-0.010006615483511672,-0.010006533653786231,-0.010006819640381526,-0.009805250130412502,-0.009806319623698989,-0.009806241048699649,-0.009806521861007061,-0.007805988104448269,-0.007806917931720503,-0.007806837098787378,-0.007807061930000104,-0.00810923810292477,-0.008110211634588582,-0.008110104746148261,-0.00811035993817998,-0.008031087184670965,-0.00803202943690251,-0.008031775475865421,-0.008032169965560167,-0.007643052703431519,-0.007644590327883699,-0.007644480748782545,-0.007644889442361881,-0.006882143842662725,-0.006882938393920152,-0.006882880554063164,-0.006883093885548192,-0.005005736372220598,-0.00500631127507048,-0.005006266682374805,-0.005006421113809007,-0.007277688558392503,-0.007278484579862965,-0.007278429532668218,-0.0072786380739607625,-9.043771287409186e-11,-8.4135254319051e-11,-6.12533357369216e-11,-6.596388377633272e-11,-0.0009605015043962079,-0.000815915493740868,-0.0006958581157042176,-0.0006925880196846777,-0.004294059845209447,-0.004168658202074918,-0.004299598657978465,-0.0043669428918365685,-0.005952571730893752,-0.005240949324978483,-0.00609268166512289,-0.006322451552025149,-0.031924863645487855,-0.026895546253414462,-0.03409640404687708,-0.030642007461143088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,3.6304099726436334e-09,3.743435783576388e-09,3.5642182538708767e-09,3.6259015657458778e-09,5.261506785814163e-10,6.00677063644639e-10,4.716635970680727e-10,4.969390852527022e-10,0.045616565268937204,0.008297372267296765,0.008254261926459172,-0.000893323913400976,2.8334556922970933e-11,3.029576589597127e-11,2.7261748414275644e-11,2.8157358580626474e-11,1.0771925018637774e-09,1.277998928905788e-09,9.39270883293375e-10,1.0223517222257308e-09,1.7705670263268303e-10,1.396438520373522e-10,1.9985968435776158e-10,1.8104738712084776e-10,0.0038403106396160958,-0.11972092166389126,0.0677548050895842,-0.009854928744000799,-0.15984404068092134,0.013708921580848132,-0.24985021482916903,-0.14078073208749248,-0.006316491272995495,-0.0048502715234768345,-0.0080220296513982,-0.00684644128905186,-0.09777846631498621,-0.09779623364484569,-0.09779537299819818,-0.09779991671770291,-0.10158542681864191,-0.10159869241498964,-0.10159793317453758,-0.10160135025948161,-0.09753120319195807,-0.09754317716387217,-0.09754234647063864,-0.09754550342596408,-0.09227327291971155,-0.09228562215989689,-0.09228439527819887,-0.09228727337476213,-0.09606157918000324,-0.09607464101345098,-0.09607257200826691,-0.0960760353078742,-0.052688185814526056,-0.05269746523262753,-0.05268149954907475,-0.05269879555233619,-0.05201066741624705,-0.05202118572362058,-0.05202045014067114,-0.0520232891408102,-0.044943744758600634,-0.0449489186116695,-0.04494851875664985,-0.04495024891407358,-0.03795410944253541,-0.03795776233217896,-0.037957270926453734,-0.037958654976985653,-0.08172173451196629,-0.08173067296425285,-0.08173006802570848,-0.08173241414006745,-0.0013371694082593422,-0.0018319079481621259,-0.0002046783674383157,-0.0007513784123184033,-2.1209140554923067e-09,-2.1450755061103166e-09,-1.3179832780707557e-09,-1.54560371021588e-09,-3.0693282360161334e-09,-3.1597264249505486e-09,-2.922995623322322e-09,-2.8475809159423927e-09,-0.12173689733735782,-0.0960151938643648,-0.13768840717321362,-0.14412622688990942,-0.11158012534614592,-0.09381678557617384,-0.1361313433423983,-0.1439775167187207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
