line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,163.0,12.0,175.0,175.0,93.1,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,162.12,12.88,175.0,175.0,92.6,100.0,True
A1,2020-07-15 03:00:00,161.85,13.15,175.0,175.0,92.5,100.0,True
A1,2020-07-15 04:00:00,162.63,12.37,175.0,175.0,92.9,100.0,True
A1,2020-07-15 05:00:00,152.0,0.0,152.0,175.0,86.9,86.9,False
A1,2020-07-15 06:00:00,44.75,0.0,44.75,175.0,25.6,25.6,False
A1,2020-07-15 07:00:00,-86.46,250.68,337.13,175.0,49.4,192.6,True
A1,2020-07-15 08:00:00,-20.41,187.13,207.54,175.0,11.7,118.6,True
A1,2020-07-15 09:00:00,81.03,89.88,170.91,175.0,46.3,97.7,False
A1,2020-07-15 10:00:00,90.05,84.95,175.0,175.0,51.5,100.0,True
A1,2020-07-15 11:00:00,104.25,70.75,175.0,175.0,59.6,100.0,True
A1,2020-07-15 12:00:00,113.21,61.79,175.0,175.0,64.7,100.0,True
A1,2020-07-15 13:00:00,106.96,68.04,175.0,175.0,61.1,100.0,True
A1,2020-07-15 14:00:00,165.16,9.84,175.0,175.0,94.4,100.0,True
A1,2020-07-15 15:00:00,165.48,9.52,175.0,175.0,94.6,100.0,True
A1,2020-07-15 16:00:00,169.45,5.55,175.0,175.0,96.8,100.0,True
A1,2020-07-15 17:00:00,171.53,3.47,175.0,175.0,98.0,100.0,True
A1,2020-07-15 18:00:00,61.31,113.69,175.0,175.0,35.0,100.0,True
A1,2020-07-15 19:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 20:00:00,173.97,1.03,175.0,175.0,99.4,100.0,True
A1,2020-07-15 21:00:00,171.28,3.72,175.0,175.0,97.9,100.0,True
A1,2020-07-15 22:00:00,169.07,5.93,175.0,175.0,96.6,100.0,True
A1,2020-07-15 23:00:00,166.46,0.0,166.46,175.0,95.1,95.1,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,-17.4,0.0,17.4,175.0,9.9,9.9,False
A1,2020-07-16 06:00:00,159.31,0.0,159.31,175.0,91.0,91.0,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.7,0.0,170.7,175.0,97.5,97.5,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,94.08,0.0,94.08,175.0,53.8,53.8,False
A2,2020-07-15 01:00:00,90.19,0.0,90.19,175.0,51.5,51.5,False
A2,2020-07-15 02:00:00,101.61,0.0,101.61,175.0,58.1,58.1,False
A2,2020-07-15 03:00:00,100.6,0.0,100.6,175.0,57.5,57.5,False
A2,2020-07-15 04:00:00,103.88,0.0,103.88,175.0,59.4,59.4,False
A2,2020-07-15 05:00:00,73.82,0.0,73.82,175.0,42.2,42.2,False
A2,2020-07-15 06:00:00,3.52,0.0,3.52,175.0,2.0,2.0,False
A2,2020-07-15 07:00:00,-52.31,0.0,52.31,175.0,29.9,29.9,False
A2,2020-07-15 08:00:00,-14.94,0.0,14.94,175.0,8.5,8.5,False
A2,2020-07-15 09:00:00,43.06,0.0,43.06,175.0,24.6,24.6,False
A2,2020-07-15 10:00:00,49.58,0.0,49.58,175.0,28.3,28.3,False
A2,2020-07-15 11:00:00,53.44,0.0,53.44,175.0,30.5,30.5,False
A2,2020-07-15 12:00:00,52.5,0.0,52.5,175.0,30.0,30.0,False
A2,2020-07-15 13:00:00,44.97,0.0,44.97,175.0,25.7,25.7,False
A2,2020-07-15 14:00:00,75.26,0.0,75.26,175.0,43.0,43.0,False
A2,2020-07-15 15:00:00,73.13,0.0,73.13,175.0,41.8,41.8,False
A2,2020-07-15 16:00:00,77.16,0.0,77.16,175.0,44.1,44.1,False
A2,2020-07-15 17:00:00,79.82,0.0,79.82,175.0,45.6,45.6,False
A2,2020-07-15 18:00:00,12.63,0.0,12.63,175.0,7.2,7.2,False
A2,2020-07-15 19:00:00,97.72,0.0,97.72,175.0,55.8,55.8,False
A2,2020-07-15 20:00:00,99.87,0.0,99.87,175.0,57.1,57.1,False
A2,2020-07-15 21:00:00,99.69,0.0,99.69,175.0,57.0,57.0,False
A2,2020-07-15 22:00:00,102.77,0.0,102.77,175.0,58.7,58.7,False
A2,2020-07-15 23:00:00,78.24,0.0,78.24,175.0,44.7,44.7,False
A2,2020-07-16 00:00:00,54.92,0.0,54.92,175.0,31.4,31.4,False
A2,2020-07-16 02:00:00,58.74,0.0,58.74,175.0,33.6,33.6,False
A2,2020-07-16 04:00:00,-4.19,0.0,4.19,175.0,2.4,2.4,False
A2,2020-07-16 06:00:00,96.28,0.0,96.28,175.0,55.0,55.0,False
A2,2020-07-16 08:00:00,92.95,0.0,92.95,175.0,53.1,53.1,False
A2,2020-07-16 10:00:00,101.23,0.0,101.23,175.0,57.8,57.8,False
A2,2020-07-16 12:00:00,87.64,0.0,87.64,175.0,50.1,50.1,False
A2,2020-07-16 14:00:00,79.01,0.0,79.01,175.0,45.2,45.2,False
A2,2020-07-16 16:00:00,81.6,0.0,81.6,175.0,46.6,46.6,False
A2,2020-07-16 18:00:00,84.98,0.0,84.98,175.0,48.6,48.6,False
A2,2020-07-16 20:00:00,89.59,0.0,89.59,175.0,51.2,51.2,False
A2,2020-07-16 22:00:00,66.51,0.0,66.51,175.0,38.0,38.0,False
A3,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 01:00:00,166.2,0.0,166.2,175.0,95.0,95.0,False
A3,2020-07-15 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 03:00:00,173.54,1.46,175.0,175.0,99.2,100.0,True
A3,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A3,2020-07-15 05:00:00,146.69,0.0,146.69,175.0,83.8,83.8,False
A3,2020-07-15 06:00:00,68.68,106.32,175.0,175.0,39.2,100.0,True
A3,2020-07-15 07:00:00,0.85,174.15,175.0,175.0,0.5,100.0,True
A3,2020-07-15 08:00:00,44.86,130.14,175.0,175.0,25.6,100.0,True
A3,2020-07-15 09:00:00,107.59,67.41,175.0,175.0,61.5,100.0,True
A3,2020-07-15 10:00:00,110.63,64.27,174.89,175.0,63.2,99.9,True
A3,2020-07-15 11:00:00,118.17,54.45,172.61,175.0,67.5,98.6,False
A3,2020-07-15 12:00:00,123.41,47.84,171.25,175.0,70.5,97.9,False
A3,2020-07-15 13:00:00,117.27,52.57,169.84,175.0,67.0,97.1,False
A3,2020-07-15 14:00:00,157.66,11.47,169.13,175.0,90.1,96.6,False
A3,2020-07-15 15:00:00,155.12,13.34,168.46,175.0,88.6,96.3,False
A3,2020-07-15 16:00:00,159.13,9.82,168.95,175.0,90.9,96.5,False
A3,2020-07-15 17:00:00,164.06,6.66,170.73,175.0,93.8,97.6,False
A3,2020-07-15 18:00:00,85.98,86.26,172.23,175.0,49.1,98.4,False
