time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0009302520825881489,-0.0007004548483412143,-0.0011477683616179391,-0.0013932555324598166,-0.0008897874378601269,-0.0006685066526306055,-0.0011173974565350385,-0.0013858831336548258,-3.4007388817263706e-10,-1.300390561792255e-10,-1.442306856441991e-10,-8.777653752486115e-11,-2.3041455286358824e-05,-2.1893280326042715e-05,-2.1950947932370147e-05,-2.1628639105416355e-05,-0.0008803593630833084,-0.0007330472086025203,-0.00078608671101797,-0.0007464889382331761,-0.0008897574697190182,-0.0005794832491485155,-0.0006995537696618497,-0.0003408256056702258,-0.0023212816567944883,-0.007520801893439594,0.0005086379137839714,-0.0027926518242819944,-0.005573889267940332,-0.014951129605964921,-0.0005507189739355732,-0.0064843685145820375,-0.0047997287168731395,-0.0057361858482839825,-0.0024249606328458984,-0.0035170878556356642,-0.002047356158227903,-0.0018610710394369456,-0.0018742967816696154,-0.0018252740982461187,-0.00192902016702437,-0.0017428607699316867,-0.0017561366040717008,-0.0017071116698424067,-0.0020334740097973925,-0.001910680190546965,-0.0019194802054491866,-0.00188714569037283,-0.0013806304917474699,-0.0012577217544459396,-0.0012665105686222589,-0.0012341449570838004,-0.0018727341844004541,-0.001703710489310617,-0.001716107636075881,-0.0016724850236304104,-0.0014606819094404866,-0.0013443589262603917,-0.0013427441712231536,-0.0013111032465999903,-0.001107658879166723,-0.0009211876721570422,-0.000934547624940385,-0.0008854934122610838,-0.0016113978170499699,-0.0014891579833915536,-0.0014967326163130013,-0.001466063036544242,-0.002113704459989278,-0.0019368033971968457,-0.0018337221577015006,-0.0018797204051145858,-0.002113242416589056,-0.002046520465799645,-0.002170639086296444,-0.0020465345473066705,-0.00013537380938465196,-1.2920544929097446e-05,-7.604421532255753e-06,2.0863324180799223e-05,-0.00020511155345017922,-4.3009996075781855e-05,3.126000430214877e-05,5.106523177858686e-05,-0.0002907349862957108,-0.00018295170628783067,-4.180516245438257e-05,5.724539306191776e-06,-0.00027526944910194836,-6.589607915841072e-05,-3.1008130744271704e-06,2.806350598547264e-05,-0.0007025607727373754,-0.000480189697887987,-0.0005306916970899482,-0.0003062542056352967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.0009302520825894439,-0.0007004548483418776,-0.0011477683616187406,-0.0013932555324612493,-0.0008897874378598687,-0.0006685066526304589,-0.0011173974565348434,-0.0013858831336544773,-3.40073997755991e-10,-1.3003948585668757e-10,-1.4423098557201227e-10,-8.777653752488043e-11,-2.304145528685807e-05,-2.1893280326832624e-05,-2.1950947932636e-05,-2.1628639106074134e-05,-0.000880359363083129,-0.0007330472086023418,-0.0007860867110178075,-0.0007464889382330154,-0.0008897574697191856,-0.0005794832491483856,-0.0006995537696618577,-0.0003408256056702258,-0.0023238723042799114,-0.0075290640082701366,0.0005091960544383323,-0.002795720803431885,-0.0055738892682052656,-0.01495112960667808,-0.0005507189739681652,-0.006484368514909153,-0.004798128486003175,-0.005734097259705216,-0.0024243481849188986,-0.003515982376396712,-0.002047356158227903,-0.0018610710394369456,-0.0018742967816696154,-0.0018252740982461187,-0.0019290201659283301,-0.00174286078382907,-0.0017561365677196683,-0.00170711165929141,-0.002033474009116215,-0.0019106801955632857,-0.0019194801925188631,-0.0018871456846591282,-0.0013806304917474699,-0.0012577217544459396,-0.0012665105686222589,-0.0012341449570838004,-0.0018741725581099822,-0.0017054293379544783,-0.0017165718132929886,-0.0016735748473236543,-0.0014368373065105633,-0.0013075879396175494,-0.0013267736929383211,-0.0012937491119845703,-0.0011076588787231334,-0.0009211876728033586,-0.000934547622620352,-0.0008854934122632811,-0.0016157007394574374,-0.0014928980859884033,-0.0015028572404541807,-0.0014689595103478043,-0.002110989013247054,-0.0020415729411684125,-0.00216242895211205,-0.002051478874130436,-0.0021145227394007704,-0.0019353527745161747,-0.001828874335447539,-0.0018882033438057722,-0.0001353738093795702,-1.292054493077077e-05,-7.604421529575592e-06,2.0863324180666727e-05,-0.00020511155344997046,-4.3009996054109954e-05,3.126000432934599e-05,5.106523177858686e-05,-0.0002909715744750675,-0.0001830143630145202,-4.173273333924579e-05,5.650736408382759e-06,-0.0002399238252780397,-4.3691726027598697e-05,-3.9238070442735825e-06,3.527310293539223e-05,-0.0007025607727343294,-0.0004801896978860766,-0.000530691697086992,-0.0003062542056340521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,-2.7755575615628914e-17,5.551115123125783e-17,2.4375414432269032e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001573663032819271,-0.0015748576329329272,-0.001573732948960238,-0.0015720594133963423,3.469446951953614e-17,2.0816681711721685e-17,5.551115123125783e-17,2.4720550880233238e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,-2.7755575615628914e-17,5.551115123125783e-17,2.4375414432269032e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015736630328982218,-0.0015748576330120514,-0.0015737329490383145,-0.0015720594134754164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.04312215339843564,-0.03579806534066354,-0.0660591495046654,-0.08538681130110824,-0.04057720635924625,-0.03381081245768083,-0.06406020871550044,-0.08475025739685718,-0.02078315356605609,-0.015272721202714057,-0.015633542525490096,-0.014184158294414675,-0.017436706903863047,-0.023773357732877448,-0.023313643533775297,-0.025019082285829563,-0.040266030651315135,-0.03837650130026449,-0.042917459188619334,-0.04378412523293115,-0.04907861151601427,-0.046622932358113066,-0.05495607780966272,-0.05947274347669233,-0.05000545754639128,-0.04029212569433693,-0.0550035791134218,-0.048912118552721456,-1.3305341550751137e-08,-1.2342338151505317e-08,-1.3799824616356204e-08,-1.3197029894237154e-08,-4.5136898663145075e-09,-3.3914260844092325e-09,-5.086113308294671e-09,-4.3832670219564756e-09,-0.005117186988135541,-0.005118263875490692,-0.005118018366750743,-0.0051184466488377635,-0.005211471880283425,-0.005213097279911649,-0.005212904546239239,-0.005213350172607759,-0.005694968095870473,-0.005695628341291281,-0.005695497671964311,-0.00569574317892081,-0.00618026363091112,-0.0061808418252981,-0.00618074286462833,-0.006180967713090403,-0.002186190054188325,-0.0021179570132838776,-0.0021223752784300665,-0.00210613819745427,-0.005334791783478787,-0.005335507988580512,-0.005335413967182623,-0.005335597678981916,-0.006149711464741997,-0.006151574654646191,-0.006151513533471653,-0.00615208845236037,-0.005950326689422303,-0.005951470234883752,-0.005951416311426483,-0.00595157067097102,-0.005967420422282435,-0.005968060252099644,-0.0059682833904536325,-0.005968229356573629,-0.00710575297484034,-0.0071064685546223805,-0.007106364614976601,-0.007106546172081444,-1.4585470331507366e-09,-1.2747259636736175e-09,-1.3961791722749695e-09,-1.3231702757677654e-09,-0.0010964170447003985,-0.0008064363372695116,-0.0007849842990207967,-0.0007215105494559073,-0.005366305798024162,-0.005317797413435785,-0.0052318999004266065,-0.005298427652726701,-0.005727991470449778,-0.005405378425689639,-0.004877937900383267,-0.004939573505336427,-0.03094889098699677,-0.02789207421748395,-0.03178418486888013,-0.029150051791733158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.04312215197123781,-0.035798065511459726,-0.06605915622951586,-0.0853868120667794,-0.04057720635924614,-0.03381081245768083,-0.06406020871550044,-0.08475025739687082,-0.020783153566242107,-0.015272721202159723,-0.015633542530328226,-0.014184158293952566,-0.017453430965015546,-0.023796125792379053,-0.023336172223773488,-0.025043072187384018,-0.040266031230639515,-0.03837650115973329,-0.04291745599724439,-0.04378412509607145,-0.049078512720945724,-0.046622982429295,-0.054955819236775394,-0.059472772280107195,-0.05000504757199098,-0.040292584917825336,-0.05500412463738513,-0.048911898310680504,-1.3305341994840347e-08,-1.2342341260129785e-08,-1.3799832387917377e-08,-1.3197029894237643e-08,-4.513672352546294e-09,-3.391412262132576e-09,-5.086094434503252e-09,-4.383248750391014e-09,-0.0051171869889646004,-0.005118263876319862,-0.0051180183675800794,-0.005118446649662263,-0.005211471880283425,-0.005213097279911649,-0.005212904546239239,-0.005213350172607759,-0.005694968094953651,-0.0056956283403744035,-0.005695497671047267,-0.005695743177994177,-0.006180263632590471,-0.0061808418269775345,-0.006180742866307876,-0.006180967714779163,-0.0021875722166779243,-0.0021192954483795212,-0.0021237165333836128,-0.002107469064565219,-0.005334791785587184,-0.0053355079906892144,-0.005335413969291158,-0.0053355976811066495,-0.006149711460577523,-0.006151574650480468,-0.006151513529305874,-0.006152088448261193,-0.006775150569628574,-0.00677641556627219,-0.006776372392137242,-0.006776469588655651,-0.006842530814652885,-0.006843220523728738,-0.006843710240964751,-0.006843453303001339,-0.007107016717040615,-0.007107729177595057,-0.007107624712625049,-0.00710780654582246,-1.4584961294250576e-09,-1.2746969868526747e-09,-1.3961549694130326e-09,-1.3231401132125283e-09,-0.0010964170447003985,-0.0008064363372695116,-0.0007849842990207967,-0.0007215105494559073,-0.005366422860403203,-0.005317913412383399,-0.005232014032453658,-0.0052985432275994395,-0.0057238186869174035,-0.005401441374869559,-0.004874384349538796,-0.004935975339264321,-0.03094889120022945,-0.027892073994690805,-0.03178417908292053,-0.029150052677999895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,4.473712955643805e-09,4.201792913605118e-09,3.051609631654628e-09,7.76458446019799e-10,4.113021589979837e-09,3.839315532161436e-09,2.689588995963277e-09,2.938250902346936e-10,-2.141157695589868e-09,-2.318171654636103e-09,-2.304556545595915e-09,-2.340759564457174e-09,-2.1635925182823764e-09,-2.1342148048830722e-09,-2.1299104702166005e-09,-2.1096590480290884e-09,1.510252040502791e-09,1.1532222954357962e-09,1.220733292228715e-09,3.2516772491151993e-10,3.4655895930768565e-09,3.0809574891321745e-09,2.9428797176933585e-09,1.7884213510174085e-09,1.124331194812811e-08,6.3855158938253e-09,1.375649194557127e-08,1.0708513736946587e-08,-0.04153262044383377,-0.06874138691087883,-0.027471856765794556,-0.044556571426177326,-1.770004309786799e-08,-1.508068137034968e-08,-1.9688584096400064e-08,-1.786403817270171e-08,-0.11917465022839563,-0.11920600098768497,-0.11920896464743613,-0.11921569315149003,-0.0795128301631054,-0.07953917650146414,-0.07953770896250045,-0.07954459098925891,-0.09874618111895811,-0.09878244099205058,-0.09877973410609187,-0.09878738429330443,-0.1134318913598748,-0.11346779775636207,-0.11346512735638203,-0.11347379202915456,-0.1958586063168174,-0.2789447487815413,-0.27357522401880363,-0.2933575816259372,-0.09371901857164266,-0.09373946574558811,-0.0937385577209886,-0.09374353202502529,-0.08679164487575913,-0.0868194990796568,-0.08681831884140934,-0.08682825412121063,-0.06990407926543707,-0.06992043984422963,-0.06991938055799851,-0.0699233053265518,-0.07548731180787338,-0.0755461125068867,-0.07554562093320394,-0.0755574338716419,-0.08699893455326624,-0.08703327337490052,-0.08703619792172468,-0.08704095796700442,-4.2160348878717e-08,-3.849879204320672e-08,-4.0979850179923005e-08,-3.952361744577865e-08,-3.096133016633473e-08,-2.639942536797335e-08,-2.3958116379674266e-08,-2.3618835258931995e-08,-0.1097161792376079,-0.1236233657431231,-0.09332350752419827,-0.09022650806171995,-0.16976847691687702,-0.13975777678967516,-0.0885213351967189,-0.09573097294999192,-0.11035902236222284,-0.11032710963600528,-0.11472312696635356,-0.11997715323799463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
