line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,162.68,12.32,175.0,175.0,93.0,100.0,True
A1,2020-07-15 03:00:00,161.34,13.66,175.0,175.0,92.2,100.0,True
A1,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 05:00:00,163.64,0.0,163.64,175.0,93.5,93.5,False
A1,2020-07-15 06:00:00,43.33,0.0,43.33,175.0,24.8,24.8,False
A1,2020-07-15 07:00:00,-86.72,254.71,341.42,175.0,49.6,195.1,True
A1,2020-07-15 08:00:00,71.56,97.24,168.8,175.0,40.9,96.5,False
A1,2020-07-15 09:00:00,121.8,49.4,171.19,175.0,69.6,97.8,False
A1,2020-07-15 10:00:00,131.15,42.44,173.59,175.0,74.9,99.2,False
A1,2020-07-15 11:00:00,128.45,46.55,175.0,175.0,73.4,100.0,True
A1,2020-07-15 12:00:00,145.44,29.56,175.0,175.0,83.1,100.0,True
A1,2020-07-15 13:00:00,137.31,37.69,175.0,175.0,78.5,100.0,True
A1,2020-07-15 14:00:00,143.61,31.39,175.0,175.0,82.1,100.0,True
A1,2020-07-15 15:00:00,119.81,36.31,156.12,175.0,68.5,89.2,False
A1,2020-07-15 16:00:00,119.6,55.4,175.0,175.0,68.3,100.0,True
A1,2020-07-15 17:00:00,96.02,78.98,175.0,175.0,54.9,100.0,True
A1,2020-07-15 18:00:00,90.12,84.88,175.0,175.0,51.5,100.0,True
A1,2020-07-15 19:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 20:00:00,173.7,1.3,175.0,175.0,99.3,100.0,True
A1,2020-07-15 21:00:00,171.31,3.69,175.0,175.0,97.9,100.0,True
A1,2020-07-15 22:00:00,169.01,5.99,175.0,175.0,96.6,100.0,True
A1,2020-07-15 23:00:00,167.04,0.0,167.04,175.0,95.5,95.5,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
