gen_id,gen_type,extra_committed_hours,extra_startups,dam_committed_hours,daruc_committed_hours,periods_added,fuel,category,pmax_mw,pmin_mw
102_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
102_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
118_CC_1,THERMAL,1,0,20,21,[21],NG,Gas CC,355.0,170
201_CT_1,THERMAL,3,3,0,3,"[10, 15, 19]",Oil,Oil CT,20.0,8
201_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
202_CT_1,THERMAL,4,2,1,5,"[10, 15, 16, 19]",Oil,Oil CT,20.0,8
202_CT_2,THERMAL,3,3,0,3,"[10, 15, 19]",Oil,Oil CT,20.0,8
207_CT_1,THERMAL,21,1,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
207_CT_2,THERMAL,21,1,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
213_CC_3,THERMAL,3,0,13,16,"[19, 20, 21]",NG,Gas CC,355.0,170
301_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
301_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
301_CT_3,THERMAL,8,1,0,8,"[9, 10, 11, 12, 13, 14, 15, 16]",NG,Gas CT,55.0,22
301_CT_4,THERMAL,17,1,0,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",NG,Gas CT,55.0,22
302_CT_1,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
302_CT_2,THERMAL,1,1,0,1,[15],Oil,Oil CT,20.0,8
307_CT_1,THERMAL,7,1,3,10,"[14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
307_CT_2,THERMAL,8,1,4,12,"[13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
315_CT_6,THERMAL,4,0,2,6,"[16, 17, 18, 19]",NG,Gas CT,55.0,22
315_CT_7,THERMAL,21,1,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
315_CT_8,THERMAL,21,1,0,21,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",NG,Gas CT,55.0,22
318_CC_1,THERMAL,7,0,12,19,"[17, 18, 19, 20, 21, 22, 23]",NG,Gas CC,355.0,170
321_CC_1,THERMAL,1,0,16,17,[21],NG,Gas CC,355.0,170
