gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,0.0041276772267972,0.010435522566581859,0.007118272801209975,-0.0013123001789224697,-0.00184162249096986,0.006726675349739419,0.0005549245469501105
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.009750065479578482,0.010258370868135148,0.008364758814141138,-0.0010124932412373456,0.0002541526942783336,-0.008267725085178979,-0.0007239998474404907
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.25387407519201177,0.25387407519201177,0.1282084628675373,-0.06439689768041912,-0.07755088774014332,-0.05345693662335005,-0.058469353148099264
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.25381925521852744,0.25381925521852744,0.1281850076878289,-0.0643968178952582,-0.07754800779044962,-0.05340654914456644,-0.05846788038825318
107_CC_1,THERMAL,2020-07-15 00:00:00,-8.128445995609245e-10,1.583823153585251e-09,1.2290487721256365e-09,0.0,2.0405421796709788e-10,-1.1983338765730878e-09,1.8143505904506534e-10
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.04607102699023395,0.25244924454003237,0.15098825868999927,-0.0009026452489745429,-0.05026562304548832,0.1031891087748992,-0.0980918674706703
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-0.541827958725156,0.541827958725156,0.2803286842787888,-0.07398618024964843,-0.14825345025730566,-0.1541914379112841,-0.16539689030691787
118_CC_1,THERMAL,2020-07-15 00:00:00,4.2379160750118366e-11,4.2379160750118366e-11,3.0877065249210177e-11,1.550648498493956e-11,-0.0,2.6700419653025165e-11,1.7225611215364128e-13
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
