time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.757166882640718e-13,-6.385864059765822e-14,3.8871829428670997e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.560965742392511e-14,-1.9417106811303597e-13,1.9089519055599123e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0013123001789224697,-0.00184162249096986,0.006726675349739419,0.0005549245469501105,-0.0005692989056783298,-0.0008498603661958586,0.005909015754772377,-0.0020747610757981087,-9.359835232218947e-05,-5.156649642056292e-05,-6.881306626186011e-05,-2.6151939163796775e-12,-4.669503410374915e-11,-1.635745551053884e-11,-1.685941826006258e-11,1.6859244711066708e-11,-0.0008234185366820441,-0.0006573635223948523,-0.0021676259646897077,-0.000826265318419724,0.002366898585420693,-0.00464419105038322,-0.007770846802406792,0.0036996185105480665,-0.0032765834655427983,-0.009416363367247021,3.283976552567042e-05,-0.003865334396317648,-0.006297018117590536,-0.01504081706530569,0.010303240152756743,-0.009870716166928965,-0.004998140352143632,-0.0013880107109896372,-0.07096406067476058,-0.014350938908323719,-0.020348379030990404,-0.01508611193796855,0.07809623987525238,0.0011811519889403123,-0.001480777280954887,0.012567713444438411,0.04670716269058506,-0.016679679399688667,-0.000423700815723464,0.020905931964799604,0.038439404648001996,-0.02073608962366417,-0.0026427599287367903,0.018796797143165234,0.0862771441052844,-0.019014468642206538,0.0057445372275433115,0.02256949449215806,0.0052295605116540154,0.010765108360077113,0.0014403412372853835,0.03693182010960383,0.08882140483508917,-0.024368927267719647,0.006011925011473074,-0.004753022189655426,0.09500332180764905,-0.01222104171055748,-0.004051102980383525,-0.00010246378056522065,-0.013673310720044109,-0.01144726866258703,0.023522357945395478,-0.03486489291909903,0.1132508155611901,-0.008269551545961191,0.054945738563551894,-0.03368929439890467,0.21745380883325624,-0.011250829238470606,0.0015029191614620852,-0.003438217089356377,0.047564100046358915,-0.009187056944901323,0.0012737607259622587,-0.0030733386932019517,0.021394360102448537,-0.00546498810214587,0.01898645264853455,5.3915190617240065e-05,0.009244366405755607,0.004469715338328849,-0.00012911579641589066,-0.008513816118008555,0.020032056891418515,0.0004697095368525424,-0.0060724349742909455,-0.000129385349252193,-0.016090063624133795,-0.0021553248450021266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.0010124932412373456,0.0002541526942783336,-0.008267725085178979,-0.0007239998474404907,-0.0012151710960503913,-0.0010902394924661109,-0.005525838170122494,-0.0008208031132995106,-7.388132902038306e-05,-4.07036701764044e-05,-5.4319562411549846e-05,-1.7424880253810129e-12,-6.039484011896841e-05,-5.971689526991316e-05,-2.8211840718448656e-05,0.0,-0.0008909953474998396,-0.0007865167601102328,0.0004782044772560205,-0.0007032853808467193,-0.0025591760935183587,0.004377353808418197,0.008294182651790036,-0.0031755870915474546,-0.0017181894743662218,-0.004912815591410519,-2.0392923507236982e-05,-0.002015542237069528,-0.002336468456090951,-0.008188390248204003,-0.010930070284486337,-3.8567937668712056e-05,-0.0036660578881761996,-0.026628727052002588,0.0692322275716597,0.0023958095006807838,0.013844939813514284,0.007895549744146635,-0.08258777496425024,-0.006283508450522272,-0.0037199503588433713,-0.017389093574835264,-0.051574333333844986,0.011898612587118135,-0.0047771501807174765,-0.025861642316022893,-0.04341244035374969,0.01582755679772472,-0.002719951868730322,-0.023914453706911976,-0.09141228180246092,0.013943880435817891,-0.011028602865786219,-0.02761947434519535,-0.010282953301065129,-0.01574566338098144,-0.007187491742977448,-0.042434058270486824,-0.0943412819151857,0.01891379551389236,-0.010476561362051676,0.0005332713408811446,-0.0992398040997634,0.008048068410457718,-0.0019667110556381706,-0.005670762221693312,0.007880919293777404,0.0057207776622053745,-0.02555328726348753,0.033079796937970474,-0.11505199314768699,0.006531429370280156,-0.06054159184766575,0.028330750150000333,-0.22283340400821502,0.005938535121637906,-0.006401140825284896,-0.006348892720820967,-0.04957996329827849,0.004010351326170835,-0.005787135972586371,-0.004947387185902791,-0.023623303141740493,0.0009143504753899323,-0.019276850406205154,-2.3006730091109317e-05,-0.00913354568414338,-0.004254873304720818,-0.005203332138928207,-0.0017731163750671353,-0.022346826038342038,-0.0060098283508231215,0.0057254327815215765,-0.00026381900746645583,0.016387139386992468,0.0024123517729353157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.051919208023766e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.06439689768041912,-0.07755088774014332,-0.05345693662335005,-0.058469353148099264,-0.03930805088805628,-0.052751504258399945,0.023293734723816545,-0.085338465563855,-0.02475375108223178,-0.014711857282549146,-0.01601879069252324,-0.01103822870017648,-0.017776122690463594,-0.021669177183940874,-0.021146269833184798,-0.028079928086228372,-0.03849766472778152,-0.03805938697939163,-0.047199294855796936,-0.0450322816210268,-0.031823739199897616,0.0036853870735475414,0.07476452679260293,-0.03527972635518775,-0.040784910279011086,-0.053350962822229175,-0.035147983544633485,-0.04270857030469033,-0.05352895791126415,-0.05130463992896264,-0.058507493711998135,-0.05523393579784597,-0.01183003340301042,-0.0282524366298586,0.0287761288179802,-8.134148561513234e-10,-0.0192626743957362,-0.021828011753408094,-0.015640240016426964,-0.0172481645575381,-0.016381273756301593,-0.01639149990851732,-0.0163507185553483,-0.016376123304824585,-0.01634795110562262,-0.016349621092859645,-0.016349356334804277,-0.016350033193353763,-0.01619643590483114,-0.016194763732546733,-0.016209855715909362,-0.016197776759290343,-0.016444178166918372,-0.016447127453052213,-0.01644229891039739,-0.016446361381556005,-0.016532297781785207,-0.016534181991651964,-0.016533857607924585,-0.0165345457144689,-0.012292976655654209,-0.01229599562735137,-0.012295778588183204,-0.012296574720064736,-0.013019879313125676,-0.01302120870449841,-0.01301920079253005,-0.013021794032424937,-0.010726714424499934,-0.010727885267244386,-0.010725940860459637,-0.010727658957913616,-0.013621088659184821,-0.013634091420931388,-0.01359592397514467,-0.013624690035849013,-8.812837953009467e-07,-8.779272880898858e-08,-6.024704664614017e-06,-2.889305529953996e-10,-0.002281978562990894,-0.0017625789734897618,-0.0025547810648241845,-0.002225042235422207,-0.004384663178174347,-0.004431319662453227,-0.004258524402570097,-0.0042939111260783345,-0.029123174322093964,-0.02994951266145463,-0.029117965354503936,-0.029364546636596666,-0.007335137418797044,-0.007372113494442473,-0.007168957209857996,-0.008047833443428598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.0643968178952582,-0.07754800779044962,-0.05340654914456644,-0.05846788038825318,-0.03930856183850131,-0.05274814258172131,0.02327887193644046,-0.08533825168878241,-0.027037563373007667,-0.016133309393891848,-0.017338380953018564,-0.012078070154792564,-0.015737820977055686,-0.01877097997019042,-0.02049936684164444,-0.025546065920200575,-0.03850453092503919,-0.03804193346894093,-0.04730842674265567,-0.045033887179381095,-0.0010055736592234077,-0.028127070060603943,-0.11445949666332322,-0.003247978957141803,-0.04075529409857594,-0.053366543822428336,-0.03523525474781758,-0.04270857347745221,-0.0535256074790717,-0.05130388924246951,-0.05851814066173376,-0.05523906568417842,-0.010770511913506503,-0.025722397515187317,0.026200665940005776,-8.694715225576743e-10,-0.016311825912128278,-0.016317916909704577,-0.016317480534448148,-0.016319085268171985,-0.016469816348551963,-0.016468602614337052,-0.016490031775298973,-0.016472444988247008,-0.016147112190819685,-0.016153799985012762,-0.016138500482294652,-0.016142901991469293,-0.016270510976478886,-0.016272415164183762,-0.016271375135613386,-0.016272673996803624,-0.016472648522778688,-0.0164750640278849,-0.0164714736755891,-0.01647489905173952,-0.015694794377420454,-0.015696530956508137,-0.015696356795022348,-0.015696894384591965,-0.011812157652614064,-0.01181505843432562,-0.011814850462091409,-0.011815614892020435,-0.01286398819231857,-0.012864045606275843,-0.012862728389931664,-0.012864136958270635,-0.010726714424499934,-0.010727885267244386,-0.010725940860459637,-0.010727658957913616,-0.013091974543240126,-0.013085374799826133,-0.013059269683746502,-0.013079020432009227,-2.993113257243607e-08,-8.264769406352013e-07,-3.0328185782703766e-06,-3.020015763267823e-10,-0.0022809898523347832,-0.0017597423784091043,-0.0025491865160320484,-0.002225042235422207,-0.003937282035413436,-0.003987672437167314,-0.0038200497075854267,-0.0038633884847562856,-0.029075809315821544,-0.029949022673983947,-0.029140895900997416,-0.0293643570096237,-0.007180381249587531,-0.007216798296714788,-0.007050226944558719,-0.007880485459366104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.0,2.0405421796709788e-10,-1.1983338765730878e-09,1.8143505904506534e-10,1.8306534066425684e-10,1.337165933534834e-10,-9.30237220586605e-10,8.171130776570696e-11,-0.090501613298315,-0.15120314695279002,-0.19799176470051005,0.0050688441305102895,2.0438428727231894e-10,2.4074542359642237e-10,-4.044036217010216e-10,-4.463717632583748e-11,1.0644629622191815e-10,-0.0,-4.5412740234951343e-10,5.007694871693654e-11,2.3528562309582668e-07,2.46024145722501e-07,2.3287744399524968e-07,2.415914815714564e-07,1.5947113629621867e-09,-6.403238161922786e-09,-1.1336744876189186e-09,-1.0087621695360192e-09,-0.020737270442735822,-0.37479839865559056,-0.03628860110436688,-0.16106218602936662,-3.725474248611258e-10,1.9508203339376913e-09,-1.581115722730081e-09,-1.3927798683894645e-09,-0.11906375405184066,-0.18119414229194353,-0.031354767752454965,-0.07147306541765518,-0.0774126224996439,-0.07742917123324894,-0.07743169480841594,-0.07743375185146438,-0.07002450409588651,-0.07002716237020867,-0.0700411293627905,-0.07003524125813687,-0.08509977299062929,-0.08512986950537482,-0.08511254166579352,-0.08510960538732386,-0.09004484509915045,-0.09006000666042002,-0.09001311133223133,-0.09005261084438308,-0.07197747865996312,-0.07197877305420108,-0.07196911428879221,-0.07199856010585477,-0.07688802397643452,-0.07690691175391273,-0.0769055628650066,-0.07691053462995445,-0.04929448197937514,-0.04930117372069265,-0.049299671290342406,-0.04930189317445481,-0.0309169653496969,-0.030920932230892206,-0.03090192275013237,-0.03091755929934632,-0.06408963754630603,-0.0640948061532155,-0.06410022454122322,-0.06409651747473205,-5.658645774175852e-10,-3.1993030447097226e-10,1.9428414432809404e-10,-6.366274501437916e-10,-0.12054337491935316,-0.07697965246709437,-0.14307046962750114,-0.11583273408664166,-8.205678803108185e-09,-8.768875958686806e-09,-7.26809634699066e-09,-6.47281009553023e-09,-0.09564778945339591,-0.13622247639217622,-0.07478182153843682,-0.10013075750211016,-0.08447613559374456,-0.14482355669177463,-0.04159483575354925,-0.06437314929564829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
