line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,162.25,12.75,175.0,175.0,92.7,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,162.48,12.52,175.0,175.0,92.8,100.0,True
A1,2020-07-15 03:00:00,161.07,13.93,175.0,175.0,92.0,100.0,True
A1,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 05:00:00,97.43,0.0,97.43,175.0,55.7,55.7,False
A1,2020-07-15 06:00:00,42.95,0.0,42.95,175.0,24.5,24.5,False
A1,2020-07-15 07:00:00,-4.91,169.97,174.88,175.0,2.8,99.9,True
A1,2020-07-15 08:00:00,-4.27,170.73,175.0,175.0,2.4,100.0,True
A1,2020-07-15 09:00:00,95.09,77.96,173.05,175.0,54.3,98.9,False
A1,2020-07-15 10:00:00,120.08,54.53,174.61,175.0,68.6,99.8,True
A1,2020-07-15 11:00:00,119.23,55.77,175.0,175.0,68.1,100.0,True
A1,2020-07-15 12:00:00,114.41,60.59,175.0,175.0,65.4,100.0,True
A1,2020-07-15 13:00:00,122.29,52.71,175.0,175.0,69.9,100.0,True
A1,2020-07-15 14:00:00,110.24,64.76,175.0,175.0,63.0,100.0,True
A1,2020-07-15 15:00:00,98.82,76.18,175.0,175.0,56.5,100.0,True
A1,2020-07-15 16:00:00,64.75,110.25,175.0,175.0,37.0,100.0,True
A1,2020-07-15 17:00:00,145.07,29.93,175.0,175.0,82.9,100.0,True
A1,2020-07-15 18:00:00,62.7,112.3,175.0,175.0,35.8,100.0,True
A1,2020-07-15 19:00:00,0.0,175.0,175.0,175.0,0.0,100.0,True
A1,2020-07-15 20:00:00,-0.21,174.79,175.0,175.0,0.1,100.0,True
A1,2020-07-15 21:00:00,170.35,4.65,175.0,175.0,97.3,100.0,True
A1,2020-07-15 22:00:00,-6.34,168.66,175.0,175.0,3.6,100.0,True
A1,2020-07-15 23:00:00,166.54,0.0,166.54,175.0,95.2,95.2,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,93.83,0.0,93.83,175.0,53.6,53.6,False
A1,2020-07-16 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 06:00:00,158.32,0.0,158.32,175.0,90.5,90.5,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,74.1,0.0,74.1,175.0,42.3,42.3,False
A2,2020-07-15 01:00:00,86.61,0.0,86.61,175.0,49.5,49.5,False
A2,2020-07-15 02:00:00,103.75,0.0,103.75,175.0,59.3,59.3,False
A2,2020-07-15 03:00:00,100.95,0.0,100.95,175.0,57.7,57.7,False
A2,2020-07-15 04:00:00,91.44,0.0,91.44,175.0,52.3,52.3,False
A2,2020-07-15 05:00:00,56.71,0.0,56.71,175.0,32.4,32.4,False
A2,2020-07-15 06:00:00,2.17,0.0,2.17,175.0,1.2,1.2,False
A2,2020-07-15 07:00:00,-32.3,0.0,32.3,175.0,18.5,18.5,False
A2,2020-07-15 08:00:00,-10.58,0.0,10.58,175.0,6.0,6.0,False
A2,2020-07-15 09:00:00,51.38,0.0,51.38,175.0,29.4,29.4,False
A2,2020-07-15 10:00:00,60.46,0.0,60.46,175.0,34.5,34.5,False
A2,2020-07-15 11:00:00,58.5,0.0,58.5,175.0,33.4,33.4,False
A2,2020-07-15 12:00:00,49.53,0.0,49.53,175.0,28.3,28.3,False
A2,2020-07-15 13:00:00,51.73,0.0,51.73,175.0,29.6,29.6,False
A2,2020-07-15 14:00:00,41.89,0.0,41.89,175.0,23.9,23.9,False
A2,2020-07-15 15:00:00,31.19,0.0,31.19,175.0,17.8,17.8,False
A2,2020-07-15 16:00:00,7.76,0.0,7.76,175.0,4.4,4.4,False
