line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,162.68,12.32,175.0,175.0,93.0,100.0,True
A1,2020-07-15 03:00:00,161.34,13.66,175.0,175.0,92.2,100.0,True
A1,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 05:00:00,163.64,0.0,163.64,175.0,93.5,93.5,False
A1,2020-07-15 06:00:00,43.33,0.0,43.33,175.0,24.8,24.8,False
A1,2020-07-15 07:00:00,-5.51,169.49,175.0,175.0,3.2,100.0,True
A1,2020-07-15 08:00:00,71.54,102.53,174.07,175.0,40.9,99.5,True
A1,2020-07-15 09:00:00,92.92,79.07,171.99,175.0,53.1,98.3,False
A1,2020-07-15 10:00:00,15.14,159.68,174.82,175.0,8.7,99.9,True
A1,2020-07-15 11:00:00,131.2,43.8,175.0,175.0,75.0,100.0,True
A1,2020-07-15 12:00:00,135.38,39.62,175.0,175.0,77.4,100.0,True
A1,2020-07-15 13:00:00,152.52,22.48,175.0,175.0,87.2,100.0,True
A1,2020-07-15 14:00:00,135.72,39.28,175.0,175.0,77.6,100.0,True
A1,2020-07-15 15:00:00,86.04,84.34,170.38,175.0,49.2,97.4,False
A1,2020-07-15 16:00:00,111.51,63.49,175.0,175.0,63.7,100.0,True
A1,2020-07-15 17:00:00,33.12,141.88,175.0,175.0,18.9,100.0,True
A1,2020-07-15 18:00:00,27.93,147.07,175.0,175.0,16.0,100.0,True
A1,2020-07-15 19:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 20:00:00,-0.13,174.87,175.0,175.0,0.1,100.0,True
A1,2020-07-15 21:00:00,171.21,3.79,175.0,175.0,97.8,100.0,True
A1,2020-07-15 22:00:00,169.04,5.96,175.0,175.0,96.6,100.0,True
A1,2020-07-15 23:00:00,167.11,0.0,167.11,175.0,95.5,95.5,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
