gen_id,gen_type,extra_committed_hours,dam_committed_hours,daruc_committed_hours,periods_added
102_CT_1,THERMAL,1,0,1,[15]
102_CT_2,THERMAL,1,0,1,[15]
123_CT_4,THERMAL,3,0,3,"[14, 15, 16]"
123_CT_5,THERMAL,7,0,7,"[10, 11, 12, 13, 14, 15, 16]"
201_CT_1,THERMAL,1,0,1,[15]
201_CT_2,THERMAL,1,0,1,[15]
202_CT_1,THERMAL,1,1,2,[15]
202_CT_2,THERMAL,2,0,2,"[15, 16]"
207_CT_1,THERMAL,18,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
207_CT_2,THERMAL,18,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
213_CC_3,THERMAL,2,13,15,"[19, 20]"
218_CC_1,THERMAL,2,12,14,"[19, 20]"
301_CT_1,THERMAL,1,0,1,[15]
301_CT_2,THERMAL,1,0,1,[15]
301_CT_3,THERMAL,7,0,7,"[10, 11, 12, 13, 14, 15, 16]"
301_CT_4,THERMAL,17,0,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
302_CT_1,THERMAL,1,0,1,[15]
302_CT_2,THERMAL,1,0,1,[15]
315_CT_6,THERMAL,4,2,6,"[16, 17, 18, 19]"
315_CT_7,THERMAL,18,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
315_CT_8,THERMAL,24,0,24,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
318_CC_1,THERMAL,7,12,19,"[17, 18, 19, 20, 21, 22, 23]"
321_CC_1,THERMAL,1,16,17,[21]
