line,period,flow_nominal,flow_wc,Fmax,loading_nominal_pct,loading_wc_pct,violation,excess_mw
A1,2020-07-15 00:00:00,175.0,1430.08,175.0,100.0,817.2,True,1255.08
A1,2020-07-15 01:00:00,175.0,1396.92,175.0,100.0,798.2,True,1221.92
A1,2020-07-15 02:00:00,175.0,2522.62,175.0,100.0,1441.5,True,2347.62
A1,2020-07-15 03:00:00,175.0,2107.37,175.0,100.0,1204.2,True,1932.37
A1,2020-07-15 04:00:00,170.93,2194.12,175.0,97.7,1253.8,True,2019.12
A1,2020-07-15 05:00:00,4.92,1750.95,175.0,2.8,1000.5,True,1575.95
A1,2020-07-15 06:00:00,154.32,2877.21,175.0,88.2,1644.1,True,2702.21
A1,2020-07-15 07:00:00,160.41,2830.73,175.0,91.7,1617.6,True,2655.73
A1,2020-07-15 08:00:00,165.96,2773.3,175.0,94.8,1584.7,True,2598.3
A1,2020-07-15 09:00:00,170.26,2433.57,175.0,97.3,1390.6,True,2258.57
A1,2020-07-15 10:00:00,174.69,2191.32,175.0,99.8,1252.2,True,2016.32
A1,2020-07-15 11:00:00,175.0,2018.29,175.0,100.0,1153.3,True,1843.29
A1,2020-07-15 12:00:00,175.0,1847.01,175.0,100.0,1055.4,True,1672.01
A1,2020-07-15 13:00:00,175.0,1774.61,175.0,100.0,1014.1,True,1599.61
A1,2020-07-15 14:00:00,175.0,1722.82,175.0,100.0,984.5,True,1547.82
A1,2020-07-15 15:00:00,170.83,2967.02,175.0,97.6,1695.4,True,2792.02
A1,2020-07-15 16:00:00,175.0,1674.59,175.0,100.0,956.9,True,1499.59
A1,2020-07-15 17:00:00,175.0,1133.71,175.0,100.0,647.8,True,958.71
A1,2020-07-15 18:00:00,175.0,1883.24,175.0,100.0,1076.1,True,1708.24
A1,2020-07-15 19:00:00,174.65,1564.92,175.0,99.8,894.2,True,1389.92
A1,2020-07-15 20:00:00,171.07,2632.38,175.0,97.8,1504.2,True,2457.38
A1,2020-07-15 21:00:00,167.1,1897.84,175.0,95.5,1084.5,True,1722.84
A1,2020-07-15 22:00:00,159.66,2112.58,175.0,91.2,1207.2,True,1937.58
A1,2020-07-15 23:00:00,155.01,2227.08,175.0,88.6,1272.6,True,2052.08
A1,2020-07-16 00:00:00,175.0,579.3,175.0,100.0,331.0,True,404.3
A1,2020-07-16 02:00:00,175.0,1034.74,175.0,100.0,591.3,True,859.74
A1,2020-07-16 04:00:00,168.26,1227.76,175.0,96.1,701.6,True,1052.76
A1,2020-07-16 06:00:00,159.79,2259.56,175.0,91.3,1291.2,True,2084.56
