,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.804773779356832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.735707718616425,0.0,0.0,0.0,0.0,13.365028986042574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,32.16191065508734,30.57644816459885,30.00000188641199,30.000000842771765,30.51442620345885,32.470873343947744,32.417356982917575,35.122708706745065,38.49964295706819,41.920876374854636,45.005072417518875,46.928677383493905,48.75666449802149,51.08044469544819,51.481877428691284,40.368631789446745,50.89758103777558,48.86721122779309,49.87801173799329,47.74924704774723,38.6940010638665,37.191894074363255,39.19048465524564,35.77701638837589,30.0,32.62272970657609,30.0,30.0,30.0,67.51174176993266,75.64713105449292,33.602908561946634,30.845003432927,69.84934427821034,30.0,0.0
101_STEAM_4,32.13461090152475,30.646682526300673,30.000002389805378,30.000000840858867,30.4453520661804,31.846129899257686,32.10494359766634,35.54009209619019,38.83346502222322,42.00117319997875,43.48364679672551,47.022199669327335,49.96287396834051,50.99126047542123,51.65337251370478,39.08054547542308,50.65269164237793,47.81505918226024,48.37038313781076,47.80494366624738,39.05741338885213,40.176412180575554,37.719843180217715,35.661995491131904,36.58312011531234,30.0,35.56730436641216,45.68032587147998,56.82983588534158,30.0,30.0,76.0,76.0,30.0,60.44411633452788,76.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.731068959438274e-07,0.0,2.2879772086443476e-07,0.0,0.0,0.0,19.999582929219457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999546120853452,19.500292004796723,0.0,3.0496088056589606e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,52.99999837076863,52.99999798034739,66.2980673739734,66.5416967740606,53.00000055209556,53.00003169772186,53.00001986947285,75.99995864819047,75.99998625901775,60.46929704340104,63.915935112233065,61.5329862240806,65.04427306164268,65.39759189717357,75.99998424027439,75.99999139571597,75.99999197711918,75.99997798531878,75.99997279223416,75.97754104039083,74.97120994645692,54.82235146677936,72.40292190192604,69.67830341342108,76.0,30.0,56.769196020700406,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,52.999998382704824,52.9999979918815,67.30977748653615,65.65077777964656,53.00000054473164,53.00003185024034,53.00001985160772,75.99995561281756,75.99998415856516,59.993193840336055,63.84235278048144,65.3316941478177,64.15754017228437,65.73153972614237,75.99998803603353,75.99999322918613,75.99999266667146,75.99997910611873,75.99996995744989,75.98088386589734,75.05174216359558,54.88485299874952,71.57996254269703,69.83216369433819,38.38267264365888,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
107_CC_1,170.00000774836542,170.00000489673093,170.00000864669164,170.00000843130655,170.00000896391518,170.0000313554836,177.62802568246067,354.99992487543864,354.9999353039305,327.94217339855913,320.6808459639987,316.2353778037851,273.992334138097,323.5671786177678,354.9999378475346,354.99997066532717,354.99995593037625,354.99996993946684,354.9985485161304,354.9992623365696,354.4489500450446,262.5000191577372,262.50001970671354,262.5000276321762,170.0,170.0,170.0,170.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
