line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 01:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 02:00:00,162.98,12.02,175.0,175.0,93.1,100.0,True
A1,2020-07-15 03:00:00,160.98,14.02,175.0,175.0,92.0,100.0,True
A1,2020-07-15 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 05:00:00,163.33,0.0,163.33,175.0,93.3,93.3,False
A1,2020-07-15 06:00:00,43.69,0.0,43.69,175.0,25.0,25.0,False
A1,2020-07-15 07:00:00,-5.59,169.41,175.0,175.0,3.2,100.0,True
A1,2020-07-15 08:00:00,60.77,113.9,174.67,175.0,34.7,99.8,True
A1,2020-07-15 09:00:00,115.43,57.57,173.0,175.0,66.0,98.9,False
A1,2020-07-15 10:00:00,106.98,68.02,175.0,175.0,61.1,100.0,True
A1,2020-07-15 11:00:00,135.22,39.78,175.0,175.0,77.3,100.0,True
A1,2020-07-15 12:00:00,148.78,26.22,175.0,175.0,85.0,100.0,True
A1,2020-07-15 13:00:00,145.31,29.69,175.0,175.0,83.0,100.0,True
A1,2020-07-15 14:00:00,105.44,69.56,175.0,175.0,60.2,100.0,True
A1,2020-07-15 15:00:00,46.31,126.84,173.15,175.0,26.5,98.9,False
A1,2020-07-15 16:00:00,49.39,125.31,174.7,175.0,28.2,99.8,True
A1,2020-07-15 17:00:00,0.0,175.0,175.0,175.0,0.0,100.0,True
A1,2020-07-15 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 19:00:00,174.79,0.21,175.0,175.0,99.9,100.0,True
A1,2020-07-15 20:00:00,173.91,1.09,175.0,175.0,99.4,100.0,True
A1,2020-07-15 21:00:00,-3.16,171.84,175.0,175.0,1.8,100.0,True
A1,2020-07-15 22:00:00,169.04,5.96,175.0,175.0,96.6,100.0,True
A1,2020-07-15 23:00:00,167.11,0.0,167.11,175.0,95.5,95.5,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,172.0,0.0,172.0,175.0,98.3,98.3,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
