,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.8032537293990574,-0.0,-0.0,-0.0,-0.0,-7.984818492573706e-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.734215875802028,-0.0,-0.0,-0.0,-0.0,-5.364990869167318,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_3,1.255890652151824,0.367211130839053,1.1636866251710867e-06,4.365658252800599e-07,0.48665349530499147,0.20732324541136993,2.3598460215108474,3.6746803302550495,5.06928608582364,4.5572992654842714,-1.6627066660986172,1.0570254743522929,5.766451726311924,-6.101503114852804,2.6095537477909674,6.530993525113294,-5.072729355394175,0.7236004406005557,-4.305547246144236,-12.29352929227284,4.480298592106192,-1.89219483001401,0.29944457034383576,2.1602703994891477,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
101_STEAM_4,-0.44242499473660046,0.4638090436845708,1.4234392033970643e-06,4.806590481248725e-07,0.3765038773759086,0.30399911149299813,2.0549807373679485,1.6821385834228586,-1.6747293672074999,-2.1758022359711777,4.310782201664623,0.7288996717625326,-4.416474344666223,7.494158517389138,-0.37485339478635193,4.364628082677877,8.921545971435574,4.7914308516627235,4.38063528866636,12.332609344726517,0.9845136984969783,8.100423426542608,-0.27572798479764193,-1.9995490193516876,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,8.947524459402792e-08,-0.0,3.3108122706597876e-08,-0.0,-0.0,-0.0,-9.871919191527533e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_CT_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00011035471381851933,-0.08594507961101458,-0.0,-9.257380083974967e-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_3,22.473734834666644,22.516770037116366,8.733708216471628,9.306871331946985,22.99634340266371,22.899221575455122,22.995785443242955,3.918352598678543e-05,1.1619709586914423e-05,15.530698776940458,12.084048899766623,14.466996525014356,10.955714687232433,10.60239980087967,1.1734861344869712e-05,8.31925273967708e-06,7.610550866799702e-06,2.0681343384916266e-05,2.546430853649054e-05,0.022409137870075056,0.9977250074463772,21.173253303794446,3.596238797070855,6.30174201171656,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
102_STEAM_4,22.472222029290293,22.51687660292805,6.122918271898254,10.184525543177534,22.996297676398342,22.89880900609219,22.995854012745465,4.201805500687673e-05,1.3497775926279557e-05,16.00680201529594,12.15763317087966,10.668291413174828,11.842449442652434,10.268449337163638,8.771825201532548e-06,6.5262042381351015e-06,6.9151582345434294e-06,1.9134489419138392e-05,2.832126837943475e-05,0.019075752307111872,0.9196393818987719,21.110743026666803,4.418988434927271,6.148442892298256,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
107_CC_1,-2.9603129604230505e-06,-1.4800034990621217e-06,-2.7857757293524437e-06,-2.703336420147886e-06,-2.9422065803714896e-07,-2.5698058932992326e-05,7.050707781966955,5.2110631097363686e-05,5.544172241203919e-05,27.057823701651273,34.31913617966935,38.76460901532924,81.0075978861095,31.432769664182768,4.080338219257125e-05,2.9049800446747783e-05,4.359192585097153e-05,2.6525380840575047e-05,0.0014459986397246135,0.0007361236165424709,0.5446685399986029,92.40581877497236,92.12855549720254,91.32296681484965,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
113_CT_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
