line,period,flow_nominal,flow_wc,Fmax,loading_nominal_pct,loading_wc_pct,violation,excess_mw
A1,2020-07-15 00:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-15 01:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-15 02:00:00,162.98,151.57,175.0,93.1,86.6,False,0.0
A1,2020-07-15 03:00:00,160.98,147.03,175.0,92.0,84.0,False,0.0
A1,2020-07-15 04:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-15 05:00:00,163.33,152.81,175.0,93.3,87.3,False,0.0
A1,2020-07-15 06:00:00,43.69,153.55,175.0,25.0,87.7,False,0.0
A1,2020-07-15 07:00:00,-5.59,158.44,175.0,3.2,90.5,False,0.0
A1,2020-07-15 08:00:00,60.77,165.46,175.0,34.7,94.6,False,0.0
A1,2020-07-15 09:00:00,115.43,171.3,175.0,66.0,97.9,False,0.0
A1,2020-07-15 10:00:00,106.98,175.0,175.0,61.1,100.0,False,0.0
A1,2020-07-15 11:00:00,135.22,175.0,175.0,77.3,100.0,False,0.0
A1,2020-07-15 12:00:00,148.78,175.0,175.0,85.0,100.0,False,0.0
A1,2020-07-15 13:00:00,145.31,175.0,175.0,83.0,100.0,False,0.0
A1,2020-07-15 14:00:00,105.44,173.86,175.0,60.2,99.4,False,0.0
A1,2020-07-15 15:00:00,46.31,148.51,175.0,26.5,84.9,False,0.0
A1,2020-07-15 16:00:00,49.39,167.18,175.0,28.2,95.5,False,0.0
A1,2020-07-15 17:00:00,0.0,170.51,175.0,0.0,97.4,False,0.0
A1,2020-07-15 18:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-15 19:00:00,174.79,174.78,175.0,99.9,99.9,False,0.0
A1,2020-07-15 20:00:00,173.91,173.28,175.0,99.4,99.0,False,0.0
A1,2020-07-15 21:00:00,-3.16,164.62,175.0,1.8,94.1,False,0.0
A1,2020-07-15 22:00:00,169.04,163.11,175.0,96.6,93.2,False,0.0
A1,2020-07-15 23:00:00,167.11,159.24,175.0,95.5,91.0,False,0.0
A1,2020-07-16 00:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-16 02:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-16 04:00:00,168.26,168.26,175.0,96.1,96.1,False,0.0
A1,2020-07-16 06:00:00,159.79,159.79,175.0,91.3,91.3,False,0.0
A1,2020-07-16 08:00:00,172.0,172.0,175.0,98.3,98.3,False,0.0
A1,2020-07-16 10:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-16 12:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
A1,2020-07-16 14:00:00,175.0,175.0,175.0,100.0,100.0,False,0.0
