gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.01295033649849607,0.01295033649849607,0.006475168285551683,-0.0032376495905015075,-0.003237631241967402,-0.00323800600721582,-0.003237049658811341
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.03592633006157153,0.03592633006157153,0.017963165182678834,-0.008981954304793354,-0.008982416327796457,-0.00898237555689927,-0.008979583872082454
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.16235594581469168,0.16235594581469168,0.08117797312079328,-0.040587342058666265,-0.04058655123868149,-0.04059400103143207,-0.04058805148591185
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.16829564733019117,0.16829564733019117,0.08414782390265926,-0.042072083579409114,-0.04207115807075862,-0.042079248967821004,-0.04207315671220244
107_CC_1,THERMAL,2020-07-15 00:00:00,7.438494264988549e-15,7.438494264988549e-15,6.277425221069412e-15,6.661338147750939e-16,5.551115123125783e-16,6.217248937900877e-15,0.0
113_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,1.8933530813792293e-09,1.8933530813792293e-09,9.466788010434827e-10,4.738673897719536e-10,4.739715286916635e-10,4.715481338735117e-10,4.739660290421006e-10
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-9.909955691707636e-08,9.909955691707636e-08,4.954980184584749e-08,-2.476668381490299e-08,-2.477593652461252e-08,-2.4811812160407953e-08,-2.47451244171529e-08
118_CC_1,THERMAL,2020-07-15 00:00:00,7.438494264988549e-15,7.438494264988549e-15,6.277425221069412e-15,6.661338147750939e-16,5.551115123125783e-16,6.217248937900877e-15,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
123_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_4,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
