time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0032376495905015075,-0.003237631241967402,-0.00323800600721582,-0.003237049658811341,-0.0006757389405619204,-0.0006757519151133961,-0.0006757158241538505,-0.0006756773953474781,1.1043276838779944e-15,-2.6350913050818614e-16,4.332328462292418e-15,-2.8123601696765475e-15,1.5381267452379514e-15,1.1509817301161023e-15,3.7915284801461315e-15,-2.5657143454211614e-15,-0.00038579606349522936,-0.00038576968409705526,-0.00038581646311954725,-0.0003858360914400001,-0.00529723030509098,-0.005292895448003338,-0.00530180507055779,-0.005298429178020147,-0.003102653800468813,-0.00310266455706959,-0.0031026105175893104,-0.0031026379206574805,-0.0099811339667987,-0.00998139856596525,-0.009981187581829865,-0.00998111089155753,-0.022792954870866772,-0.02279303501638591,-0.022792880012105332,-0.02279292565661977,-0.02494804015162122,-0.02495033303826466,-0.024946247834157553,-0.024947258260958862,-0.03424406422355375,-0.03424415564363836,-0.03424400606660094,-0.03424403594099583,-0.04032859236181763,-0.040336837463282815,-0.040315600559392095,-0.040323391422969326,-0.04597242409148247,-0.045973323062104166,-0.045970992849336145,-0.045971953896816554,-0.056479571095141845,-0.05647947500584227,-0.0564796471564355,-0.05647962851712669,-0.05363910522554541,-0.053644331958651814,-0.053642195843640494,-0.053637804158912686,-0.03487739534022094,-0.03487746586094817,-0.03488235696029629,-0.03487603308151209,-0.03391512539153102,-0.03391427946313988,-0.03391888663460263,-0.03391239409249863,-0.030800183814315762,-0.030799546799890554,-0.03080131971446698,-0.030796680071123916,-0.025364473116202824,-0.0253650739712315,-0.025367328187347438,-0.02536290990258187,-0.021114852636704373,-0.0211149970375637,-0.021115082957770426,-0.02111490073523058,-0.016255887552044615,-0.016255947100417646,-0.01625616127218826,-0.01625581999980397,-0.014870287568669066,-0.014870244990154782,-0.014870386698825948,-0.014870257056266555,-0.007329780558724771,-0.007329751956170709,-0.007330036446750128,-0.007329838255449185,-0.003903534141379429,-0.003903512028629019,-0.0039035834025604593,-0.0039035198660630314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.008981954304793354,-0.008982416327796457,-0.00898237555689927,-0.008979583872082454,-0.0021510516280168427,-0.002151042831950758,-0.002150928560474246,-0.002150969592730953,-5.2676640262223314e-15,-5.731695202467659e-15,-6.552774511542731e-15,-6.772835954280153e-15,-4.7022623654196476e-15,-5.03676231630415e-15,-7.344242158946632e-15,-6.4127212141203755e-15,-0.0010867100401084641,-0.0010868318553088159,-0.0010875752645892254,-0.001087155333649566,-0.004875810175943032,-0.004873043790654157,-0.004878861409061781,-0.004876609699620018,-0.014002127981206147,-0.014002410982701663,-0.014001216139179151,-0.014001793594439293,-0.026084800627567906,-0.02609208929431428,-0.02607386371172815,-0.026082562781775294,-0.042094823146261756,-0.04209481961679451,-0.042094874200973464,-0.042094802363262206,-0.034856089262537054,-0.03485945827487774,-0.034853318179734805,-0.03485470353399661,-0.042150889952173864,-0.04215095222431292,-0.04215080875450106,-0.04215085312391847,-0.04548727045747539,-0.04549176441021724,-0.045479517076839615,-0.045484519801211716,-0.046605018237726725,-0.046604586032037654,-0.046605680325605636,-0.04660522302706177,-0.05678697317845345,-0.05678648424425803,-0.05678742741145992,-0.05678719995522916,-0.053392053229527045,-0.05339826337433329,-0.05339616275455883,-0.053390069087638915,-0.03462949523745021,-0.03462941362034003,-0.03462901413500974,-0.034629686710645216,-0.03383860516866197,-0.03383729313958607,-0.03384372406076097,-0.03383467696737986,-0.03050459972610181,-0.030503628267710636,-0.03050547826225647,-0.03050012830775924,-0.02609028413341774,-0.026090555606086807,-0.02609253046539839,-0.026088767486852994,-0.022919822084840225,-0.022919952545404992,-0.022920069038039892,-0.022919826513085457,-0.016923056194421512,-0.016923129549047504,-0.016923337261635366,-0.016922986344807926,-0.023206628746032215,-0.023206625320787447,-0.023206632673457524,-0.02320649143915339,-0.014325609202569338,-0.014325604326998293,-0.014325742184963845,-0.014325618465964045,-0.009712293949635596,-0.009712265741417004,-0.009712332346387478,-0.009712235179975751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.040587342058666265,-0.04058655123868149,-0.04059400103143207,-0.04058805148591185,-0.05861861658825346,-0.05861743738619141,-0.05864729339813746,-0.05861999965050516,-0.04230101113682891,-0.04230101018876581,-0.04230110992375247,-0.042301032814582466,-0.04558191779644849,-0.04558192188315369,-0.04558206634839168,-0.045581987724214186,-0.041157396374113184,-0.041157453944543926,-0.04115808181023639,-0.041157635354730625,-0.051955630151073615,-0.05195817651469056,-0.05195457075318788,-0.05195874233495564,-0.0461101708932824,-0.046110308357539154,-0.04611003458534646,-0.04611039174699549,-6.903936866642368e-10,-6.908396077420775e-10,-6.897651338988453e-10,-6.903719676147915e-10,-0.019073278177697967,-0.01907324955805534,-0.019073280027657846,-0.01907327466950271,-0.005637008651249914,-0.005636998241835389,-0.0056370153328932915,-0.0056370123583244815,-2.4627074546312855e-09,-2.463657278184428e-09,-2.4583486357698803e-09,-2.460425674707481e-09,-9.793348632047838e-10,-9.795476096918776e-10,-9.786556010027425e-10,-9.790593547010026e-10,-9.651516252873193e-10,-9.664093969519172e-10,-9.626492936121167e-10,-9.644823332870886e-10,-1.0612619394390066e-09,-1.0614618073390147e-09,-1.0606224787323981e-09,-1.0609487175586643e-09,-9.768793829412203e-10,-9.769848818841353e-10,-9.762758379494585e-10,-9.764276868734444e-10,-0.0024395492571967214,-0.0024395492074535674,-0.0024395423006986494,-0.0024395507827630887,-4.681530163530567e-10,-4.68072552939347e-10,-4.681672827189232e-10,-4.678795137219791e-10,-6.164011245868295e-10,-6.160966181667504e-10,-6.149114550879631e-10,-6.156403791147728e-10,-5.674279934808624e-10,-5.673695679941915e-10,-5.670447444927618e-10,-5.673609944847724e-10,-5.622942111926932e-10,-5.623263243936805e-10,-5.622441401342826e-10,-5.62075388283666e-10,-0.0027426047783131735,-0.0027426050046952394,-0.002742603831648871,-0.0027426047462572704,-0.00949035772728396,-0.009490350339684414,-0.009490336718916748,-0.009490344755843911,-0.011277685170267338,-0.011277684303006824,-0.01127764090214356,-0.011277676847351316,-0.028390019421765,-0.028390026712884375,-0.028389951576591188,-0.028390034957505233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.042072083579409114,-0.04207115807075862,-0.042079248967821004,-0.04207315671220244,-0.05861861658825346,-0.05861743738619141,-0.05864729339813746,-0.05861999965050516,-0.04230101118189794,-0.042301010233834924,-0.042301109968821526,-0.04230103285968633,-0.04549863917154873,-0.04549864400124304,-0.045498791354313006,-0.045498705173132446,-0.04115739637486797,-0.04115745394680201,-0.04115808180718161,-0.041157635352706036,-0.05195541867000772,-0.051958169634413576,-0.05195423448777681,-0.051958931110999515,-0.0461101708932824,-0.046110308357539154,-0.04611003458534646,-0.0461103917469834,-6.903936866642368e-10,-6.908396077420775e-10,-6.897651338988453e-10,-6.903719676147915e-10,-0.019073278177697967,-0.01907324955805534,-0.019073280027657846,-0.01907327466950271,-0.005637008697897433,-0.005636998288482686,-0.005637015379540866,-0.005637012404976604,-2.4627074546312855e-09,-2.463657278184428e-09,-2.4583486357698803e-09,-2.460425674707481e-09,-9.793348632047838e-10,-9.795476096918776e-10,-9.786556010027425e-10,-9.790593547010026e-10,-9.651516252873193e-10,-9.664093969519172e-10,-9.626490715675118e-10,-9.644823332871285e-10,-1.0612620782168847e-09,-1.0614619183613172e-09,-1.0606224787323981e-09,-1.0609488283886705e-09,-9.768793829412203e-10,-9.769848818841353e-10,-9.762758379494585e-10,-9.764276868734057e-10,-0.0024395492571967214,-0.0024395492074535674,-0.0024395423006986494,-0.0024395507827630887,-4.681530163530567e-10,-4.68072552939347e-10,-4.681672827189232e-10,-4.678795137219391e-10,-6.16328155178536e-10,-6.160236765140326e-10,-6.148388465021526e-10,-6.155674617106164e-10,-5.674279934808624e-10,-5.673695679941915e-10,-5.670447444927618e-10,-5.673609944847724e-10,-5.622999843524212e-10,-5.623320975534085e-10,-5.62250246360918e-10,-5.620812467290594e-10,-0.0027426047783131735,-0.0027426050046952394,-0.002742603831648871,-0.0027426047462572704,-0.009490346256388588,-0.009490338868666001,-0.009490325247909048,-0.00949033328474493,-0.011277685170267338,-0.011277684303006824,-0.01127764090214356,-0.011277676847351316,-0.028390019421765,-0.028390026712884375,-0.028389951576591188,-0.028390034957505233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,6.661338147750939e-16,5.551115123125783e-16,6.217248937900877e-15,0.0,8.881784197001252e-16,4.440892098500626e-16,7.105427357601002e-15,0.0,6.661338147750939e-16,6.661338147750939e-16,7.105427357601002e-15,0.0,7.771561172376096e-16,8.881784197001252e-16,7.993605777301127e-15,0.0,7.216449660063518e-16,6.661338147750939e-16,3.9968028886505635e-15,0.0,8.881784197001252e-16,6.661338147750939e-16,2.6645352591003757e-15,0.0,4.440892098500626e-16,6.661338147750939e-16,3.552713678800501e-15,0.0,1.6653345369377348e-15,4.440892098500626e-16,6.217248937900877e-15,0.0,-0.2461296039440825,-0.24613146868604563,-0.246129003533202,-0.24613025185617005,-1.7979365662945668e-08,-1.7985251732355323e-08,-1.7972614507755225e-08,-1.797115575947879e-08,-2.56897797479283e-08,-2.569184420764259e-08,-2.5691402782967998e-08,-2.5678969044511176e-08,-2.729346315621939e-08,-2.7301293670234372e-08,-2.727991699202903e-08,-2.728784304164743e-08,-3.0882476798055336e-08,-3.0977238996143797e-08,-3.0719325749828386e-08,-3.0841945473083834e-08,-3.415865201805701e-08,-3.419916128066802e-08,-3.4108606605798286e-08,-3.413628776114565e-08,-2.5788972846108038e-08,-2.581065428053364e-08,-2.581014069136245e-08,-2.5782771360951695e-08,-0.03252512562828125,-0.03252512554103271,-0.032525023127240704,-0.032525150685122024,-1.4011324767082556e-08,-1.4008166404622102e-08,-1.4021195315905288e-08,-1.399860397256504e-08,-1.8683385061279978e-08,-1.868111654257376e-08,-1.8682599911556963e-08,-1.8669872630026203e-08,-2.4448665314480422e-08,-2.4451663027669213e-08,-2.4454321678746282e-08,-2.444948422425127e-08,-2.011348221309106e-08,-2.0114712007135438e-08,-2.0122805644007258e-08,-2.0113984843978552e-08,-1.4249482682693326e-07,-1.4262892383820613e-07,-1.4213193288981074e-07,-1.424622110225425e-07,-1.1553412448961353e-08,-1.1559579238262785e-08,-1.1566911872762375e-08,-1.156523501968261e-08,-6.460333203950341e-07,-6.460166150912272e-07,-6.460425487908594e-07,-6.459176360795182e-07,-8.457945455120353e-11,-8.456979561088929e-11,-8.452172295392302e-11,-8.45540926387711e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
