gen_id,gen_type,time,Z_row_sum,Z_row_abs_sum,Z_row_norm,Z_k0,Z_k1,Z_k2,Z_k3
101_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.023447957480207546,0.023447957480207546,0.011723978865676991,-0.005861642395892331,-0.00586152304720183,-0.00586346275690957,-0.005861329280203816
101_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.023447957481071986,0.023447957481071986,0.01172397886610921,-0.00586164239610819,-0.005861523047417706,-0.005863462757125744,-0.005861329280420344
102_CT_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,2020-07-15 00:00:00,-0.2534084544690641,0.2534084544690641,0.12670424283371892,-0.0633327045759321,-0.06332177742542619,-0.06340361963909036,-0.06335035282861547
102_STEAM_4,THERMAL,2020-07-15 00:00:00,-0.25340781489257125,0.25340781489257125,0.1267039225480286,-0.06333297548066458,-0.06332209415419138,-0.06340266489441193,-0.06335008036330336
107_CC_1,THERMAL,2020-07-15 00:00:00,7.439162931182421e-08,7.439162931182421e-08,3.7196042584374924e-08,1.852223596721103e-08,1.854760023345392e-08,1.8680438529372623e-08,1.8641354581786636e-08
113_CT_1,THERMAL,2020-07-15 00:00:00,-7.901535844916837e-15,8.064805924412424e-15,6.458576930664481e-15,-4.460928789533204e-16,-1.2088729698686025e-15,-6.328205035842708e-15,8.163503974779343e-17
113_CT_2,THERMAL,2020-07-15 00:00:00,3.0017440403818736e-15,3.0017440403818736e-15,2.192820614576266e-15,2.9672736293446103e-16,5.139799590853832e-16,2.109401678614236e-15,8.163503974779343e-17
113_CT_3,THERMAL,2020-07-15 00:00:00,3.0017440403818736e-15,3.0017440403818736e-15,2.192820614576266e-15,2.9672736293446103e-16,5.139799590853832e-16,2.109401678614236e-15,8.163503974779343e-17
113_CT_4,THERMAL,2020-07-15 00:00:00,3.0017440403818736e-15,3.0017440403818736e-15,2.192820614576266e-15,2.9672736293446103e-16,5.139799590853832e-16,2.109401678614236e-15,8.163503974779343e-17
115_STEAM_1,THERMAL,2020-07-15 00:00:00,2.3510656335938085e-16,2.3510656335938085e-16,1.3249525699856522e-16,3.469446951953614e-17,4.85722573273506e-17,1.1102230246251565e-16,4.081753404997843e-17
115_STEAM_2,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,2020-07-15 00:00:00,2.256253679624054e-08,2.256253679624054e-08,1.128146382148231e-08,5.600395369675937e-09,5.615657494573156e-09,5.668783664702914e-09,5.677700267288533e-09
116_STEAM_1,THERMAL,2020-07-15 00:00:00,-9.658950461821391e-09,9.658950461821391e-09,4.8335972395003395e-09,-2.508044549820454e-09,-2.50666432055624e-09,-2.2695907375691604e-09,-2.374650853875537e-09
118_CC_1,THERMAL,2020-07-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122_WIND_1,WIND,2020-07-15 00:00:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
