time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85722573273506e-17,1.1102230246251565e-16,1.6653345369377348e-16,4.081751868660572e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.005861642395892331,-0.00586152304720183,-0.00586346275690957,-0.005861329280203816,-0.001592168864587065,-0.0015921244372670985,-0.0015922743966688014,-0.0015921134602347557,-6.432661793874547e-06,-6.43253795623153e-06,-6.434747784150298e-06,-6.433772526726978e-06,-9.643859961685422e-05,-9.643280760740809e-05,-9.656198717614034e-05,-9.650197084623103e-05,-0.0009037304090498028,-0.0009037204770861362,-0.0009038986513348791,-0.0009038590178474073,-0.005201593459400169,-0.005203886100730143,-0.005198172458625162,-0.005199786667019146,-0.008681300135226019,-0.008682672135517017,-0.00868010490755995,-0.008680157928882533,-0.01831422041911699,-0.018321250460412317,-0.018306792831342452,-0.018313006592070413,-0.032792936628616785,-0.03279466951588333,-0.03278982517449302,-0.03279222362428875,-0.03048013693909335,-0.030481319436977516,-0.03047924885156661,-0.030479531391478114,-0.03801902731315118,-0.03801969436159702,-0.03801857924835006,-0.03801883735520974,-0.04283640206459709,-0.04284475834681534,-0.042829463812506186,-0.04283577495697041,-0.04628728250511155,-0.046308598801978185,-0.046271098517004505,-0.04628459611669382,-0.05663442637985862,-0.056637474898978746,-0.05662924083502707,-0.05663254938905087,-0.053498721569818775,-0.0534997179752692,-0.05349939412815252,-0.05349851408283082,-0.03471625714382122,-0.03471565169124405,-0.03472391063601987,-0.034714597456170254,-0.033869879175269235,-0.03386991936991232,-0.03386975609257181,-0.033869883003307594,-0.030809181244082048,-0.030807668716795106,-0.0308119032141162,-0.030807640478820033,-0.02571672288860699,-0.02571602735533085,-0.025725355194002986,-0.025716252813167723,-0.021977052536429897,-0.02197701878620678,-0.02197728402801158,-0.02197702784976304,-0.01659357709271391,-0.016593575607195158,-0.016594197902421875,-0.016593240479572197,-0.0191221240719731,-0.0191222387101826,-0.019121766151923972,-0.01912192355866589,-0.010916261223740724,-0.010916323773577553,-0.010914952937755455,-0.010915859399007638,-0.00693915296114011,-0.006939226415320178,-0.0069389626927683235,-0.006939239975304266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.00586164239610819,-0.005861523047417706,-0.005863462757125744,-0.005861329280420344,-0.001592168864653279,-0.0015921244373332942,-0.001592274396735106,-0.001592113460301126,-6.432661793907815e-06,-6.432537956246955e-06,-6.434747784295779e-06,-6.43377252672508e-06,-9.643859961699855e-05,-9.643280760752686e-05,-9.656198717642001e-05,-9.650197084633528e-05,-0.0009037304090710082,-0.0009037204771073593,-0.0009038986513561596,-0.0009038590178685756,-0.005201593458589524,-0.005203886099919224,-0.005198172457815097,-0.00519978666621012,-0.008681300133160744,-0.008682672133451114,-0.008680104905494578,-0.00868015792681516,-0.01831422042045968,-0.01832125046175216,-0.018306792832716582,-0.018313006593429576,-0.03279293662859853,-0.032794669515861914,-0.03278982517451013,-0.03279222362428875,-0.029236982581888615,-0.029238059887919998,-0.02923606814707802,-0.02923640310128305,-0.03801902731315118,-0.03801969436159702,-0.03801857924835006,-0.03801883735520974,-0.04283640206459709,-0.04284475834681534,-0.042829463812506186,-0.04283577495697041,-0.04628728250428568,-0.04630859880115129,-0.04627109851617939,-0.046284596115848384,-0.05663442637987644,-0.05663747489899629,-0.05662924083504617,-0.05663254938905577,-0.053498721569855856,-0.053499717975306615,-0.053499394128189715,-0.05349851408288148,-0.03471634473924004,-0.03471573972341338,-0.03472399466784881,-0.03471468600755073,-0.033869879175269235,-0.03386991936991232,-0.03386975609257181,-0.033869883003307594,-0.030509331904977316,-0.030507895833027154,-0.030512263204009904,-0.030508023452988205,-0.02571672288748439,-0.02571602735420811,-0.025725355192880328,-0.025716252812038022,-0.02198243359034152,-0.021982392827165326,-0.021982653019470444,-0.02198240212118636,-0.016593589423963447,-0.016593587938526857,-0.016594210232382296,-0.01659325281149985,-0.01912225030972177,-0.019122364951040853,-0.01912189238174765,-0.019122049792352703,-0.010916261237071963,-0.01091632378690881,-0.010914952951085029,-0.010915859412347309,-0.006939152958839074,-0.006939226413019038,-0.0069389626904671885,-0.006939239972999623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002561369824092996,-0.0025613756272563695,-0.0025613318186931966,-0.002561340989692835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002561369824092996,-0.0025613756272563695,-0.0025613318186931966,-0.002561340989692835,6.938893903907228e-17,8.326672684688674e-17,1.6653345369377348e-16,8.163429789859278e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.0633327045759321,-0.06332177742542619,-0.06340361963909036,-0.06335035282861547,-0.05861965035805439,-0.05861939783904452,-0.05862169583272836,-0.0586196468824485,-0.05314844291879592,-0.053148309762663576,-0.053151334341789314,-0.05314934461531511,-0.050629231858217605,-0.050629024155349506,-0.05063091820600407,-0.05062952808261338,-0.041156841886272805,-0.04115726095257041,-0.04116149739510522,-0.04115798607630371,-0.05195418222024206,-0.05196043382810436,-0.05195489560817146,-0.05195739492276745,-0.04610528045734204,-0.046110499695250884,-0.046120985642915446,-0.04611462668588056,-0.0014447903490526492,-0.0014448060327793555,-0.001444775418130595,-0.0014447820709751044,-0.014156289160254326,-0.01415622311272674,-0.014156367760614907,-0.01415625523871078,-0.0062554205249955586,-0.0062554451934778155,-0.006255356930487954,-0.006255368875487109,-0.0017357269131440811,-0.001735720841840649,-0.0017357400179491833,-0.0017357358902781587,-1.037648708623884e-08,-1.0383773840771937e-08,-1.0361337121622682e-08,-1.032986239673797e-08,-6.88405696336325e-09,-6.881772707245659e-09,-6.879127489867187e-09,-6.869010874119825e-09,-8.357835673544756e-09,-8.364867576382551e-09,-8.385408811761863e-09,-8.36993609963641e-09,-2.0728852800910857e-09,-2.0677224932263982e-09,-2.0813484269410765e-09,-2.079944536872716e-09,-0.014716609981468523,-0.014716621728774665,-0.014716405408621958,-0.014716632941632017,-6.694692578079753e-10,-6.695295290404246e-10,-6.680392905522581e-10,-6.696261479471677e-10,-3.858126662409989e-09,-3.856403862911861e-09,-3.82978793123101e-09,-3.844800057063641e-09,-6.8762998628457694e-09,-6.876155589363719e-09,-6.777894356879699e-09,-6.830645481754262e-09,-1.3367380258255679e-09,-1.337473770623987e-09,-1.327169707465714e-09,-1.337042579731483e-09,-0.00268584064552492,-0.002685849491212103,-0.0026858185281454228,-0.0026858148960597675,-0.008311881317597108,-0.008311884633944513,-0.00831180350566818,-0.008311767374361859,-0.010034051530735999,-0.010034128799230185,-0.010033400949351456,-0.010033660444857878,-0.022849672621422457,-0.022848694952845527,-0.022850584230742488,-0.022847982154679168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.06333297548066458,-0.06332209415419138,-0.06340266489441193,-0.06335008036330336,-0.058619650358054415,-0.05861939783904446,-0.058621695832727916,-0.05861964688247735,-0.05314844291879586,-0.053148309762663604,-0.05315133434178909,-0.05314934461531069,-0.05062923433981168,-0.05062898721740747,-0.05063115250606032,-0.05062953027777787,-0.04115684188627303,-0.04115726095257058,-0.04116149739510533,-0.04115798607630825,-0.051954182220242104,-0.05196043382810428,-0.05195489560817146,-0.05195739492276717,-0.04610528045734211,-0.046110499695250995,-0.04612098564291567,-0.04611462668587179,-0.001444790348745173,-0.0014448060324719347,-0.001444775417822397,-0.0014447820706676026,-0.014156289160254326,-0.01415622311272674,-0.014156367760614907,-0.01415625523871078,-0.006255420526163152,-0.006255445194645326,-0.006255356931655465,-0.0062553688766541216,-0.0016696830067214896,-0.0016696776316773576,-0.001669694601127425,-0.0016696909329387399,-1.0406631889559037e-08,-1.0414140272363426e-08,-1.0392657845414988e-08,-1.0360765372504398e-08,-6.88405696336325e-09,-6.881772596223357e-09,-6.879127489867187e-09,-6.869010874119159e-09,-8.357835673544756e-09,-8.364867576382551e-09,-8.385408811761863e-09,-8.36993609963641e-09,-2.07288525233551e-09,-2.0677225487375495e-09,-2.0813484269410765e-09,-2.0799445368731602e-09,-0.014695044217198694,-0.014695055926945935,-0.014694839948188654,-0.014695067020129349,-6.694692855635509e-10,-6.69529501284849e-10,-6.680392905522581e-10,-6.696261479471469e-10,-4.1277574050861915e-09,-4.123782731957348e-09,-4.108655859980104e-09,-4.113524973374775e-09,-6.87630080653534e-09,-6.876156311008685e-09,-6.777895245058119e-09,-6.830646004308984e-09,-1.3367378592921142e-09,-1.3374737983795626e-09,-1.3271694854211091e-09,-1.3370425797314274e-09,-0.0026858406459303735,-0.0026858494916175563,-0.002685818528550876,-0.0026858148964647366,-0.008311881317597108,-0.008311884633944513,-0.00831180350566818,-0.008311767374361859,-0.010034051530735999,-0.010034128799230185,-0.010033400949351456,-0.010033660444857878,-0.022849672621425704,-0.022848694952848733,-0.022850584230745485,-0.02284798215468466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,1.852223596721103e-08,1.854760023345392e-08,1.8680438529372623e-08,1.8641354581786636e-08,-8.644287508019488e-10,-8.645635318771383e-10,-7.870912810403752e-10,-8.298218136001703e-10,-8.555337549509545e-10,-8.545972818296832e-10,-7.88821452601951e-10,-8.131143314994511e-10,-8.082618283308496e-10,-8.104865667490913e-10,-7.664704426701974e-10,-7.733077187754364e-10,-7.108661972458423e-10,-7.232112686494929e-10,-6.42196074096546e-10,-6.740458959138522e-10,7.869707108199009e-10,8.271099360968037e-10,7.422382708455189e-10,7.620896425845451e-10,1.952138117822244e-09,1.989491016374245e-09,2.2232047314219017e-09,2.099683547695888e-09,-0.2141356504423323,-0.2141894983830699,-0.2140896019795484,-0.2141380247660084,-3.0618146218408526e-07,-3.0690808650035706e-07,-3.0456639876774716e-07,-3.0546547266513107e-07,-1.9375533422127944e-07,-1.9396066064381046e-07,-1.9268338657951745e-07,-1.9314085178430384e-07,-2.994975800696409e-08,-2.9916999988444104e-08,-3.001975024119474e-08,-2.999922485979436e-08,-2.457138958966709e-07,-2.4573177426212567e-07,-2.451765368505221e-07,-2.451091832797957e-07,-0.010517475390529607,-0.010517543513818506,-0.010517719595677377,-0.010517897132961605,-0.020072543406983723,-0.02007281865496946,-0.020073077007581652,-0.02007319025380807,-4.567303746316753e-08,-4.561718269791015e-08,-4.571616729620587e-08,-4.572845387742351e-08,-0.03587472062076147,-0.035874767693589105,-0.03587431619125869,-0.035874895233556664,-1.8877176599652046e-08,-1.888182010745254e-08,-1.8869724449643854e-08,-1.888501169233082e-08,-1.198472517893734e-07,-1.198986623318632e-07,-1.1994719972818757e-07,-1.199758752347843e-07,-2.4654926189526805e-07,-2.465800088558012e-07,-2.462960533300418e-07,-2.4643802474089427e-07,-2.6885708215296233e-08,-2.6892569393588417e-08,-2.686707079035955e-08,-2.6889645123126943e-08,-1.3402655046901302e-07,-1.340033600749635e-07,-1.3520888408891096e-07,-1.3437636033809793e-07,-6.265035187302814e-07,-6.261021350262297e-07,-6.274317314591826e-07,-6.267738821407363e-07,-1.1384416169768485e-06,-1.1395521883894588e-06,-1.1349870550070307e-06,-1.13689733948364e-06,-0.061326965541898204,-0.061328300988390705,-0.0613237358650367,-0.06132667181076733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
