gen_id,gen_type,extra_committed_hours,dam_committed_hours,daruc_committed_hours,periods_added
102_CT_1,THERMAL,1,0,1,[15]
102_CT_2,THERMAL,1,0,1,[15]
115_STEAM_2,THERMAL,5,0,5,"[15, 16, 17, 18, 19]"
123_CT_4,THERMAL,3,0,3,"[14, 15, 16]"
201_CT_1,THERMAL,2,0,2,"[10, 15]"
201_CT_2,THERMAL,2,0,2,"[10, 15]"
202_CT_1,THERMAL,3,1,4,"[10, 15, 16]"
202_CT_2,THERMAL,2,0,2,"[10, 15]"
207_CT_1,THERMAL,18,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
207_CT_2,THERMAL,17,0,17,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
213_CC_3,THERMAL,2,13,15,"[19, 20]"
301_CT_1,THERMAL,1,0,1,[15]
301_CT_2,THERMAL,1,0,1,[15]
301_CT_3,THERMAL,7,0,7,"[10, 11, 12, 13, 14, 15, 16]"
301_CT_4,THERMAL,4,0,4,"[13, 14, 15, 16]"
302_CT_1,THERMAL,1,0,1,[15]
302_CT_2,THERMAL,1,0,1,[15]
315_CT_6,THERMAL,2,2,4,"[16, 17]"
315_CT_7,THERMAL,20,0,20,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
315_CT_8,THERMAL,18,0,18,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
318_CC_1,THERMAL,5,12,17,"[17, 18, 19, 20, 21]"
