,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.774651139794747e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,32.12836609584898,30.62469336248712,30.002784143040078,30.043821460548294,30.50505904777988,32.3026587639484,34.33036608643903,37.911374134209225,40.44567347758466,43.40007557101126,45.50482113126391,47.849254525967055,50.03919127860201,51.73252457223103,52.71342038426809,53.164460244929764,52.65925605046836,51.28387813873859,49.19184292729267,47.77969419836367,45.48821899670262,41.80419105337868,38.461513139419964,35.62176970886696,30.0,30.0,30.0,45.68032587147998,56.44911120490086,30.0,30.0,33.58369713046295,30.83453973112894,30.0,60.42734474607607,76.0
101_STEAM_4,32.128366095927056,30.624693362513153,30.002784143040074,30.04382146054834,30.505059047791704,32.30265876359052,34.33036608540882,37.91137413479842,40.44567347758466,42.85353347825365,45.50482113126391,47.849254525967055,50.03919127824441,51.732524572237665,52.713420384283864,53.16440249012453,52.65925605046836,51.07681772869887,49.19184292645484,47.78404242710314,45.488230506664934,41.80426898074665,38.461513149753735,35.62176970700195,36.58312011531234,32.62272970657609,35.56730436641216,30.0,30.0,67.60219717408846,75.65379700916887,76.0,76.0,69.83287527507713,30.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.315177211503126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.315177211503126,1.0243010005984855e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,53.00032004249805,52.99999800656755,52.999997421125784,52.999997885362774,52.9999982008441,52.99999938149456,53.000002899344736,75.37594899017648,71.49080239659772,73.2499350707823,75.29214314585838,75.99999525345517,75.99999674891822,75.99999642597929,75.99999904831398,66.31970756285955,75.99999951436438,75.99999699217848,75.99999443802182,75.99999887923192,73.49306966299542,70.8690521664162,68.22230970527178,57.489474089901165,38.38267264365888,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,53.00031959542457,52.99999800656755,52.99999742112598,52.99999788176757,52.99999820084412,52.99999938149457,53.000002899344736,75.3759489903093,71.49080239659772,73.24993507026899,75.31907690829698,75.99999524101338,75.99999674891822,75.99999642597929,75.99999904831398,66.33389312651616,75.99999951436438,75.99999680777671,75.99999443802139,75.99999887923191,73.49306966261702,70.8690521664162,68.22230970527178,57.489474089898565,76.0,30.0,56.769196020700406,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
107_CC_1,170.00000765412062,170.0000005133968,170.00000053180125,170.0000005321919,170.000000571588,170.00000143850508,170.0000029177632,262.50007768186566,354.99990060735564,354.9999133473266,354.99998771314625,354.99989627196476,350.44705645000533,347.2974540939895,354.99998052202966,331.40228673404494,354.999987326367,354.999916510188,354.99981451848384,354.9999782031414,354.9998740361655,354.99961259261687,354.99911633266527,219.68415994297777,170.0,170.0,170.0,170.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,0.0
113_CT_1,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,9.18909183063183e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,9.187486931618589e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,9.184302568828795e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,9.179354208360652e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,1.5697968215212913e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2590727671873956e-13,3.2590727671873956e-13,3.2590727671873956e-13,3.2590727671873956e-13,3.2590727671873956e-13,3.2590727671873956e-13,3.2590727671873956e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.320065780035044e-13,1.320065780035044e-13,1.320065780035044e-13,1.320065780035044e-13,1.320065780035044e-13,1.320065780035044e-13,1.320065780035044e-13,1.320065780035044e-13,5.49296012176797,6.801735446863946,5.000646088168672,5.000143122474374,6.572653045875622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,62.00000443091123,62.000001636990625,62.000001706700544,62.00000161786564,62.00000181532517,62.000003183701025,108.50000195135212,154.99999685697517,108.50072944077397,108.50097572188766,108.50007490256144,108.50128614490114,108.50074292505423,108.50085952914361,108.5000951069151,138.20378232028514,108.50006500390991,108.50046081175404,108.50038509178216,108.50004724900447,108.50013209003254,108.50012464542152,108.50020911444211,108.50000380230756,62.0,62.0,62.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
116_STEAM_1,62.00000777554166,62.000094953398346,62.000102145287364,62.0000804203037,108.49997861195264,108.4999917952209,108.50000304389229,154.99999668961766,108.50187764336917,108.50344362041506,108.50023723169252,108.50400267981581,108.50230263162234,108.50733203252182,108.50037277522048,139.6401142286395,108.50012966641152,108.50095136156146,108.50051558586523,108.50007299410994,108.50022187763048,108.50024329591332,108.50032864695915,108.50000433310936,62.0,62.0,62.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0
118_CC_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.39999955027542,262.50014029907413,262.5022574963651,262.50116388922123,262.501434230764,262.50017707109214,313.80018695218524,262.50009600061856,262.5006623047268,262.5004352277757,262.50006563981583,248.39999979863143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0
