time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,-0.0038856880457017054,-0.0025481301054787473,0.005226519154912342,0.000813755910837711,-0.0022705753632717876,-0.0006464487176526847,0.004197712663656134,0.0015487512933202833,1.6364603726138527e-05,-8.02843169141736e-06,3.663355981833012e-05,7.835372664021684e-06,3.87268359179755e-05,9.80019748719614e-06,5.304815539245968e-05,1.312090821622157e-05,-2.8318270172080138e-05,-5.9923688087239166e-05,0.0027395841731603808,0.00042138761576330445,-0.0027425608766786665,-0.0021204261795052136,-0.00281342388872195,-0.002488386803244457,-0.001452028067194749,-0.001059723361515451,-0.0028332585421770836,-0.00333596949109333,-0.0009315946643559392,-0.0009976288556106236,0.0011101028308756632,-0.0002324740494046271,-0.0004818020152990996,-0.00042472363505238124,-0.0003940917503940728,-0.00027512141735365405,-0.0010842823506030871,-0.0014889540049975102,0.0015417198538386118,-0.0004098151087275617,-0.0005514653579402617,-0.0003450688078782415,-0.0008914506958149511,-0.0005355720548962781,-0.008122807219731281,0.012549351700574148,-0.03561274335566119,-0.004591484571684633,-0.002136934056693734,-0.0007263960064857996,0.0005743861715873828,-0.002108093254661944,-0.0006453742699223881,-0.0005623361110978792,-0.0005775013800181627,-0.0005483248033296093,-0.0027459089798824716,-0.001647141123411573,-0.0005655085413489528,-0.0008231692017866476,-0.005340772254005539,-0.005775184504320009,-0.0047993069632647906,-0.004153894602192706,-0.0192179186762831,-0.001256500438900984,0.02444767450501751,-0.0013685603642538764,-0.003093170997307189,-0.0027149293895318742,0.004175160479863972,-0.001965884878642518,-0.0037559121549907057,-0.003723040524960381,0.006811388770913616,-0.0021725869994227457,-0.003925406649482379,-0.0019375459378135832,0.03743178985475673,-0.003680459705480099,0.006958820475452536,-0.022654902484982774,0.1738873271775466,-0.00262387529762183,-0.0005449518416757812,-0.00045003287786276366,-0.00035998380913778273,-0.000391027358280735,0.027216174442357088,0.0011000942702596647,-0.017547667529558955,-0.0033634977069854797,-0.015789417255184998,-0.002426579201031717,-0.025004575606918183,-0.0014873141466230624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,-0.0006272192485566849,0.002171357307725593,-0.010216619557222733,-0.0036167749313267272,-0.0028793378181301266,-0.0008091101297576266,0.004992646812192333,0.002055856007140052,1.0863057512164702e-07,-1.7477810557306986e-05,0.000208027479397705,8.028024966961797e-05,4.317145382720586e-05,-5.867930841433484e-06,0.0002439488882753547,5.6832147781749756e-05,0.00011785957070844964,-9.674299018922509e-05,0.0017597228462524197,0.00012636584408122432,-0.0032057488492654297,-0.002478444875467554,-0.0032882233645532095,-0.002908635824985289,-0.0002680412143734404,-0.00017003985448851806,-0.00019818267384815046,-0.00015628951658494466,-0.0004819627950636151,-0.00014133557317114653,-0.0005624691931158802,-0.0006484222987844998,-0.0011891167592704254,-0.0010082249545793245,-0.0004109693140464098,-0.0009485464270813691,-0.00015599763727553806,-0.0006411512537245342,-0.0006078690021396904,-0.0005761186044789943,-0.002796165844735419,-0.0018086062685521514,-0.001828257913550969,-0.0022962628986080485,0.005981540006827603,-0.013120231446358661,0.02843720126637645,0.0021865209195504032,-0.005544909011684189,-0.0015500863250847326,-0.0040706651713497514,-0.0035214826139863924,-0.006877888221453895,-0.0033463649889895804,-0.0034197334247184387,-0.004816906231143119,-0.0006855792747158069,-0.0015871680943480972,-0.0022484771973048413,-0.0024792660927329077,-0.0006810334821699411,-0.0005777666801420537,-0.0006475801114038225,-0.0006318500125386061,0.018858988215869083,-0.0029987596756627004,-0.030545796344048498,-0.005523936643646654,-0.002161712349227603,-0.0011270673452455236,-0.00948370559471361,-0.0014026819190912916,-0.003277789925796163,-0.0030112711349866345,-0.01001915574339967,-0.0023160296353806615,0.0028801201136224516,0.0013932933326633668,-0.038941667446754154,0.0028085707312022114,-0.00800445001217951,0.02156347180430239,-0.17508730745390666,0.0015419799565017883,-0.0007431516287919336,-0.0005120418956519445,-0.0007527023417272848,-0.0003528636520710419,-0.0280179622141514,-0.0014411043757290923,0.016900714508469,0.0027042949927559862,0.016305415117786867,0.00230523883535827,0.018109906323779262,-0.00041318156788941343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.04516618636026008,-0.019740853163498523,-0.11188969844878277,-0.03876780457413923,-0.12556787460556051,-0.04791349951692561,0.0833151195327484,0.12446029172785082,0.00540106840582516,0.003975865163332759,-0.0427854953886722,0.0005393480458564913,0.01197358800265949,-0.001584476777541713,0.04098807589911187,0.002367071741919987,-0.014042198401654507,-0.001195247693776276,-0.04961491247118983,-0.014071904733382955,-0.006165372705558551,-0.10522930869117857,0.03785999032007244,-0.01709934511976285,-0.031220817366592032,-0.030772452885329517,-0.016356423537615128,-0.03790401514458874,-0.021427454357018674,-0.019166182799832957,-0.005748983276952349,-0.0268830392714513,-0.0304889723156939,-0.024850613550168783,-0.04596583661041448,-0.03652410747887015,-0.025233563156911446,-0.01803823691297149,-0.03674642908227087,-0.027966316866592577,-0.020231934415792695,-0.014612067486317416,-0.07882596979084815,-0.02316230835190677,-0.02705558825632493,-0.02065840420548086,-0.05739273243629054,-0.03239479505821362,-0.021770047519568354,-0.020118615019923177,0.00010227104198337438,-0.021632115043237227,-0.02269968006427858,-0.018187646874404065,-0.037502725479993365,-0.022088569811286173,-0.029070672216750925,-0.027522192713812583,-0.013436825720301415,-0.03334879374111792,-0.018760929864730904,-0.018693158392998926,-0.018418574311949654,-0.018855573005496527,-0.015072521558797044,-0.01556035910191117,-0.022593206973987343,-0.017639873707653117,-0.019642718761156808,-0.014202372713523707,-0.03128552474307514,-0.01827596179310191,-0.02350363260176931,-0.01943079196783611,-0.010883975219771552,-0.02740078024610406,-0.011652567707860436,-0.011814392186317442,-0.006105564958483404,-0.011333386792986004,-0.00939691265507859,-0.009816626178972367,-0.008103199611789104,-0.012189208204163787,-0.006855684005652648,-0.009214719584047244,-0.005282002416974929,-0.009466424086563752,-0.015879152192436803,-0.010317451823835297,-0.01930020281111912,-0.014001869610948126,-0.02054339659336313,-0.018343605298550388,-0.02112067722640601,-0.018099049394129953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.044827900040811504,0.005741623220287647,-0.08584496766609395,-0.03856219167300378,-0.12124496489745248,-0.004542889701378859,0.09812748094142101,0.12531510620166084,0.004549906533760598,-0.005999786437599051,0.05222668053562287,0.00022967945182376354,0.0036848220184671947,-8.922805992610982e-08,0.0016609872108593927,0.00012127891249804902,-0.01390436006930243,0.0006403337688036543,-0.0652994472794666,-0.014217777180833181,-0.006301598763627372,-0.10469380935627833,0.029489831004155434,-0.017136184225259584,-0.028526235859371078,-0.03047353299970707,-0.036500965659635815,-0.04259684801289577,-0.030072885654770117,-0.016301485564762554,-0.11361675418042338,-0.03533415709695754,-0.02361683244603998,-0.02483775728401444,-0.03638926129945669,-0.02861328577684865,-0.024908659104102036,-0.01814718966064986,0.009578229909817507,-0.024282868205186176,-0.02101901893121395,-0.014854465569752716,-0.07433404105985073,-0.019993756247533242,-0.024213831075918138,-0.015897733653339737,-0.0819889953109991,-0.02758312837592075,-0.024771604750204856,-0.021129761449161594,-0.014137681801286828,-0.027061339051405425,-0.028561559532882738,-0.03142605944663697,0.004795114395660327,-0.02615666406544254,-0.02903865291905562,-0.0294506778207908,-0.013138374977386957,-0.03513734887281889,-0.016680534407375127,-0.01598023794033871,-0.019405369301745416,-0.01692536849914531,-0.011032772441367434,-0.012664933993527234,-0.0392511845831084,-0.017353213951372504,-0.009723760195899461,-0.011762497693580419,-0.034005579520025975,-0.015746110447935967,-0.01689253486345207,-0.016781972577552474,-0.04080251044866871,-0.021308186968995217,-0.0140068109492335,-0.012005050831582131,0.010575390033498683,-0.014697435877233822,-0.011959173504265909,-0.011089328628381795,-0.006198202995150032,-0.01114492278554524,-0.01001524274436718,-0.009766951951470992,-0.009363812667336276,-0.009755402562971475,-0.007210851132329738,-0.012366444007296102,-0.028587714878738034,-0.017543627752184644,-0.017184698667813053,-0.014619185643516887,-0.023678809190066482,-0.01731605365262071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.01030855632038511,0.006120710209612114,0.01162273441819487,0.010871674415449372,0.007261875555839372,0.0062468432019840755,-0.00968677271958222,0.008643775563458704,0.011522791353267137,0.005720112467495446,-0.052788940791042016,0.007535150550970619,0.008917624019340238,0.004158000990261992,-0.029104967451572705,0.0021423560304347365,0.012505046386906013,-0.004936481552237252,0.05665158111899672,0.014528928097328331,7.099851263606294e-09,2.2678261250045743e-09,9.678788021970806e-09,7.178194327812961e-09,0.06606331928982415,0.05186042265451594,0.13860003220762737,0.0923344354242316,0.043641595710219416,0.1605072963665967,0.459324418919405,0.18241336823625887,-0.0802063590120166,-0.10656233502454027,0.03484887733942561,-0.07544001755228147,-0.04957455310144337,-0.066611601098336,0.05149993504480986,-0.047009761582787656,-0.05586132385927928,-0.060143037613509025,-0.08959508151058904,-0.05573625689829889,-0.04069702718837534,-0.02624963182539802,-0.11065289456858471,-0.04319938035410094,-0.07070803168334745,-0.0874842525192837,-0.009438095138932068,-0.09696248875053157,-0.0795752782199411,-0.07870998662453914,0.011301764722594032,-0.10551249363606859,-0.04231026875558267,-0.089169259359293,0.019127127271767325,-0.03465331525657039,-0.06050585937413581,-0.06258238139823674,-0.0503287521802825,-0.0629296889851162,-0.018877526509375707,-0.021149943007593618,-0.023132390898914147,-0.019822678931299624,-0.08076997731459892,-0.07373518111325128,-0.07534246228189817,-0.0636660094475182,-0.04063706236256339,-0.04785004147337543,-0.07609642803552985,-0.050199675904062865,-0.036875514912018174,-0.03651532465889569,0.026355278135894236,-0.03660659322770202,-0.027806037542176986,-0.02552170402486608,-0.005046394878162108,-0.02353843407464613,-0.011757229979081338,-0.011878942448736314,-0.010010777643565824,-0.011697258690995149,-0.06911915408078773,-0.04353027260607944,-0.04756961603393808,-0.038881676522554434,0.03127666535841963,0.06298532121922101,-0.04564625063215402,0.054199551736320004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
