line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,150.15,24.85,175.0,175.0,85.8,100.0,True
A1,2020-07-15 01:00:00,167.04,7.96,175.0,175.0,95.5,100.0,True
A1,2020-07-15 02:00:00,174.72,0.28,175.0,175.0,99.8,100.0,True
A1,2020-07-15 03:00:00,174.51,0.49,175.0,175.0,99.7,100.0,True
A1,2020-07-15 04:00:00,157.66,16.98,174.65,175.0,90.1,99.8,True
A1,2020-07-15 05:00:00,103.64,0.0,103.64,175.0,59.2,59.2,False
A1,2020-07-15 06:00:00,101.64,0.0,101.64,175.0,58.1,58.1,False
A1,2020-07-15 07:00:00,149.66,23.59,173.25,175.0,85.5,99.0,False
A1,2020-07-15 08:00:00,146.06,26.74,172.8,175.0,83.5,98.7,False
A1,2020-07-15 09:00:00,152.12,21.36,173.48,175.0,86.9,99.1,False
A1,2020-07-15 10:00:00,129.18,45.49,174.67,175.0,73.8,99.8,True
A1,2020-07-15 11:00:00,154.03,20.97,175.0,175.0,88.0,100.0,True
A1,2020-07-15 12:00:00,99.64,74.21,173.85,175.0,56.9,99.3,False
A1,2020-07-15 13:00:00,103.18,68.13,171.32,175.0,59.0,97.9,False
A1,2020-07-15 14:00:00,130.66,42.77,173.43,175.0,74.7,99.1,False
A1,2020-07-15 15:00:00,71.64,103.36,175.0,175.0,40.9,100.0,True
A1,2020-07-15 16:00:00,72.0,98.45,170.44,175.0,41.1,97.4,False
A1,2020-07-15 17:00:00,82.88,89.24,172.11,175.0,47.4,98.4,False
A1,2020-07-15 18:00:00,41.54,133.46,175.0,175.0,23.7,100.0,True
A1,2020-07-15 19:00:00,147.18,27.82,175.0,175.0,84.1,100.0,True
A1,2020-07-15 20:00:00,139.47,34.8,174.27,175.0,79.7,99.6,True
A1,2020-07-15 21:00:00,154.92,18.52,173.44,175.0,88.5,99.1,False
A1,2020-07-15 22:00:00,146.0,26.53,172.53,175.0,83.4,98.6,False
A1,2020-07-15 23:00:00,130.66,0.0,130.66,175.0,74.7,74.7,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.52,0.0,168.52,175.0,96.3,96.3,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,160.6,0.0,160.6,175.0,91.8,91.8,False
A1,2020-07-16 10:00:00,168.92,0.0,168.92,175.0,96.5,96.5,False
A1,2020-07-16 12:00:00,166.78,0.0,166.78,175.0,95.3,95.3,False
A1,2020-07-16 14:00:00,168.37,0.0,168.37,175.0,96.2,96.2,False
A1,2020-07-16 16:00:00,168.14,0.0,168.14,175.0,96.1,96.1,False
A1,2020-07-16 18:00:00,172.55,0.0,172.55,175.0,98.6,98.6,False
A1,2020-07-16 20:00:00,162.52,0.0,162.52,175.0,92.9,92.9,False
A1,2020-07-16 22:00:00,124.23,0.0,124.23,175.0,71.0,71.0,False
A2,2020-07-15 00:00:00,64.67,0.0,64.67,175.0,37.0,37.0,False
A2,2020-07-15 01:00:00,78.53,0.0,78.53,175.0,44.9,44.9,False
A2,2020-07-15 02:00:00,93.98,0.0,93.98,175.0,53.7,53.7,False
A2,2020-07-15 03:00:00,92.38,0.0,92.38,175.0,52.8,52.8,False
A2,2020-07-15 04:00:00,81.86,0.0,81.86,175.0,46.8,46.8,False
A2,2020-07-15 05:00:00,45.18,0.0,45.18,175.0,25.8,25.8,False
A2,2020-07-15 06:00:00,44.59,0.0,44.59,175.0,25.5,25.5,False
A2,2020-07-15 07:00:00,76.52,0.0,76.52,175.0,43.7,43.7,False
A2,2020-07-15 08:00:00,74.5,0.0,74.5,175.0,42.6,42.6,False
A2,2020-07-15 09:00:00,82.09,0.0,82.09,175.0,46.9,46.9,False
A2,2020-07-15 10:00:00,63.47,0.0,63.47,175.0,36.3,36.3,False
A2,2020-07-15 11:00:00,75.43,0.0,75.43,175.0,43.1,43.1,False
A2,2020-07-15 12:00:00,38.28,0.0,38.28,175.0,21.9,21.9,False
A2,2020-07-15 13:00:00,37.45,0.0,37.45,175.0,21.4,21.4,False
A2,2020-07-15 14:00:00,48.66,0.0,48.66,175.0,27.8,27.8,False
A2,2020-07-15 15:00:00,13.84,0.0,13.84,175.0,7.9,7.9,False
A2,2020-07-15 16:00:00,12.71,0.0,12.71,175.0,7.3,7.3,False
A2,2020-07-15 17:00:00,15.01,0.0,15.01,175.0,8.6,8.6,False
A2,2020-07-15 18:00:00,-8.58,0.0,8.58,175.0,4.9,4.9,False
A2,2020-07-15 19:00:00,65.38,0.0,65.38,175.0,37.4,37.4,False
A2,2020-07-15 20:00:00,61.67,0.0,61.67,175.0,35.2,35.2,False
A2,2020-07-15 21:00:00,88.17,0.0,88.17,175.0,50.4,50.4,False
A2,2020-07-15 22:00:00,83.94,0.0,83.94,175.0,48.0,48.0,False
A2,2020-07-15 23:00:00,66.55,0.0,66.55,175.0,38.0,38.0,False
A2,2020-07-16 00:00:00,88.66,0.0,88.66,175.0,50.7,50.7,False
A2,2020-07-16 02:00:00,63.32,0.0,63.32,175.0,36.2,36.2,False
A2,2020-07-16 04:00:00,97.14,0.0,97.14,175.0,55.5,55.5,False
A2,2020-07-16 06:00:00,99.01,0.0,99.01,175.0,56.6,56.6,False
A2,2020-07-16 08:00:00,88.69,0.0,88.69,175.0,50.7,50.7,False
A2,2020-07-16 10:00:00,97.65,0.0,97.65,175.0,55.8,55.8,False
A2,2020-07-16 12:00:00,83.25,0.0,83.25,175.0,47.6,47.6,False
A2,2020-07-16 14:00:00,75.1,0.0,75.1,175.0,42.9,42.9,False
A2,2020-07-16 16:00:00,77.55,0.0,77.55,175.0,44.3,44.3,False
A2,2020-07-16 18:00:00,84.09,0.0,84.09,175.0,48.1,48.1,False
A2,2020-07-16 20:00:00,82.78,0.0,82.78,175.0,47.3,47.3,False
A2,2020-07-16 22:00:00,57.43,0.0,57.43,175.0,32.8,32.8,False
A3,2020-07-15 00:00:00,147.4,0.0,147.4,175.0,84.2,84.2,False
A3,2020-07-15 01:00:00,160.1,0.0,160.1,175.0,91.5,91.5,False
A3,2020-07-15 02:00:00,171.08,2.77,173.85,175.0,97.8,99.3,False
A3,2020-07-15 03:00:00,169.11,5.46,174.57,175.0,96.6,99.8,True
