gen_id,gen_type,Z_row_sum_mean,Z_row_sum_std,Z_row_sum_min,Z_row_sum_max,Z_row_abs_sum_mean,Z_row_abs_sum_max,Z_row_norm_mean,Z_row_norm_max
101_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,-0.0014316966057826873,0.0731331720153822,-0.17130377967560148,0.19729540024142025,0.07659890252759148,0.3739588887261531,0.05361921320820466,0.2509589363049732
101_STEAM_4,THERMAL,-0.00865127192611962,0.07025349400175117,-0.2157964588922761,0.12493428220794767,0.0757432808342419,0.383300195679012,0.05292178702906134,0.25469843976423534
102_CT_1,THERMAL,-0.0008181430319835494,0.004908858191901297,-0.02945314915140778,0.0,0.0008181430319835494,0.02945314915140778,0.0004090728935240632,0.014726624166866275
102_CT_2,THERMAL,-0.0007987123006788007,0.004792273804072804,-0.028753642824436824,0.0,0.0007987123006788007,0.028753642824436824,0.000399357130697355,0.01437685670510478
102_STEAM_3,THERMAL,-0.07076132385786293,0.062325372958299395,-0.1974039597187947,0.0,0.07153924088281086,0.1974039597187947,0.03937592593711351,0.15926574973678245
102_STEAM_4,THERMAL,-0.06183087888083319,0.06705414528841021,-0.20128707318251912,0.10791167117788646,0.07153510669866829,0.20128707318251912,0.03846431284581554,0.15403741436239665
107_CC_1,THERMAL,-0.06599721606207608,0.2033669896027878,-0.5124112644016892,0.4940726152135977,0.14055827676828428,0.5124112644016892,0.07128604765274754,0.25620563638091653
113_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,-0.0470698088681329,0.10226718851237418,-0.32758402327115205,0.17501413659535264,0.08038697766415928,0.32758402327115205,0.041375676304457744,0.16379202250281522
116_STEAM_1,THERMAL,-0.06781710873089557,0.11482068914170639,-0.44431411675880633,0.22521677846668642,0.09160900626618268,0.44431411675880633,0.04788904683928449,0.2637343224226574
118_CC_1,THERMAL,-0.06615703708525776,0.1371264290892788,-0.7138675719338607,0.0,0.06615703708525776,0.7138675719338607,0.03307853728033302,0.3569342385002484
122_WIND_1,WIND,0.5219658139876979,0.44745988183085894,-0.38082164833949883,0.9411009145506178,0.7317522064551264,1.5708506148733365,0.6415553234951354,0.985608179926277
123_CT_1,THERMAL,-0.006099029906113897,0.020774228032669113,-0.08638802484056418,0.0,0.006099029906113897,0.08638802484056418,0.003049514990131114,0.0431940128652707
123_CT_4,THERMAL,-0.011990255986724622,0.027540103723796117,-0.12283566684227024,0.0,0.011990255986724622,0.12283566684227024,0.005995135944620527,0.06141783882850222
123_CT_5,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,THERMAL,-0.02218048333017561,0.10720091747663651,-0.23794946841664796,0.2962235328320333,0.08047894680305312,0.2962235328320333,0.04136950510007365,0.1481118363730356
123_STEAM_3,THERMAL,-0.05824550348990917,0.1874967719415757,-0.7739451071066608,0.3702598590131162,0.1183667919351821,0.7739451071066608,0.06117007275477769,0.386972561817969
201_CT_1,THERMAL,-0.0008077325320262848,0.004846395192157709,-0.029078371152946255,0.0,0.0008077325320262848,0.029078371152946255,0.00040386626839849534,0.014539185662345832
201_CT_2,THERMAL,-0.0008332908569990779,0.004999745141994467,-0.029998470851966805,0.0,0.0008332908569990779,0.029998470851966805,0.0004166455532993898,0.014999239918778034
201_STEAM_3,THERMAL,-0.023790082357116413,0.0793737901244425,-0.16753304023185397,0.15671881745746163,0.06360567708441646,0.16753304023185397,0.03277775123189504,0.08376708035799575
202_CT_1,THERMAL,0.0005984912828317682,0.009657377072565329,-0.028246762404836236,0.04979244858677989,0.0021677558608782254,0.04979244858677989,0.0010838779517066592,0.024896224896668005
