line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,80.7,90.94,171.64,175.0,46.1,98.1,False
A1,2020-07-15 01:00:00,134.92,39.69,174.62,175.0,77.1,99.8,True
A1,2020-07-15 02:00:00,162.33,12.53,174.86,175.0,92.8,99.9,True
A1,2020-07-15 03:00:00,159.4,15.04,174.44,175.0,91.1,99.7,True
A1,2020-07-15 04:00:00,141.34,33.47,174.81,175.0,80.8,99.9,True
A1,2020-07-15 05:00:00,137.52,0.0,137.52,175.0,78.6,78.6,False
A1,2020-07-15 06:00:00,143.32,0.0,143.32,175.0,81.9,81.9,False
A1,2020-07-15 07:00:00,11.52,160.02,171.53,175.0,6.6,98.0,False
A1,2020-07-15 08:00:00,108.43,62.49,170.93,175.0,62.0,97.7,False
A1,2020-07-15 09:00:00,102.5,68.4,170.9,175.0,58.6,97.7,False
A1,2020-07-15 10:00:00,34.95,138.85,173.79,175.0,20.0,99.3,False
A1,2020-07-15 11:00:00,123.86,51.14,175.0,175.0,70.8,100.0,True
A1,2020-07-15 12:00:00,135.62,39.38,175.0,175.0,77.5,100.0,True
A1,2020-07-15 13:00:00,136.28,38.72,175.0,175.0,77.9,100.0,True
A1,2020-07-15 14:00:00,125.28,49.72,175.0,175.0,71.6,100.0,True
A1,2020-07-15 15:00:00,86.1,79.58,165.67,175.0,49.2,94.7,False
A1,2020-07-15 16:00:00,114.29,60.71,175.0,175.0,65.3,100.0,True
A1,2020-07-15 17:00:00,65.89,109.11,175.0,175.0,37.7,100.0,True
A1,2020-07-15 18:00:00,80.32,94.68,175.0,175.0,45.9,100.0,True
A1,2020-07-15 19:00:00,127.36,47.64,175.0,175.0,72.8,100.0,True
A1,2020-07-15 20:00:00,94.06,79.77,173.82,175.0,53.7,99.3,False
A1,2020-07-15 21:00:00,110.96,59.03,169.99,175.0,63.4,97.1,False
A1,2020-07-15 22:00:00,28.21,138.63,166.84,175.0,16.1,95.3,False
A1,2020-07-15 23:00:00,123.28,0.0,123.28,175.0,70.4,70.4,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 04:00:00,168.26,0.0,168.26,175.0,96.1,96.1,False
A1,2020-07-16 06:00:00,159.79,0.0,159.79,175.0,91.3,91.3,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,34.84,0.0,34.84,175.0,19.9,19.9,False
A2,2020-07-15 01:00:00,73.2,0.0,73.2,175.0,41.8,41.8,False
A2,2020-07-15 02:00:00,104.62,0.0,104.62,175.0,59.8,59.8,False
A2,2020-07-15 03:00:00,103.1,0.0,103.1,175.0,58.9,58.9,False
A2,2020-07-15 04:00:00,87.78,0.0,87.78,175.0,50.2,50.2,False
A2,2020-07-15 05:00:00,74.24,0.0,74.24,175.0,42.4,42.4,False
A2,2020-07-15 06:00:00,79.61,0.0,79.61,175.0,45.5,45.5,False
A2,2020-07-15 07:00:00,2.0,0.0,2.0,175.0,1.1,1.1,False
A2,2020-07-15 08:00:00,63.91,0.0,63.91,175.0,36.5,36.5,False
A2,2020-07-15 09:00:00,51.26,0.0,51.26,175.0,29.3,29.3,False
A2,2020-07-15 10:00:00,3.66,0.0,3.66,175.0,2.1,2.1,False
A2,2020-07-15 11:00:00,58.88,0.0,58.88,175.0,33.6,33.6,False
A2,2020-07-15 12:00:00,62.54,0.0,62.54,175.0,35.7,35.7,False
A2,2020-07-15 13:00:00,60.22,0.0,60.22,175.0,34.4,34.4,False
A2,2020-07-15 14:00:00,47.46,0.0,47.46,175.0,27.1,27.1,False
A2,2020-07-15 15:00:00,35.73,0.0,35.73,175.0,20.4,20.4,False
A2,2020-07-15 16:00:00,35.33,0.0,35.33,175.0,20.2,20.2,False
A2,2020-07-15 17:00:00,1.88,0.0,1.88,175.0,1.1,1.1,False
A2,2020-07-15 18:00:00,11.91,0.0,11.91,175.0,6.8,6.8,False
A2,2020-07-15 19:00:00,48.23,0.0,48.23,175.0,27.6,27.6,False
A2,2020-07-15 20:00:00,29.93,0.0,29.93,175.0,17.1,17.1,False
A2,2020-07-15 21:00:00,57.18,0.0,57.18,175.0,32.7,32.7,False
A2,2020-07-15 22:00:00,5.93,0.0,5.93,175.0,3.4,3.4,False
A2,2020-07-15 23:00:00,60.37,0.0,60.37,175.0,34.5,34.5,False
A2,2020-07-16 00:00:00,88.88,0.0,88.88,175.0,50.8,50.8,False
A2,2020-07-16 02:00:00,63.32,0.0,63.32,175.0,36.2,36.2,False
A2,2020-07-16 04:00:00,97.4,0.0,97.4,175.0,55.7,55.7,False
A2,2020-07-16 06:00:00,99.02,0.0,99.02,175.0,56.6,56.6,False
A2,2020-07-16 08:00:00,92.95,0.0,92.95,175.0,53.1,53.1,False
A2,2020-07-16 10:00:00,101.23,0.0,101.23,175.0,57.8,57.8,False
A2,2020-07-16 12:00:00,88.1,0.0,88.1,175.0,50.3,50.3,False
A2,2020-07-16 14:00:00,79.01,0.0,79.01,175.0,45.2,45.2,False
A2,2020-07-16 16:00:00,81.6,0.0,81.6,175.0,46.6,46.6,False
A2,2020-07-16 18:00:00,85.56,0.0,85.56,175.0,48.9,48.9,False
A2,2020-07-16 20:00:00,87.37,0.0,87.37,175.0,49.9,49.9,False
