,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,30.67981003763267,30.093569126166116,30.00990663845252,30.00962595091446,30.140565285175974,32.20436954359424,33.69057160186689,35.51866479892022,41.14493834742981,43.15041591991372,44.31670039001181,46.643388953000226,49.82885824317394,51.098326694909346,51.71356997465908,51.85642536877448,51.5414913964985,48.93741434488589,45.85776980591537,46.594414761414185,43.74925819906805,40.41187947753621,35.96536694379,34.15446060814547,36.58312011531234,32.62272970657609,35.56730436641216,45.68032587147998,30.0,30.0,75.65379700916887,33.58369713046295,76.0,69.83287527507713,30.0,76.0
101_STEAM_4,30.780666163779383,30.056852033151443,30.027424176033254,30.010924573053817,30.0939022442745,31.322543288365363,34.21539952412594,35.15816275357216,37.389064868898565,40.528004550819794,41.87212214587525,47.01104602579396,48.595127338246364,50.80140195296404,51.71907758904602,51.86407305679202,51.37884812127098,49.33858122837216,48.85267203173366,47.04289917018171,44.327224166287436,41.092970293892634,36.04782753424411,35.532600461395845,30.0,30.0,30.0,30.0,56.44911120490086,67.60219717408846,30.0,76.0,30.83453973112894,30.0,60.42734474607607,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.160855358207737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.269880441236593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,57.860680147954255,57.33516036185259,67.94215128871959,65.99141038735574,61.83942786172393,54.14774543127153,56.26080562953907,58.02381137386594,65.91969023021075,71.41955819050855,65.58383632668969,65.48153311131009,69.09909838791702,67.32035625117547,65.4176897696349,64.89779941143296,64.9532238146774,59.74809166912017,58.307064695980046,64.66770693339919,61.64536384170514,67.56689557849376,59.11981141850198,56.93548720579892,38.38267264365888,30.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
102_STEAM_4,57.27032618755317,59.49491847638558,65.86440901900865,68.52404317221456,65.02236343991493,53.73365175565502,57.38854502090014,58.2839152938739,66.09103028354153,61.848866077294915,66.84922673400715,65.45465911045943,64.89105730088869,69.94014011073568,67.25896897310136,65.42570974632059,65.68702744811262,61.08677153511781,59.72492842360854,64.55157038438705,59.445445064004545,65.45336371929429,57.863609443762364,57.916668283609184,76.0,30.0,56.769196020700406,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0
107_CC_1,181.16952311442412,176.1025756740035,175.57330771647028,176.8056640692315,182.6834635848184,178.95132921598054,231.635442966195,300.18371702764233,337.8628127190807,346.3547136474724,344.23723181157845,339.10367814591496,316.1347384181122,305.8491815507014,325.1752559976579,307.79492309416423,322.1448053489787,303.20743196907085,319.27331916142305,341.9969314261301,331.7027263793718,346.09950913748787,294.50599285368673,247.2631492611643,170.0,170.0,170.0,170.0,355.0,355.0,355.0,355.0,355.0,355.0,355.0,0.0
113_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
