time,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 00:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 01:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 02:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 03:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 04:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 05:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 06:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 07:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 08:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 09:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 10:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 11:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 12:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 13:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 14:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 15:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 16:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 17:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 18:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 19:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 20:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 21:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 22:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-15 23:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 00:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 02:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 04:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 06:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 08:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 10:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 12:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 14:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 16:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 18:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 20:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00,2020-07-16 22:00:00
k,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
101_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,0.0004897352352150317,5.044383447110274e-09,0.0007434320117136895,0.0004359007310038485,0.00010372388188051068,4.3873949333067715e-10,0.0001574304531643245,9.231550705106653e-05,2.206948323427525e-05,0.0,3.351191862207802e-05,1.9642793516995343e-05,3.51620158430392e-05,5.017226414939812e-10,5.337679635593112e-05,3.128413263497664e-05,0.00020874265619977425,-3.769620855323733e-08,0.00031700751971807577,0.0001859235340594313,-0.0011067635146824444,-0.000755829589205118,-0.0009081515808366454,-0.0007237679048820074,-0.0004830377809447728,-0.0003600505578565949,-0.0003693500983392717,-0.0003369417067599301,-0.0018005495215146021,-0.0016810467754052026,-0.0018278470389623456,-0.001718757618135761,-0.0014806299212728308,-0.0013279268965949386,-0.0013369271836791525,-0.0012976096789316825,-0.0007246353455997122,-0.0005773958682014266,-0.0005855719562180478,-0.0005455357757158541,-0.000782988996191018,-0.0006840923845601993,-0.0006899440084761413,-0.0006631255412613785,-0.0006309823645028075,-0.0005479995371395223,-0.0005311440465779675,-0.0005176927453973855,-0.0012339973112559161,-0.0011021490221183794,-0.0011133689248485593,-0.0010776945563555538,-0.0002091243755535759,-0.00011833860384438677,-0.0001297398846523496,-0.00010304393085052334,-0.0007334526957066436,-0.0006325654050087372,-0.0006410155667604604,-0.0006136936968252049,-0.0004882984581140586,-0.00039155379288611624,-0.0003986712471856623,-0.0003732220797917892,-0.00044800619979338955,-0.00034223668918956175,-0.0003500645812822194,-0.0003229433054486221,-0.00045452765356236865,-0.00035127942905455645,-0.00035593895879576124,-0.0003309087911181322,-0.0005306826022363803,-0.0004290106888295252,-0.0004360613686305522,-0.00041178418708358826,-0.0005134177718552606,-0.00040896269698126694,-0.00041417885543451973,-0.00038985599721369886,-0.0004559701536712414,-0.0002871188447463125,-0.00029900830025130794,-0.00025445325144352634,-0.0005525805188242711,-0.0004039538625325668,-0.0004134346024415697,-0.00037400116963993746,-0.0005479704657451841,-0.0003771241227560892,-0.00038515753838593556,-0.0003429168897505649,-0.0003236479085177283,-0.00018339131939442137,-0.00018912692749258552,-0.00014984407795718004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_4,0.002646517870286387,1.924333101150982e-09,0.004018667177063435,0.002357273978563102,0.0006573139119777662,2.8524777498535863e-09,0.0009976740193820843,0.0005848232306934941,7.524063995903076e-05,0.0,0.00011425022215608461,6.696861196479042e-05,0.00010962764437606868,9.226520322701249e-10,0.00016643258771913366,9.754809866382697e-05,0.0005269354191977647,-1.0175357744309995e-07,0.0008002930962915997,0.0004694556652505144,-0.0009306937511042463,-0.0009072972587749718,-0.0007837498870855512,-0.0008693211714358337,-0.0010001931759763827,-0.0007498558833870517,-0.000767137975483001,-0.0007012671519462162,-0.0026693533120554975,-0.002416099942965323,-0.0022958034677513597,-0.0023067740088446886,-0.0026023465073339185,-0.002382320078617972,-0.0023999834378506573,-0.002341138892004438,-0.0011628523462658181,-0.000937283181911506,-0.0009557700724714485,-0.0008975758682909668,-0.0011418354893909927,-0.0009949374506746805,-0.0010066616313039942,-0.0009687373944058821,-0.001219886904647469,-0.0010571349112086777,-0.0010915507748846327,-0.0010403047879558945,-0.0021161047470514365,-0.0020026047987899776,-0.002008934979220975,-0.0019799947364540346,-0.00039283135331287864,-0.0002496264260358483,-0.00025503136189399526,-0.0002198167087999001,-0.0008733068239499651,-0.0007288000997511943,-0.0007379030870448896,-0.0007005958970405853,-0.000633422610631776,-0.00048477611659865805,-0.0004952173501179425,-0.0004560369139455334,-0.000664622813805528,-0.0005249486518832119,-0.0005346970992731266,-0.0004971498909731987,-0.0006025855026422623,-0.0004602910476921388,-0.00047319546160995814,-0.0004335461904897895,-0.0005946079717312164,-0.0004507020260775297,-0.000461235989267789,-0.000420786644596531,-0.0005621188222354485,-0.00042090151507177446,-0.00043332756517569146,-0.00039285393489874406,-0.000538261388805709,-0.00033413358085350946,-0.0003489172343776379,-0.0002952499741304419,-0.0008687713497730215,-0.0006444395704527144,-0.0006616371898752921,-0.0006028424357197533,-0.0006363793399306821,-0.00043402527619984565,-0.0004527147069921329,-0.0003966817557366335,-0.0005539521595706184,-0.0003207777273414703,-0.0003416957873207205,-0.0002826511941369907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,-0.0401399187738547,-1.6963906954714503e-06,-0.0609172493893233,-0.035701359235527065,-0.032951798780363445,-4.1109726421906245e-06,-0.049970904978586805,-0.029262429492864978,-0.012440977218305005,-9.862795524728796e-08,0.0028611895919581354,0.005192153958064061,-0.017489191918771185,-2.1256022969540211e-07,-0.004803518838790266,0.0006995274548242648,-0.02204372362394995,-6.696403985873012e-06,-0.033458984524988966,-0.019615320798680374,-0.03471595168378129,-0.03477450482179277,-0.03468560680996592,-0.03470584308082108,-0.014213586606590833,-0.014215174975378497,-0.014215091192486762,-0.014215455689874744,-0.011003752956549123,-0.011005317709803397,-0.011005225485290593,-0.011005670606554618,-0.012436767715357122,-0.012438843385772336,-0.012438696924042647,-0.012439239072020108,-0.008270401637502589,-0.008271773233384017,-0.00827168529587552,-0.008272053142841367,-0.009999951805391677,-0.010000936625308987,-0.010000883060843346,-0.010001139967117727,-0.009417674657662217,-0.009418663886896828,-0.009418570985543884,-0.009418851406799437,-0.008793604941396943,-0.008794536775646788,-0.008794466538499135,-0.008794727509110378,-8.215828264934721e-08,-8.087549563384755e-08,-8.095721848455639e-08,-8.065331616583637e-08,-0.013233328067855155,-0.013234791075786734,-0.01323468511080228,-0.013235072309002196,-0.009399430304983053,-0.009401323860378147,-0.009401188570060781,-0.009401686886691744,-0.009102223516774505,-0.009103393796324882,-0.009103324931800105,-0.00910364884829376,-0.009256645700875699,-0.009257841510595943,-0.009257665468127674,-0.00925800447929859,-0.009482946241138879,-0.009483964985566168,-0.009483906328729308,-0.009484153630751998,-0.008787353674691079,-0.008788220248887896,-0.008788167746642261,-0.008788391740192787,-0.003930924550161696,-0.003931527822541733,-0.003931498829232771,-0.003931642295157509,-0.005993031706158114,-0.0059939210216918976,-0.005993862661959892,-0.005994105385132565,-0.009576537878258979,-0.009577858171651216,-0.009577814788084615,-0.009578139906656959,-0.009277003688939134,-0.009278033678020992,-0.00927814698386964,-0.009278295418105017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_4,-0.04013991876851286,-1.6963906952494057e-06,-0.060917249381216676,-0.035701359230813835,-0.032951798780363445,-4.1109726421906245e-06,-0.049970904978586805,-0.029262429492864978,-0.012440977218305005,-9.862795524728796e-08,0.0028611895919581354,0.005192153958064061,-0.017489191931569004,-2.1256582699580306e-07,-0.004803518765260861,0.000699527454005711,-0.022043728483585823,-6.696405059902766e-06,-0.033458991899739554,-0.019615325118176243,-0.03549534701144773,-0.0355481007742013,-0.03547039656026295,-0.035492804382059304,-0.014213586606590833,-0.014215174975378497,-0.014215091192486762,-0.014215455689874744,-0.011003761632701503,-0.011005326387204695,-0.011005234162644317,-0.011005679284135862,-0.012436767715357122,-0.012438843385772336,-0.012438696924042647,-0.012439239072020108,-0.008270401637502589,-0.008271773233384017,-0.00827168529587552,-0.008272053142841367,-0.009999951805391677,-0.010000936625308987,-0.010000883060843346,-0.010001139967117727,-0.009417674657662217,-0.009418663886896828,-0.009418570985543884,-0.009418851406799437,-0.008793605006275879,-0.008794536840532774,-0.008794466603384343,-0.008794727573994606,-8.215828264934721e-08,-8.087549563384755e-08,-8.095721848455639e-08,-8.065331616674226e-08,-0.011522308614099225,-0.011523582654747289,-0.011523490760509958,-0.011523827429088097,-0.008080050249576587,-0.008081678451265617,-0.008081561813427895,-0.008081990366813634,-0.00783921216279454,-0.007840227505488712,-0.007840167665058129,-0.007840448838668074,-0.00790068343067113,-0.007901688201515461,-0.007901558573113032,-0.007901828563646164,-0.00830264573786521,-0.00830353329004388,-0.008303483575619497,-0.008303700245667917,-0.007625938222365791,-0.007626691953636633,-0.007626644279218553,-0.007626844335166907,-0.003930924550161696,-0.003931527822541733,-0.003931498829232771,-0.003931642295157509,-0.005993031706158114,-0.0059939210216918976,-0.005993862661959892,-0.005994105385132565,-0.008584504502793352,-0.008585711520808115,-0.008585616961181763,-0.008585910117476989,-0.009277003688939134,-0.009278033678020992,-0.00927814698386964,-0.009278295418105017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107_CC_1,0.033946445773817224,6.741814935207202e-07,0.051518213034572824,0.030188787758427742,0.019290831640443873,3.5489323479964696e-07,0.029274844983630643,0.017155675869330957,0.01348079620046172,8.460329592452354e-08,0.020474722454411065,0.012001432784013139,0.01550722274423777,2.026340617522493e-07,0.02355245699904529,0.013805431737583205,0.022154567775344747,-3.811160720346152e-08,0.03362351508129047,0.01970530981151199,0.028817534610205198,0.028816298813662655,0.02882204482518702,0.028820800432327504,0.05980102928583797,0.05980684129596292,0.05980673117659485,0.059808227951419386,-0.08005759446829708,-0.0801174604194339,-0.08009123379312921,-0.08010510868155378,-0.059550772849241373,-0.05956081068328167,-0.0595599185388922,-0.059562605279626375,-0.04603395554310408,-0.04603937883065967,-0.0460386314162653,-0.04604011907735687,-0.07275435363078986,-0.07276369323152876,-0.0727631851346997,-0.07276550132289757,-0.06485233685896874,-0.06486607461944982,-0.06486484114893898,-0.06486783161544749,-0.08404329219551365,-0.08406284865798552,-0.0840603757778906,-0.08406498498326434,-0.2295965909490889,-0.2518566155440243,-0.2504208488891164,-0.255720792235745,-0.037328070563213744,-0.03733200210996257,-0.037331745628877755,-0.03733277142601394,-0.036450349883574096,-0.036457657707258395,-0.03645713437625231,-0.03645905884246712,-0.020657153291707364,-0.020659905971126435,-0.02065991537663736,-0.020660701194667192,-0.01970183128122882,-0.019702716282001487,-0.019702337817320892,-0.01970273896883363,-0.024355519349585464,-0.024357457453919706,-0.024357290799118303,-0.02435786937818505,-0.022229075763719797,-0.02223151949874136,-0.022231301447035,-0.022232038262008515,-0.018009361271736135,-0.01801205168031378,-0.01801176502106272,-0.018012538792556026,-0.025768602562243337,-0.025773070468729453,-0.025772427538008902,-0.025774174761669946,-0.02703254974035516,-0.027050844647565353,-0.02707565223331132,-0.027083945882261113,0.0379107862203405,0.03791404081443617,0.03791478114105429,0.03791576941639052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
