line,period,flow_nominal,margin_rho_norm,worst_case_abs_flow,Fmax,loading_nominal_pct,loading_worst_case_pct,binding
A1,2020-07-15 00:00:00,64.87,65.63,130.5,175.0,37.1,74.6,False
A1,2020-07-15 01:00:00,135.26,24.8,160.06,175.0,77.3,91.5,False
A1,2020-07-15 02:00:00,168.4,5.09,173.48,175.0,96.2,99.1,False
A1,2020-07-15 03:00:00,164.61,8.38,172.99,175.0,94.1,98.9,False
A1,2020-07-15 04:00:00,141.74,23.51,165.24,175.0,81.0,94.4,False
A1,2020-07-15 05:00:00,143.62,0.0,143.62,175.0,82.1,82.1,False
A1,2020-07-15 06:00:00,144.06,0.0,144.06,175.0,82.3,82.3,False
A1,2020-07-15 07:00:00,111.61,53.02,164.63,175.0,63.8,94.1,False
A1,2020-07-15 08:00:00,132.25,34.08,166.33,175.0,75.6,95.0,False
A1,2020-07-15 09:00:00,153.73,17.01,170.75,175.0,87.8,97.6,False
A1,2020-07-15 10:00:00,159.42,15.58,175.0,175.0,91.1,100.0,True
A1,2020-07-15 11:00:00,159.73,15.27,175.0,175.0,91.3,100.0,True
A1,2020-07-15 12:00:00,138.03,36.97,175.0,175.0,78.9,100.0,True
A1,2020-07-15 13:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-15 14:00:00,163.56,11.44,175.0,175.0,93.5,100.0,True
A1,2020-07-15 15:00:00,164.57,10.43,175.0,175.0,94.0,100.0,True
A1,2020-07-15 16:00:00,163.99,11.01,175.0,175.0,93.7,100.0,True
A1,2020-07-15 17:00:00,164.65,10.35,175.0,175.0,94.1,100.0,True
A1,2020-07-15 18:00:00,162.65,12.35,175.0,175.0,92.9,100.0,True
A1,2020-07-15 19:00:00,162.23,12.77,175.0,175.0,92.7,100.0,True
A1,2020-07-15 20:00:00,158.78,14.0,172.78,175.0,90.7,98.7,False
A1,2020-07-15 21:00:00,150.47,16.32,166.79,175.0,86.0,95.3,False
A1,2020-07-15 22:00:00,149.82,13.03,162.85,175.0,85.6,93.1,False
A1,2020-07-15 23:00:00,150.09,0.0,150.09,175.0,85.8,85.8,False
A1,2020-07-16 00:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 02:00:00,93.84,0.0,93.84,175.0,53.6,53.6,False
A1,2020-07-16 04:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 06:00:00,158.34,0.0,158.34,175.0,90.5,90.5,False
A1,2020-07-16 08:00:00,167.87,0.0,167.87,175.0,95.9,95.9,False
A1,2020-07-16 10:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 12:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 14:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 16:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 18:00:00,175.0,0.0,175.0,175.0,100.0,100.0,True
A1,2020-07-16 20:00:00,170.31,0.0,170.31,175.0,97.3,97.3,False
A1,2020-07-16 22:00:00,139.64,0.0,139.64,175.0,79.8,79.8,False
A2,2020-07-15 00:00:00,25.51,0.0,25.51,175.0,14.6,14.6,False
A2,2020-07-15 01:00:00,72.65,0.0,72.65,175.0,41.5,41.5,False
A2,2020-07-15 02:00:00,97.48,0.0,97.48,175.0,55.7,55.7,False
A2,2020-07-15 03:00:00,97.88,0.0,97.88,175.0,55.9,55.9,False
A2,2020-07-15 04:00:00,87.08,0.0,87.08,175.0,49.8,49.8,False
A2,2020-07-15 05:00:00,79.22,0.0,79.22,175.0,45.3,45.3,False
A2,2020-07-15 06:00:00,87.45,0.0,87.45,175.0,50.0,50.0,False
A2,2020-07-15 07:00:00,70.31,0.0,70.31,175.0,40.2,40.2,False
A2,2020-07-15 08:00:00,76.77,0.0,76.77,175.0,43.9,43.9,False
A2,2020-07-15 09:00:00,89.64,0.0,89.64,175.0,51.2,51.2,False
A2,2020-07-15 10:00:00,94.07,0.0,94.07,175.0,53.8,53.8,False
A2,2020-07-15 11:00:00,88.71,0.0,88.71,175.0,50.7,50.7,False
A2,2020-07-15 12:00:00,68.86,0.0,68.86,175.0,39.3,39.3,False
A2,2020-07-15 13:00:00,83.97,0.0,83.97,175.0,48.0,48.0,False
A2,2020-07-15 14:00:00,77.62,0.0,77.62,175.0,44.4,44.4,False
A2,2020-07-15 15:00:00,77.79,0.0,77.79,175.0,44.5,44.5,False
A2,2020-07-15 16:00:00,74.36,0.0,74.36,175.0,42.5,42.5,False
A2,2020-07-15 17:00:00,73.89,0.0,73.89,175.0,42.2,42.2,False
A2,2020-07-15 18:00:00,77.92,0.0,77.92,175.0,44.5,44.5,False
A2,2020-07-15 19:00:00,80.34,0.0,80.34,175.0,45.9,45.9,False
A2,2020-07-15 20:00:00,79.54,0.0,79.54,175.0,45.5,45.5,False
A2,2020-07-15 21:00:00,79.62,0.0,79.62,175.0,45.5,45.5,False
A2,2020-07-15 22:00:00,84.38,0.0,84.38,175.0,48.2,48.2,False
A2,2020-07-15 23:00:00,81.48,0.0,81.48,175.0,46.6,46.6,False
A2,2020-07-16 00:00:00,54.46,0.0,54.46,175.0,31.1,31.1,False
A2,2020-07-16 02:00:00,9.91,0.0,9.91,175.0,5.7,5.7,False
A2,2020-07-16 04:00:00,56.96,0.0,56.96,175.0,32.6,32.6,False
A2,2020-07-16 06:00:00,90.74,0.0,90.74,175.0,51.9,51.9,False
A2,2020-07-16 08:00:00,92.95,0.0,92.95,175.0,53.1,53.1,False
A2,2020-07-16 10:00:00,101.23,0.0,101.23,175.0,57.8,57.8,False
A2,2020-07-16 12:00:00,88.1,0.0,88.1,175.0,50.3,50.3,False
A2,2020-07-16 14:00:00,79.01,0.0,79.01,175.0,45.2,45.2,False
A2,2020-07-16 16:00:00,81.6,0.0,81.6,175.0,46.6,46.6,False
A2,2020-07-16 18:00:00,85.56,0.0,85.56,175.0,48.9,48.9,False
A2,2020-07-16 20:00:00,87.37,0.0,87.37,175.0,49.9,49.9,False
A2,2020-07-16 22:00:00,66.51,0.0,66.51,175.0,38.0,38.0,False
A3,2020-07-15 00:00:00,98.15,0.0,98.15,175.0,56.1,56.1,False
A3,2020-07-15 01:00:00,152.21,0.0,152.21,175.0,87.0,87.0,False
A3,2020-07-15 02:00:00,174.86,0.14,175.0,175.0,99.9,100.0,True
A3,2020-07-15 03:00:00,174.74,0.26,175.0,175.0,99.9,100.0,True
